TailNumbers,reg_owner_name,model,type_aircraft,manufacturing_name,state,category,Aircraft_Age,LandingGear
N522AX,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,Transport,35,
N17085,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,Transport,48,
N612AX,BC AIRCRAFT LEASING LLC,DC-10-30,Fixed Wing Multi-Engine,MCDONNELL-DOUGLAS,NEW MEXICO,None,No information,
N132BH,BHI FOUR LLC,AS 350 B3,Rotorcraft,EUROCOPTER,FLORIDA,Normal,16,
N31BH,BHI HELICOPTERS INC,AS350B3,Rotorcraft,AMERICAN EUROCOPTER CORP,OREGON,Normal,12,
N168BH,BHI HOLDINGS #1 LLC,AS 350B3,Rotorcraft,AIRBUS HELICOPTERS,OREGON,None,5,
N361AL,BILLINGS FLYING SERVICE,206L-3,Rotorcraft,BELL,MONTANA,Normal,36,
N562AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,"Other,Forest, Agriculture and Pest Control",33,
N561AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,Crew Training,33,
N404AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,"Other,Forest, Agriculture and Pest Control",31,
N405AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,"Other,Forest, Agriculture and Pest Control",31,
N10AJ,BILLINGS FLYING SERVICE INC,206B,Rotorcraft,BELL,MONTANA,Normal,43,
N227AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BOEING,MONTANA,None,No information,
N233AJ,BILLINGS FLYING SERVICE INC,UH-60A,Rotorcraft,SIKORSKY,MONTANA,"Other,Forest, Agriculture and Pest Control",41,
N2619,BILLINGS FLYING SERVICE INC,206L-3,Rotorcraft,BELL,MONTANA,Normal,33,
N303AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BOEING,MONTANA,"Other,Forest, Agriculture and Pest Control",34,
N401AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BILLINGS FLYING SERVICE INC,MONTANA,"Other,Forest, Agriculture and Pest Control",30,
N46474,BILLINGS FLYING SERVICE INC,172K,Fixed Wing Single-Engine,CESSNA,MONTANA,None,No information,S
N559AJ,BILLINGS FLYING SERVICE INC,PC-12/45,Fixed Wing Single-Engine,PILATUS,MONTANA,Normal,28,
N588AJ,BILLINGS FLYING SERVICE INC,CH-47D,Rotorcraft,BOEING,MONTANA,"Other,Forest, Agriculture and Pest Control",31,
N62DB,BILLINGS FLYING SERVICE INC,DHC 2 MK III,Fixed Wing Single-Engine,DEHAVILLAND,MONTANA,Normal,58,
N82PG,BILLINGS FLYING SERVICE INC,PA-42,Fixed Wing Multi-Engine,PIPER,MONTANA,Normal,42,S
N85GB,BILLINGS FLYING SERVICE INC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,MONTANA,Normal,27,D
N95AD,BILLINGS FLYING SERVICE INC,UH-1H,Rotorcraft,BELL,MONTANA,None,No information,
N612TA,BLACKBIRD LLC,212,Rotorcraft,BELL,CALIFORNIA,Normal,49,
N197GB,BLUE SPRUCE MANAGEMENT LLC,690A,Fixed Wing Multi-Engine,ROCKWELL INTERNATIONAL,OREGON,Normal,48,S
N807NZ,BOARDMAN AIR SERVICE LLC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,NEBRASKA,"Forest, Agriculture and Pest Control",6,S
N9FH,BRAINERD HELICOPTERS INC,UH-60A,Rotorcraft,BHI H60 HELICOPTERS LLC,FLORIDA,Exhibition,42,
N485DF,CALIFORNIA DEPT OF FORESTRY & FIRE PROTECTION,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,None,No information,
N483DF,CALIFORNIA DEPT OF FORESTRY & FIRE PROTECTION,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,Research and Development,5,
N482DF,CALIFORNIA DEPT OF FORESTRY AND FIRE PROTECTION,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,Research and Development,3,
N480DF,CALIFORNIA DEPT OF FORESTRY AND FIRE PROTECTION,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,Research and Development,4,
N477DF,CALIFORNIA DEPT OF FORESTRY AND FIRE PROTECTION,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,Research and Development,3,
N115,CENTRAL COPTERS INC,HH-60L,Rotorcraft,SIKORSKY,MONTANA,Research and Development,19,
N314,CENTRAL COPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,MONTANA,Normal,22,
N950CH,CHI AVIATION,CH47D,Rotorcraft,TANDEM ROTOR LLC,MICHIGAN,"Other,Forest, Agriculture and Pest Control",30,
N422DE,CIBOLO CREEK AVIATION LLC,A75N1,Fixed Wing Single-Engine,BOEING,TEXAS,Acrobatic,81,
N305FD,CITY OF LOS ANGELES,AW139,Rotorcraft,AGUSTA SPA,CALIFORNIA,Transport,15,
N304FD,CITY OF LOS ANGELES,AW139,Rotorcraft,AGUSTAWESTLAND PHILADELPHIA,CALIFORNIA,Transport,6,
N12NP,CITY OF NEWARK,OH-58,Rotorcraft,BELL,NEW JERSEY,None,No information,
N12NP,CITY OF NEWARK,OH-58,Rotorcraft,BELL,NEW JERSEY,None,No information,
N282SD,CITY OF SAN DIEGO,412EP,Rotorcraft,BELL,CALIFORNIA,Transport,15,
N803NZ,CO FIRE AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,COLORADO,"Forest, Agriculture and Pest Control",7,S
N809NZ,CO FIRE AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,COLORADO,"Forest, Agriculture and Pest Control",4,S
N310NZ,CO FIRE AVIATION INC,310N,Fixed Wing Multi-Engine,CESSNA,COLORADO,Normal,55,
N804NZ,CO FIRE AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,COLORADO,"Forest, Agriculture and Pest Control",6,S
N806NZ,CO FIRE AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,COLORADO,"Forest, Agriculture and Pest Control",5,S
N881GB,CO FIRE AVIATION INC,GB1 GAMEBIRD,Fixed Wing Single-Engine,GAME COMPOSITES LLC,COLORADO,Market Survey,4,S
N239CH,COLUMBIA HELICOPTERS INC,234,Rotorcraft,BOEING-VERTOL,OREGON,Transport,42,
N471CH,COLUMBIA HELICOPTERS INC,CH-47D,Rotorcraft,COLUMBIA HELICOPTERS INC,OREGON,"Other,Forest",32,
N472CH,COLUMBIA HELICOPTERS INC,CH-47D,Rotorcraft,COLUMBIA HELICOPTERS INC,OREGON,"Other,Forest",33,
N245CH,COLUMBIA HELICOPTERS INC,234,Rotorcraft,BOEING-VERTOL,OREGON,Transport,40,
N473CH,COLUMBIA HELICOPTERS INC,CH-47D,Rotorcraft,COLUMBIA HELICOPTERS INC,OREGON,"Other,Forest",30,
N111NS,COLUMBIA HELICOPTERS INC,200C,Fixed Wing Multi-Engine,BEECH,OREGON,Normal,42,
N822LA,CONSOLIDATED FIRE PROTECTION DIST OF LOS ANGELES,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,Market Survey,6,
N905CH,CONSTRUCTION HELICOPTERS INC,S-61N,Rotorcraft,SIKORSKY,MICHIGAN,None,No information,
N160AQ,CORMORANT VENTURE LLC,UH-60A,Rotorcraft,SIKORSKY,CALIFORNIA,"Racing,Market Survey, Research and Development",41,
N297EA,CORSAIR TWO LLC,DC-9-87,Fixed Wing Multi-Engine,MCDONNELL DOUGLAS,OREGON,Transport,32,
N295EA,CORSAIR TWO LLC,DC-9-87,Fixed Wing Multi-Engine,MCDONNELL DOUGLAS,OREGON,Transport,32,
N294EA,CORSAIR TWO LLC,DC-9-87,Fixed Wing Multi-Engine,MCDONNELL DOUGLAS,OREGON,Transport,32,
N293EA,CORSAIR TWO LLC,DC-9-87 (MD-87),Fixed Wing Multi-Engine,MCDONNELL DOUGLAS,OREGON,Transport,32,
N292EA,CORSAIR TWO LLC,DC-9-87,Fixed Wing Multi-Engine,MCDONNELL DOUGLAS,OREGON,Transport,32,
N291EA,CORSAIR TWO LLC,DC-9-87,Fixed Wing Multi-Engine,MCDONNELL DOUGLAS,OREGON,Transport,32,
N212TH,COUGAR AVIATION LLC,212,Rotorcraft,BELL,CALIFORNIA,"Forest, Aerial Advertising, Agriculture and Pest Control",43,
N261CG,DELAWARE TRUST CO TRUSTEE,S-61N,Rotorcraft,SIKORSKY,DELAWARE,Transport,38,
N1200N,COULSON AVIATION (USA) INC,550,Fixed Wing Multi-Engine,CESSNA,OREGON,Other,31,
N550CG,DELAWARE TRUST CO TRUSTEE,550,Fixed Wing Multi-Engine,CESSNA,DELAWARE,Other,32,
N552CG,DELAWARE TRUST CO TRUSTEE,550,Fixed Wing Multi-Engine,CESSNA,DELAWARE,"Other, Aerial Advertising, Agriculture and Pest Control",32,
N554CG,COULSON AVIATION (USA) INC,550,Fixed Wing Multi-Engine,CESSNA,OREGON,"Other, Aerial Advertising, Agriculture and Pest Control",31,
N604CG,COULSON AVIATION (USA) INC,CL-600 CHALLENGER,Fixed Wing Multi-Engine,CANADAIR LTD,OREGON,Transport,41,
N76CG,DELAWARE TRUST CO TRUSTEE,S-76B,Rotorcraft,SIKORSKY,DELAWARE,Transport,34,
N140CG,COULSON AVIATION USA INC,C-130H,Fixed Wing Multi-Engine,LOCKHEED,OREGON,None,No information,2S
