TailNumbers,reg_owner_name,model,type_aircraft,manufacturing_name,state,category,Aircraft_Age,LandingGear
N805PJ,PJ HELICOPTERS INC,UH-60A,Rotorcraft,SIKORSKY,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",45,
N301HP,POPE JIM D,UH-1H,Rotorcraft,BELL,WASHINGTON,"Other,Forest, Agriculture and Pest Control",58,
N170CB,PRECISION LIFT LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,OREGON,Normal,5,
N838PA,RAINIER HELI INTERNATIONAL INC,AS350B3,Rotorcraft,AMERICAN EUROCOPTER CORP,WASHINGTON,Normal,10,
N699RH,RANIER HELI INTERNATIONAL INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,WASHINGTON,Normal,29,
N487DF,REGISTRATION PENDING,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,None,No information,
N486DF,REGISTRATION PENDING,S-70I,Rotorcraft,SIKORSKY,CALIFORNIA,None,No information,
N914RA,RIO GRANDE AEROSPACE LLC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,TEXAS,"Forest, Agriculture and Pest Control",,
N421DE,RS AVIATION LLC,421C,Fixed Wing Multi-Engine,CESSNA,DELAWARE,Normal,47,S
N3181F,SALMON RIVER HELICOPTERS INC,UH-1F,Rotorcraft,BELL,IDAHO,"Other,Forest, Agriculture and Pest Control",59,
N306SB,SAN BERNARDINO COUNTY SHERIFFS AVIATION DIVISION,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N9125M,SILLER HELICOPTERS INC,CH-54A,Rotorcraft,SILLER HELICOPTERS,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",55,
N7095B,SILLER HELICOPTERS INC,CH-54A,Rotorcraft,SILLER HELICOPTERS,CALIFORNIA,"To show compliance with FAR,Racing, Research and Development",29,
N45917,SILLER HELICOPTERS INC,S61V-1,Rotorcraft,SIKORSKY,CALIFORNIA,"Other,Forest",58,
N3173U,SILLER HELICOPTERS INC,S61A,Rotorcraft,CARSON HELICOPTERS / SIKORSKY,CALIFORNIA,"Other,Forest",60,
N4037S,SILLER HELICOPTERS INC,S-64E,Rotorcraft,SIKORSKY,CALIFORNIA,Transport,48,
N461WY,SKY AVIATION CORP,CH-46E,Rotorcraft,BOEING,WYOMING,"Other,Forest, Agriculture and Pest Control",55,
N462WY,SKY AVIATION CORP,CH-46E,Rotorcraft,BOEING,WYOMING,"Aerial Surveying,Other,Forest",53,
N63HB,SKY AVIATION CORP,UH-1H,Rotorcraft,BELL,WYOMING,"Other,Forest, Aerial Surveying",54,
N461DF,STATE OF CALIFORNIA,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,CALIFORNIA,Normal,42,D
N25FG,STATE OF CALIFORNIA,A185F,Fixed Wing Single-Engine,CESSNA,CALIFORNIA,Normal,No information,
N37FG,STATE OF CALIFORNIA,P68OB2,Fixed Wing Multi-Engine,VULCANAIR SPA,CALIFORNIA,"Forest,Aerial Advertising, Agriculture and Pest Control",15,
N459DF,STATE OF CALIFORNIA,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,CALIFORNIA,None,No information,D
N461DF,STATE OF CALIFORNIA,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,CALIFORNIA,Normal,42,D
N463DF,STATE OF CALIFORNIA - CAL FIRE,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,CALIFORNIA,Normal,42,D
N327SF,STATE OF COLORADO,PC-12/45,Fixed Wing Single-Engine,PILATUS,COLORADO,Normal,20,
N328SF,STATE OF COLORADO,PC-12/45,Fixed Wing Single-Engine,PILATUS,COLORADO,Normal,24,
N155FC,STATE OF FLORIDA,182T,Fixed Wing Single-Engine,CESSNA,FLORIDA,Normal,17,S
N735EK,STATE OF NORTH CAROLINA,A185F,Fixed Wing Single-Engine,CESSNA,NORTH CAROLINA,Normal,38,
N800NC,STATE OF NORTH CAROLINA,AT-802,Fixed Wing Single-Engine,AIR TRACTOR INC,NORTH CAROLINA,"Forest, Agriculture and Pest Control",7,
N801NC,STATE OF NORTH CAROLINA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,NORTH CAROLINA,"Forest, Agriculture and Pest Control",6,S
N605CK,STRAIGHT UP LEASING INC,HH-60L,Rotorcraft,SIKORSKY,OREGON,"Other,Forest, Agriculture and Pest Control",22,
N2773H,SUMMIT HELICOPTERS INC,205A-1,Rotorcraft,BELL,VIRGINIA,"Agriculture and Pest Control, Aerial Advertising, Agriculture and Pest Control",44,
N161KA,SUPERIOR LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,OREGON,Normal,27,
N312KA,SUPERIOR LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,OREGON,Normal,26,
N513BT,TAS LJ1798 LLC,C90GT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,MISSISSIPPI,None,No information,S
N174ML,TAYLOR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,MONTANA,"Forest, Agriculture and Pest Control",20,S
N24HD,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,MISSISSIPPI,Normal,16,
N32EA,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,MISSISSIPPI,Normal,15,
N50HV,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,MISSISSIPPI,Normal,19,D
N556MC,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,MISSISSIPPI,Normal,16,
N600ML,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,MISSISSIPPI,Normal,14,
N6300F,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,MISSISSIPPI,None,No information,D
N741JR,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,MISSISSIPPI,Normal,13,
N5AE,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,MISSISSIPPI,None,No information,D
N33CT,THREE WING FLIGHT SCHOOL LLC,PA-28-181,Fixed Wing Single-Engine,PIPER,CONNECTICUT,"Utility,Normal",46,S
N33CT,THREE WING FLIGHT SCHOOL LLC,PA-28-181,Fixed Wing Single-Engine,PIPER,CONNECTICUT,"Utility,Normal",46,S
N674TH,TIMBERLINE HELICOPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,IDAHO,Normal,19,
N675TH,TIMBERLINE HELICOPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,IDAHO,Normal,25,
N620TJ,TIMBERLINE HELICOPTERS INC,UH-60A,Rotorcraft,TIMBERLINE HELICOPTERS INC,IDAHO,"Other,Forest, Agriculture and Pest Control",41,
N911FS,TUMBLEWEED LEASING COMPANY INC,407,Rotorcraft,BELL,UTAH,Normal,23,
N690RA,TURBO JOE LEASING LLC,690,Fixed Wing Multi-Engine,AERO COMMANDER,ARIZONA,Normal,51,S
N202WM,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,UTAH,Normal,28,
N753,U S DEPARTMENT OF THE INTERIOR,FBA-2C1,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",20,
N792HT,U S LEASCO INC,CH-54A,Rotorcraft,AVIATION INTERNATIONAL ROTORS,OREGON,Agriculture and Pest Control,55,
N715HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,OREGON,"Other,Forest, Agriculture and Pest Control",54,
N716HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,OREGON,"Other,Forest, Agriculture and Pest Control",54,
N718HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,OREGON,"Other,Forest, Agriculture and Pest Control",54,
N719HT,U S LEASECO INC,CH-54B,Rotorcraft,SIKORSKY,DELAWARE,"Other,Forest, Agriculture and Pest Control",No information,
N721HT,U S LEASECO INC,CH-54B,Rotorcraft,SIKORSKY,OREGON,"Other,Forest",54,
N793HT,U S LEASECO INC,CH-54A,Rotorcraft,HELICOPTER TRANSPORT SVC LLC,OREGON,"Other,Forest, Agriculture and Pest Control",56,
N795HT,U S LEASECO INC,CH-54A,Rotorcraft,EVERGREEN HELICOPTERS INC,OREGON,"Forest, Agriculture and Pest Control",55,
N47CU,UC HELITANKER 1 LLC,CH-47D,Rotorcraft,BOEING,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",31,
N49CU,UC HELITANKER 1 LLC,CH-47D,Rotorcraft,BOEING,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",30,
N40CU,UC HELITANKER 1 LLC,CH-47D,Rotorcraft,BOEING,CALIFORNIA,"Exhibition, Research and Development",34,
N60CU,UC HELITANKER 1 LLC,UH-60A,Rotorcraft,SIKORSKY,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",43,
N160CD,UC HELITANKER 1 LLC,UH-60A,Rotorcraft,SIKORSKY,CALIFORNIA,"Other,Forest, Agriculture and Pest Control",43,
N1217F,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",48,
N21HY,UNITED STATES DEPARTMENT OF INTERIOR,A-1B,Fixed Wing Single-Engine,AVIAT AIRCRAFT INC,IDAHO,Normal,25,S
N32PX,UNITED STATES DEPARTMENT OF INTERIOR,U206F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,47,
N33PP,UNITED STATES DEPARTMENT OF INTERIOR,206L-3,Rotorcraft,BELL,IDAHO,Normal,40,
N3874Z,UNITED STATES DEPARTMENT OF INTERIOR,PA-18A 150,Fixed Wing Single-Engine,PIPER,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",62,S
N56581,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",48,
N612BR,UNITED STATES DEPARTMENT OF INTERIOR,206B,Rotorcraft,BELL,IDAHO,Normal,48,
N618,UNITED STATES DEPARTMENT OF INTERIOR,B200,Fixed Wing Multi-Engine,BEECH,IDAHO,Normal,33,D
N626,UNITED STATES DEPARTMENT OF INTERIOR,206L-3,Rotorcraft,BELL,IDAHO,Normal,38,
N701,UNITED STATES DEPARTMENT OF INTERIOR,P.68 OBSERVER 2,Fixed Wing Multi-Engine,PARTENAVIA SPA,IDAHO,Normal,33,
N714,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,48,
N727,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,"Forest,Aerial Advertising, Agriculture and Pest Control",41,
N728,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,38,
N735HB,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",38,
N740,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,43,
N749,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,Other,41,
N757,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,42,
N763,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,IDAHO,Forest,37,
N7875D,UNITED STATES DEPARTMENT OF INTERIOR,PA-18-150,Fixed Wing Single-Engine,PIPER,IDAHO,Normal,66,S
N9395N,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,42,
N9623R,UNITED STATES DEPARTMENT OF INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",38,
N9987N,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,41,
N21HY,UNITED STATES DEPARTMENT OF INTERIOR,A-1B,Fixed Wing Single-Engine,AVIAT AIRCRAFT INC,IDAHO,Normal,25,S
N32PX,UNITED STATES DEPARTMENT OF INTERIOR,U206F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,47,
N33PP,UNITED STATES DEPARTMENT OF INTERIOR,206L-3,Rotorcraft,BELL,IDAHO,Normal,40,
N109RS,UNITED STATES DEPARTMENT OF INTERIOR,TU206G,Fixed Wing Single-Engine,CESSNA,IDAHO,None,No information,
N162GC,UNITED STATES DEPARTMENT OF INTERIOR,B200,Fixed Wing Multi-Engine,BEECH,IDAHO,Normal,38,S
N206RW,UNITED STATES DEPARTMENT OF INTERIOR,206B-III,Rotorcraft,BELL,IDAHO,Normal,28,
N242WB,UNITED STATES DEPARTMENT OF INTERIOR,T206H,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,12,S
N49SJ,UNITED STATES DEPARTMENT OF INTERIOR,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,IDAHO,Other,49,S
N49SJ,UNITED STATES DEPARTMENT OF INTERIOR,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,IDAHO,Other,49,S
N702,UNITED STATES DEPT OF THE INTERIOR,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,IDAHO,Normal,13,S
N190PE,US DEPARTMENT OF THE INTERIOR,PC-12/45,Fixed Wing Single-Engine,PILATUS FLUGZEUGWERKE AG,IDAHO,Normal,26,
N5143G,US DEPARTMENT OF THE INTERIOR,DHC-2 MK 1,Fixed Wing Single-Engine,DEHAVILLAND,IDAHO,Normal,72,
N709M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,IDAHO,Normal,17,
N716M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,IDAHO,Other,16,
N796,US DEPARTMENT OF THE INTERIOR,FBA-2C1,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",19,
N709M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,IDAHO,Normal,17,
N716M,US DEPARTMENT OF THE INTERIOR,FBA-2C2,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,IDAHO,Other,16,
N135L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,7,
N186L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,6,
N232L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Other,9,
N278CC,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Other,11,
N287L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",9,
N527CC,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Other,11,
N55PK,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,4,
N567L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,7,
N6352Z,US DEPARTMENT OF THE INTERIOR,TU206G,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,42,
N721NR,US DEPARTMENT OF THE INTERIOR,U206G,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,38,
N774JC,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Other,9,
N135L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,7,
N186L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,6,
N232L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Other,9,
N287L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,"Other,Aerial Adversiting, Agriculture and Pest Control",9,
N55PK,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,4,
N567L,US DEPARTMENT OF THE INTERIOR,CC18-180,Fixed Wing Single-Engine,CUB CRAFTERS INC,IDAHO,Normal,7,
N720HT,US LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,OREGON,"Other,Forest, Agriculture and Pest Control",No information,
N722HT,US LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,OREGON,"Other,Forest, Agriculture and Pest Control",54,
N764,USDA FOREST SERVIC FEPP,U206F,Fixed Wing Single-Engine,CESSNA,SOUTH CAROLINA,Normal,48,
N147Z,USDA FOREST SERVICE,B200GT,Fixed Wing Multi-Engine,TEXTRON AVIATION INC,IDAHO,Normal,5,
N111Z,USDA FOREST SERVICE,TU206F,Fixed Wing Single-Engine,CESSNA,IDAHO,Normal,No information,
N191Z,USDA FOREST SERVICE,BEAVER DHC-2,Fixed Wing Single-Engine,DEHAVILLAND,IDAHO,"Forest,Aerial Advertising, Agriculture and Pest Control",67,S
N141Z,USDA FOREST SERVICE,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,IDAHO,Normal,39,S
N142Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,Transport,38,
N149Z,USDA FOREST SERVICE,200C,Fixed Wing Multi-Engine,BEECH,IDAHO,Normal,38,D
N444DF,USDA FOREST SERVICE,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N106FS,USDA FOREST SERVICE,DHC-2 MK. I(L20A),Fixed Wing Single-Engine,DEHAVILLAND,IDAHO,Normal,71,
N107NJ,USDA FOREST SERVICE,UH-1H,Rotorcraft,BELL,NEW JERSEY,None,No information,
N107Z,USDA FOREST SERVICE,209,Rotorcraft,BELL,IDAHO,None,No information,
N109Z,USDA FOREST SERVICE,209,,BELL,IDAHO,None,No information,
N110Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,Transport,39,
N125Z,USDA FOREST SERVICE,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,IDAHO,Normal,6,
N141Z,USDA FOREST SERVICE,DHC-6-300,Fixed Wing Multi-Engine,DEHAVILLAND,IDAHO,Normal,39,
N148Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,Transport,25,
N151Z,USDA FOREST SERVICE,SD3-60,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,None,No information,
N160Z,USDA FOREST SERVICE,KODIAK 100,Fixed Wing Single-Engine,QUEST AIRCRAFT COMPANY LLC,IDAHO,Normal,6,S
N161Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,Transport,26,
N174Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,Transport,39,
N176Z,USDA FOREST SERVICE,SD3-60 SHERPA,Fixed Wing Multi-Engine,SHORT BROS,IDAHO,Transport,26,
N192Z,USDA FOREST SERVICE,BEAVER DHC-2 MK.1,Fixed Wing Single-Engine,DEHAVILLAND,IDAHO,"Forest,Aerial Advertising, Agriculture and Pest Control",64,S
N193Z,USDA FOREST SERVICE,BEAVER DHC-2 MK.1,Fixed Wing Single-Engine,DEHAVILLAND,IDAHO,"Forest,Aerial Advertising, Agriculture and Pest Control",66,S
N242KC,USDA FOREST SERVICE,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N407KC,USDA FOREST SERVICE,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N444DF,USDA FOREST SERVICE,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N64835,USDA FOREST SERVICE,305A,Fixed Wing Single-Engine,CESSNA,MAINE,Utility,72,
N805NC,USDA FOREST SERVICE - FEPP,T-34C,Fixed Wing Single-Engine,BEECH,NORTH CAROLINA,None,No information,S
N436DF,USDA FOREST SERVICE - FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N458DF,USDA FOREST SERVICE - FEPP,S-2G,Fixed Wing Multi-Engine,GRUMMAN,CALIFORNIA,None,No information,
N436DF,USDA FOREST SERVICE - FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N458DF,USDA FOREST SERVICE - FEPP,S-2G,Fixed Wing Multi-Engine,GRUMMAN,CALIFORNIA,None,No information,
N430DF,USDA FOREST SERVICE FEEP,OV-10A,Fixed Wing Multi-Engine,NORTH AMERICAN,CALIFORNIA,None,No information,
N755W,USDA FOREST SERVICE FEPP,180A,Fixed Wing Single-Engine,CESSNA,ARKANSAS,None,65,
N138FC,USDA FOREST SERVICE FEPP,PA-28-181,Fixed Wing Single-Engine,PIPER,FLORIDA,"Utility,Normal",41,S
N395M,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,MONTANA,None,No information,
N398M,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,MONTANA,None,No information,
N105NJ,USDA FOREST SERVICE FEPP,UH-1H (205),Rotorcraft,BELL HELICOPTER CO,NEW JERSEY,None,No information,
N2728X,USDA FOREST SERVICE FEPP,180H,Fixed Wing Single-Engine,CESSNA,NEW JERSEY,Agriculture and Pest Control,58,
N481DF,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N491DF,USDA FOREST SERVICE FEPP,EH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N481DF,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N491DF,USDA FOREST SERVICE FEPP,EH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N804NC,USDA FOREST SERVICE FEPP,T-34C,Fixed Wing Single-Engine,BEECH,NORTH CAROLINA,None,No information,S
N120FC,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,FLORIDA,None,No information,
N125FC,USDA FOREST SERVICE FEPP,UH-1V,Rotorcraft,BELL,FLORIDA,None,No information,
N499DF,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N493DF,USDA FOREST SERVICE FEPP,EH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N495DF,USDA FOREST SERVICE FEPP,EH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N497DF,USDA FOREST SERVICE FEPP,EH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N490DF,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N488DF,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N494DF,USDA FOREST SERVICE FEPP,EH-1X,Rotorcraft,BELL,CALIFORNIA,None,No information,
N498DF,USDA FOREST SERVICE FEPP,UH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N489DF,USDA FOREST SERVICE FEPP,EH-1X,Rotorcraft,BELL,CALIFORNIA,None,No information,
N496DF,USDA FOREST SERVICE FEPP,EH-1H,Rotorcraft,BELL,CALIFORNIA,None,No information,
N427DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N432DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N435DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N437DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N439DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,21,
N431DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N445DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,19,
N422DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N424DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N438DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N433DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N426DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,24,
N425DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,24,
N434DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N428DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,None,No information,
N450DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,18,
N442DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,"To show compliance with FAR, Research and Development",18,
N448DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,18,
N440DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,22,
N441DF,USDA FOREST SERVICE FEPP,S-2F3AT,Fixed Wing Multi-Engine,MARSH AVIATION,CALIFORNIA,Forest,20,
N410DF,USDA FOREST SERVICE FEPP,OV-10A,Fixed Wing Multi-Engine,NORTH AMERICAN,CALIFORNIA,None,No information,
N413DF,USDA FOREST SERVICE FEPP,OV-10A,Fixed Wing Multi-Engine,NORTH AMERICAN,CALIFORNIA,None,No information,
