Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Schedule,"Runway ID",Length,Width,"Surface Type Condition","Edge Light Intensity","WBC Single","WBC Dual","WBC Two Dual","WBC Tandem Two Dual","Base Marking Condition"
BET,060-46-42.8000N,161-50-13.8000W,NOV-APR/SAT-SUN/0700-2100,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F
BET,060-46-42.8000N,161-50-13.8000W,MAR-OCT/MON-FRI/0630-2200,01L/19R,6400,150,ASPH-F,HIGH,105,147,244,,F
BET,060-46-42.8000N,161-50-13.8000W,MAR-OCT/SAT-SUN/0700-2200,12/30,1858,75,GRVL-G,HIGH,,,,,
BET,060-46-42.8000N,161-50-13.8000W,NOV-APR/MON-FRI/0500-2100,12/30,1858,75,GRVL-G,HIGH,,,,,
BET,060-46-42.8000N,161-50-13.8000W,NOV-APR/SAT-SUN/0700-2100,12/30,1858,75,GRVL-G,HIGH,,,,,
BET,060-46-42.8000N,161-50-13.8000W,MAR-OCT/MON-FRI/0630-2200,12/30,1858,75,GRVL-G,HIGH,,,,,
BGQ,061-32-04.8600N,149-48-45.1700W,UNATNDD,07/25,2450,70,GRAVEL-G,MED,,,,,G
9A3,061-34-44.6000N,159-12-56.3000W,UNATNDD,09/27,3401,60,GRVL-DIRT-G,MED,,,,,
CDB,055-12-21.3000N,162-43-34.5000W,"ALL/MON - SAT/0700 - 1800",15/33,10179,150,ASPH-G,HIGH,99,200,345,875,G
CDB,055-12-21.3000N,162-43-34.5000W,"ALL/MON - SAT/0700 - 1800",08/26,4900,150,ASPH-G,HIGH,99,131,345,,G
DLG,059-02-40.8000N,158-30-19.8000W,ALL/ALL/0700-1730,01/19,6400,150,ASPH-G,HIGH,116,186,300,726,G
GAL,064-44-10.2800N,156-56-04.4000W,OCT-APR/MON-FRI/0600-1700,08/26,6000,100,ASPH-F,MED,110,144,240,,F
