Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
AL75,UNATNDD,"SEAPLANE BASE",
8A1,"ALL/MON - SAT/0800-1700",AIRPORT,Y
HEY,"EXCP HOL",HELIPORT,
HEY,ALL/MON-FRI/0600-0030,HELIPORT,
5M0,ALL/ALL/0800-1700,AIRPORT,Y-L
13AL,"ATTENDED DURG SKED TRNG.",HELIPORT,
AL92,UNATNDD,AIRPORT,Y
6AL6,UNATNDD,AIRPORT,Y
M38,ALL/TUE-SAT/0800-1700,AIRPORT,Y
HDL,"ALL/SAT - SUN/UNATTENDED",AIRPORT,Y-L
HDL,"ALL/MON - FRI/0800 - 1700",AIRPORT,Y-L
AL27,ALL/ALL/ALL,AIRPORT,Y
68AL,UNATNDD,AIRPORT,Y
AL43,UNATNDD,AIRPORT,Y
36AL,UNATNDD,AIRPORT,
14AL,"ATTENDED DURG SKED TRNG",HELIPORT,
15AL,"UNATNDD EXCP DURG TRNG",HELIPORT,
03AL,UNATNDD,HELIPORT,
CQF,ALL/ALL/0600-2000,AIRPORT,Y-L
16AL,"ATTENDED DURG SKED TRNG.",HELIPORT,
7AL9,ALL/ALL/DALGT,AIRPORT,Y
0AL3,UNATNDD,HELIPORT,
HL2,ALL/ALL/SR-SS,"SEAPLANE BASE",
17AL,"ATTENDED DURG SKED TRNG.",HELIPORT,
MDQ,ALL/MON-FRI/0730-2130,AIRPORT,Y-L
MDQ,ALL/SAT-SUN/0730-2000,AIRPORT,Y-L
HSV,ALL/ALL/ALL,AIRPORT,Y-L
4A9,ALL/ALL/0700-1700,AIRPORT,Y-L
4R3,UNATNDD,AIRPORT,Y-L
4R9,UNATNDD,AIRPORT,Y-L
5AL7,UNATNDD,AIRPORT,
AL12,UNATNDD,AIRPORT,Y
FHK,ALL/MON-FRI/1230-1800,HELIPORT,
AL21,IREG,HELIPORT,Y
M55,UNATNDD,AIRPORT,Y
7A3,UNATTENDED,AIRPORT,Y-L
AL86,ALL/ALL/ALL,HELIPORT,Y-L
AL17,UNATNDD,AIRPORT,Y
4AL7,UNATNDD,AIRPORT,
7AL5,UNATNDD,AIRPORT,Y
08AL,ALL/ALL/ALL,"SEAPLANE BASE",
27AL,UNATNDD,AIRPORT,
1A4,UNATNDD,AIRPORT,Y
18AL,"ATTENDED DURG SKED TRNG",HELIPORT,
LOR,"EXCP HOL",HELIPORT,
LOR,ALL/MON-FRI/0700-0100,HELIPORT,
AL58,UNATNDD,"SEAPLANE BASE",
25AL,"ATTENDED DURG SKED TRNG",HELIPORT,
PRN,ALL/SAT-SUN/UNATNDD,AIRPORT,Y-L
PRN,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
6AL8,"ALL/ALL/ON CALL",HELIPORT,Y
HAB,ALL/MON-FRI/0800-1630,AIRPORT,Y-L
15A,UNATNDD,AIRPORT,Y
5AL0,ALL/ALL/ALL,HELIPORT,Y
1AL0,UNATNDD,HELIPORT,Y
MXF,ALL/MON-FRI/1400-0400Z++,AIRPORT,Y
MXF,ALL/SAT-SUN/1600-0000Z++,AIRPORT,Y
AL76,UNATNDD,AIRPORT,Y
AL04,UNATNDD,AIRPORT,
AL35,UNATNDD,AIRPORT,
5AL1,UNATNDD,AIRPORT,Y
AL95,ALL/ALL/ALL,HELIPORT,Y-L
30AL,UNATNDD,HELIPORT,Y
AL19,ALL/ALL/ALL,HELIPORT,Y-L
6AL9,UNATNDD,HELIPORT,Y
SCD,ALL/MON-FRI/0800-1600,AIRPORT,Y-L
5AL2,ALL/ALL/ALL,HELIPORT,Y
4AL8,IREG,AIRPORT,Y
BFM,ALL/ALL/0700-2300,AIRPORT,Y-L
MOB,ALL/ALL/ALL,AIRPORT,Y-L
19AL,"ATTENDED DURG SKED TRNG",HELIPORT,
MVC,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
MVC,ALL/MON-FRI/0800-2000,AIRPORT,Y-L
1AL6,ALL/ALL/ALL,HELIPORT,Y-L
MGM,ALL/ALL/ALL,AIRPORT,Y-L
3M5,ALL/ALL/0900-1700,AIRPORT,Y-L
1AL8,UNATNDD,AIRPORT,
06A,ALL/ALL/0700-1700,AIRPORT,Y-L
AL44,UNATTENDED,AIRPORT,N
2AL7,UNATNDD,AIRPORT,Y
AL29,UNATNDD,AIRPORT,
GAD,ALL/SAT/0900-1700,AIRPORT,Y-L
GAD,ALL/MON-FRI/0800-1800,AIRPORT,Y-L
10AL,UNATNDD,HELIPORT,Y-L
3M8,UNATNDD,AIRPORT,Y-L
MSL,ALL/ALL/0600-1800,AIRPORT,Y-L
31AL,UNATNDD,HELIPORT,
71J,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
AL18,IREG,AIRPORT,Y
AL84,UNATNDD,AIRPORT,Y
AL08,UNATNDD,AIRPORT,Y
7AL2,UNATNDD,AIRPORT,Y
1M4,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
7AL7,IREG,AIRPORT,Y
1A9,ALL/ALL/0800-1700,AIRPORT,Y-L
AL82,ALL/ALL/ALL,HELIPORT,Y-L
DCU,DEC-FEB/MON-FRI/0700-1800,AIRPORT,Y-L
DCU,MAR-NOV/MON-FRI/0700-1900,AIRPORT,Y-L
DCU,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L
HUA,ALL/MON-FRI/0700-1800,AIRPORT,
HUA,"CLDS HOLS",AIRPORT,
AL42,UNATNDD,HELIPORT,Y
0AL1,UNATNDD,AIRPORT,
29AL,UNATNDD,HELIPORT,Y
M95,ALL/MON-FRI/0900-1300,AIRPORT,Y-L
26AL,UNATNDD,AIRPORT,Y
7A5,UNATNDD,AIRPORT,Y-L
2AL2,IREG,HELIPORT,Y-L
20A,UNATNDD/ALL/ALL,AIRPORT,Y-L
