Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator
MHR,ALL/MON/0500-2330,AIRPORT,Y-L
MHR,ALL/SUN/0500-2100,AIRPORT,Y-L
MHR,ALL/SAT/0300-2100,AIRPORT,Y-L
MHR,ALL/TUE-FRI/0300-2330,AIRPORT,Y-L
SAC,ALL/ALL/0800-1600,AIRPORT,Y-L
MCC,ALL/ALL/ALL,AIRPORT,Y
SNS,ALL/ALL/ALL,AIRPORT,Y-L
SBD,ALL/MON-SUN/0700-2100,AIRPORT,Y-L
SAN,ALL/ALL/ALL,AIRPORT,Y-L
SFO,ALL/ALL/ALL,AIRPORT,Y-L
SJC,ALL/ALL/ALL,AIRPORT,Y-L
SBP,ALL/ALL/0600-1700,AIRPORT,Y-L
SNA,ALL/ALL/ALL,AIRPORT,Y-L
SBA,ALL/ALL/0600-2300,AIRPORT,Y-L
SMX,ALL/ALL/0600-2200,AIRPORT,Y-L
STS,ALL/ALL/0600-2200,AIRPORT,Y-L
MIT,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
TVL,"ALL/ /0700-1600",AIRPORT,Y-L
SCK,ALL/ALL/ALL,AIRPORT,Y-L
TOA,ALL/ALL/0600-2200,AIRPORT,Y-L
TRK,ALL/ALL/0700-2130,AIRPORT,Y-L
UKI,JUN/MON-FRI/0800-2000,AIRPORT,Y-L
UKI,JUN/SAT-SUN/0930-2000,AIRPORT,Y-L
UKI,JUL-AUG/MON-FRI/0800-2030,AIRPORT,Y-L
UKI,JUL-AUG/SAT-SUN/1000-2030,AIRPORT,Y-L
UKI,SEP/MON-FRI/0800-2000,AIRPORT,Y-L
UKI,SEP/SAT-SUN/0930-2000,AIRPORT,Y-L
UKI,OCT/ALL/0800-1930,AIRPORT,Y-L
UKI,NOV/ALL/0800-1800,AIRPORT,Y-L
UKI,DEC-APR/ALL/0800-1730,AIRPORT,Y-L
UKI,MAY/MON-FRI/0800-1930,AIRPORT,Y-L
UKI,MAY/SAT-SUN/0930-1930,AIRPORT,Y-L
VNY,ALL/ALL/ALL,AIRPORT,Y-L
WVI,ALL/ALL/0900-1700,AIRPORT,Y-L
ALS,ALL/ALL/0800-1930,AIRPORT,Y-L
ASE,ALL/ALL/0700-2300,AIRPORT,Y-L
1V6,ALL/ALL/0800-1700,AIRPORT,Y-L
COS,ALL/ALL/ALL,AIRPORT,Y
CEZ,ALL/ALL/DAWN-DUSK,AIRPORT,Y-L
BJC,ALL/ALL/ALL,AIRPORT,Y-L
APA,ALL/ALL/ALL,AIRPORT,Y-L
DRO,ALL/ALL/0400-2400,AIRPORT,Y-L
EGE,APR-NOV/ALL/0700-1900,AIRPORT,Y-L
EGE,DEC-MAR/ALL/0700-2300,AIRPORT,Y-L
FNL,ALL/ALL/ALL,AIRPORT,Y-L
FMM,ALL/MON-SAT/0800-1700,AIRPORT,Y-L
GNB,UNATNDD,AIRPORT,Y-L
GJT,ALL/ALL/0530-0000L,AIRPORT,Y-L
HDN,ALL/ALL/0600-2000,AIRPORT,Y-L
MVI,ALL/MON-FRI/0800-1700,AIRPORT,Y-L
MVI,ALL/SAT-SUN/ON-CALL,AIRPORT,Y-L
MTJ,APR1-DEC15/ALL/0530-2100,AIRPORT,Y-L
MTJ,DEC16-MAR31/ALL/0500-2100,AIRPORT,Y-L
PUB,ALL/ALL/0500-2200,AIRPORT,Y
RIL,ALL/ALL/ALL,AIRPORT,Y-L
SBS,MAY-OCT/ALL/0700-1700,AIRPORT,Y-L
SBS,NOV-APR/ALL/0700-1700,AIRPORT,Y-L
BDR,ALL/ALL/0600-2400,AIRPORT,Y-L
GON,"ALL/ALL/0600- 2100",AIRPORT,Y-L
BDL,ALL/ALL/ALL,AIRPORT,Y-L
IAD,ALL/ALL/ALL,AIRPORT,Y-L
HEF,ALL/ALL/0630-2230,AIRPORT,Y-L
BOW,ALL/ALL/0600-1800,AIRPORT,Y-L
BCT,ALL/ALL/ALL,AIRPORT,Y-L
BKV,ALL/ALL/0600-2200,AIRPORT,Y-L
CLW,ALL/ALL/0700-2300,AIRPORT,Y-L
CEW,ALL/ALL/0600-2000,AIRPORT,Y-L
FLL,ALL/ALL/ALL,AIRPORT,Y
FXE,ALL/ALL/ALL,AIRPORT,Y-L
RSW,ALL/ALL/0700-0100,AIRPORT,Y-L
FPR,ALL/ALL/0700-2100,AIRPORT,Y-L
