Dep_Airport_ID,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
PIA,13/31,10104,150,CONC-G,HIGH,100,175,310,,G
PIA,04/22,8004,150,ASPH-F,HIGH,100,175,300,,F
RFD,07/25,10002,150,ASPH-CONC-G,HIGH,100,190,360,850,G
RFD,01/19,8200,150,ASPH-CONC-G,HIGH,100,210,390,850,G
SPI,13/31,7400,150,ASPH-F,HIGH,70,90,160,,G
SPI,04/22,8001,150,CONC-F,HIGH,100,200,350,,G
BAK,05/23,6401,150,CONC-E,HIGH,75,130,200,,G
BAK,14/32,5000,100,CONC-E,MED,120,171,290,735,G
EVV,04/22,8021,150,ASPH-G,HIGH,100,175,300,,G
EVV,09/27,3497,75,ASPH-G,MED,30,40,60,,G
EVV,18/36,6286,150,ASPH-G,HIGH,100,175,300,,G
GYY,02/20,3604,100,ASPH-F,MED,18,28,,,F
GYY,12/30,8859,150,CONC-G,HIGH,75,157,175,250,G
HFY,01/19,5102,75,ASPH-E,MED,,,,,G
IND,05L/23R,11200,150,CONC-G,HIGH,145,300,550,,G
IND,05R/23L,10000,150,CONC-G,HIGH,145,300,550,,G
IND,14/32,7278,150,ASPH-G,HIGH,145,300,550,,G
LAF,10/28,6600,150,ASPH-G,HIGH,90,110,165,,F
LAF,05/23,4225,100,ASPH-G,MED,48,58,90,,F
RID,15/33,4999,100,ASPH-F,MED,30,40,60,,G
RID,06/24,5502,150,ASPH-E,MED,30,40,60,,G
DBQ,13/31,6502,100,CONC-G,HIGH,75,125,215,,G
DBQ,18/36,6327,150,CONC-G,HIGH,75,173,275,,G
GCK,17/35,7299,100,CONC-G,HIGH,76,91,125,,G
GCK,12/30,5700,100,CONC-G,MED,48,60,,,G
HUT,17/35,4012,75,CONC-E,MED,43,58,76,,G
HUT,13/31,7003,100,ASPH-E,HIGH,44,58,103,,F
HUT,04/22,4405,100,ASPH-F,MED,42,52,76,,G
LBL,17/35,7105,100,CONC-E,HIGH,80,100,,,G
LBL,04/22,5000,75,CONC-E,MED,30,60,,,G
EWK,17/35,7003,100,CONC-G,HIGH,50,75,135,,G
EWK,08/26,3501,60,ASPH-G,MED,13,,,,G
TOP,18/36,4331,75,ASPH-G,MED,60,80,96,,F
TOP,13/31,5099,100,ASPH-G,HIGH,50,72,110,,G
ICT,01R/19L,7302,150,CONC-G,HIGH,125,240,400,,G
ICT,14/32,6301,150,CONC-G,HIGH,100,190,280,,G
ICT,01L/19R,10302,150,CONC-G,HIGH,100,210,300,,G
AAO,18/36,6101,100,CONC-G,MED,40,62,,,G
IAB,01L/19R,12000,150,ASPH-CONC,HIGH,,,,,
IAB,01R/19L,12007,150,ASPH-F,HIGH,,,,,F
BWG,12/30,3956,150,ASPH-P,MED,25,40,,,G
BWG,03/21,6501,150,ASPH-G,HIGH,120,221,358,,F
FFT,07/25,5506,100,ASPH-G,MED,76,100,82,,G
GLW,08/26,5302,100,ASPH-G,MED,43,62,,,G
LOZ,06/24,5751,150,ASPH-G,MED,61,82,151,,G
2I0,05/23,6051,100,ASPH-F,HIGH,92,127,,,F
M25,01/19,5002,100,ASPH-F,MED,16,,,,P
EKQ,03/21,4000,75,ASPH-G,MED,12,,,,P
IOB,03/21,5000,75,ASPH-G,MED,20,,,,G
PAH,05/23,6500,150,ASPH-G,HIGH,76,99,170,,G
PAH,14/32,5499,150,ASPH-G,MED,75,100,170,,G
SJS,03/21,5000,100,ASPH-E,MED,19,,,,G
HUM,18/36,6508,150,CONC-G,MED,116,224,406,907,G
HUM,12/30,4999,185,CONC-G,MED,50,70,137,,G
LFT,11/29,5400,148,ASPH-G,MED,85,110,175,,G
LFT,04R/22L,8000,150,ASPH-G,HIGH,140,170,290,,G
LFT,04L/22R,4099,75,ASPH-F,MED,25,32,,,F
MLU,14/32,6301,150,ASPH-G,MED,75,170,290,,G
MLU,04/22,7504,150,ASPH-G,HIGH,75,170,290,,G
NEW,18L/36R,3697,75,ASPH-G,MED,35,55,80,,G
NEW,18R/36L,6879,150,ASPH-G,MED,60,175,200,350,G
NEW,09/27,3114,75,ASPH-F,MED,50,80,100,,G
SHV,14/32,8348,200,ASPH-E,HIGH,75,190,400,,G
SHV,06/24,7003,150,ASPH-E,MED,75,158,280,,G
TVR,18/36,5002,100,ASPH-G,MED,60,75,,,G
BGR,H1,100,100,CONC-G,,,,,,
BGR,15/33,11440,200,ASPH-G,HIGH,100,210,400,,G
RKD,03/21,4000,100,ASPH-G,MED,65,80,,,G
RKD,13/31,5412,100,ASPH-E,HIGH,65,80,,,G
SFM,07/25,6389,100,ASPH-G,HIGH,65,100,,,G
SFM,14/32,4999,100,ASPH-G,MED,,72,,,G
BWI,10/28,10503,150,ASPH-G,HIGH,80,220,1020,1340,G
BWI,15L/33R,5000,100,ASPH-F,HIGH,30,45,,,G
BWI,15R/33L,9501,150,ASPH-G,HIGH,80,220,675,890,G
FDK,12/30,3599,75,ASPH-G,MED,,,,,F
FDK,05/23,5819,100,ASPH-G,HIGH,60,,,,G
AQW,11/29,4300,100,ASPH-E,MED,25,,,,G
OWD,10/28,3995,75,ASPH-G,,58,69,,,G
OWD,17/35,4007,100,ASPH-G,MED,58,69,,,G
GLR,09/27,6579,150,ASPH-G,HIGH,,100,,,F
GLR,18/36,4200,75,ASPH-G,MED,12,,,,F
OZW,13/31,5002,100,CONC-G,HIGH,100,,,,F
LAN,10R/28L,8506,150,ASPH-G,HIGH,100,175,300,,G
LAN,06/24,5003,120,ASPH-F,MED,45,65,100,,G
LAN,10L/28R,3601,75,ASPH-F,,12,,,,F
SAW,01/19,9072,150,ASPH-G,HIGH,114,181,317,741,F
OSC,07/25,11800,200,ASPH-G,HIGH,155,330,550,,G
PLN,05/23,5401,150,ASPH-G,MED,76,115,215,,F
PLN,14/32,6513,150,ASPH-G,HIGH,76,115,215,,F
LWA,05/23,4800,75,ASPH-G,MED,12,,,,G
LWA,14/32,3260,190,TURF-F,,,,,,
TVC,10/28,7016,150,ASPH-F,HIGH,120,230,440,,G
TVC,18/36,5378,150,ASPH-F,MED,70,110,190,,G
AIT,08/26,3123,140,TURF-G,,,,,,
AIT,16/34,4000,75,ASPH-F,MED,12,,,,G
AUM,17/35,5800,100,CONC-G,HIGH,100,135,,,G
BJI,13/31,7004,150,ASPH-E,HIGH,75,200,,,G
BJI,07/25,5700,150,ASPH-E,MED,75,200,,,G
BRD,H1,60,60,CONC-G,PERI,,,,,G
BRD,05/23,6512,150,CONC-G,HIGH,75,125,220,,G
BRD,16/34,7100,150,CONC-E,HIGH,75,125,220,,G
COQ,18/36,4002,75,ASPH-F,MED,8,12,,,G
COQ,07/25,3100,75,ASPH-F,MED,,,,,G
DLH,03/21,5719,150,ASPH-G,MED,52,100,361,,G
DLH,09/27,10591,150,CONC-F,HIGH,94,180,650,,G
ELO,12/30,5596,100,ASPH-G,MED,99,159,,,G
GPZ,16/34,5756,100,ASPH-G,HIGH,23,38,78,,G
GPZ,05/23,3000,60,ASPH-G,MED,125,,,,G
HIB,13/31,6758,150,ASPH-E,HIGH,60,100,160,,G
HIB,04/22,3075,75,ASPH-E,,35,45,,,G
INL,04/22,2999,75,ASPH-F,,12,,,,F
INL,13/31,7400,150,ASPH-G,HIGH,100,125,190,,G
MKT,04/22,4000,75,ASPH-G,MED,18,25,,,G
MKT,15/33,6600,100,CONC-G,HIGH,60,120,155,237,G
MSP,12L/30R,8200,150,CONC-F,HIGH,100,200,400,850,G
MSP,12R/30L,10000,200,CONC-G,HIGH,100,200,400,850,G
MSP,17/35,8000,150,CONC-G,HIGH,100,200,400,850,G
MSP,04/22,11006,150,CONC-G,HIGH,100,200,400,850,G
ANE,18/36,4855,100,ASPH-G,MED,23,60,,,G
ANE,09/27,5000,100,ASPH-G,HIGH,23,60,,,G
FCM,10L/28R,3901,75,ASPH-F,MED,12,,,,G
FCM,10R/28L,5001,100,ASPH-G,HIGH,30,60,,,G
FCM,18/36,2690,75,ASPH-G,MED,12,,,,G
RST,02/20,7301,150,CONC-G,MED,100,175,300,,G
RST,13/31,9034,150,CONC-G,HIGH,100,175,300,,G
STP,09/27,3642,100,ASPH-G,MED,12,,,,G
STP,13/31,4004,150,ASPH-G,HIGH,97,135,228,,G
STP,14/32,6491,150,ASPH-G,HIGH,83,111,197,,G
SGS,16/34,4002,100,ASPH-G,MED,30,57,,,G
TWM,06/24,4400,75,ASPH-G,MED,,,,,F
TWM,15/33,2581,150,TURF-G,,,,,,
RRT,04/22,2987,150,TURF-G,,,,,,
RRT,13/31,5400,100,ASPH-G,HIGH,30,40,,,G
HSA,18/36,8498,150,ASPH-G,HIGH,,,472,955,P
GTR,18/36,8003,150,ASPH-G,HIGH,120,239,385,669,G
JAN,16L/34R,8500,150,ASPH-G,HIGH,75,200,390,850,G
JAN,16R/34L,8500,150,ASPH-E,HIGH,130,140,250,720,G
MEI,04/22,4599,150,ASPH-P,MED,78,118,211,,F
MEI,01/19,10003,150,ASPH-CONC-G,HIGH,120,250,550,,F
HEZ,18/36,5000,150,ASPH-P,MED,83,113,65,,P
HEZ,13/31,6500,150,ASPH-P,HIGH,50,78,172,,F
UOX,09/27,5600,100,ASPH-F,MED,38,55,90,,F
VKS,01/19,5001,100,ASPH-F,MED,30,50,90,,F
M17,18/36,4000,75,ASPH-E,MED,12,,,,G
BBG,14/32,7140,150,CONC-G,HIGH,75,200,350,700,G
CGI,10/28,6500,150,CONC-G,HIGH,93,125,215,,G
CGI,02/20,3997,100,ASPH-CONC-F,MED,45,60,100,,G
AIZ,04/22,6497,100,ASPH-G,MED,55,70,215,,F
MKC,01/19,6827,150,CONC-E,HIGH,86,171,342,,G
MKC,03/21,5050,100,ASPH-E,HIGH,48,73,136,,G
TKX,18/36,3012,75,ASPH-G,MED,10,,,,G
TKX,02/20,5000,75,CONC-G,MED,30,42,,,G
IRK,09/27,1370,100,TURF-G,,,,,,
IRK,18/36,6005,100,CONC-F,HIGH,30,48,85,,F
MBY,05/23,3350,60,CONC-E,MED,4,,,,G
MBY,13/31,5000,75,CONC-E,MED,30,38,,,G
VIH,13/31,5501,100,ASPH-F,MED,48,62,92,,F
VIH,04/22,5500,100,ASPH-E,MED,75,85,130,,G
SIK,03/21,5502,100,ASPH-G,MED,30,38,,,P
SGF,02/20,7003,150,CONC-G,HIGH,135,170,300,,G
SGF,14/32,8000,150,CONC-E,HIGH,135,170,300,,G
BHK,13/31,5904,75,ASPH-E,MED,20,26,,,G
6S0,06/24,5285,75,ASPH-G,MED,12,,,,G
6S0,18/36,3475,75,TURF-G,,,,,,
BIL,10R/28L,3800,75,ASPH-G,MED,12,,,,F
BIL,10L/28R,10518,150,ASPH-G,HIGH,120,214,365,,G
BIL,07/25,5501,75,ASPH-G,MED,12,,,,G
BZN,11/29,5050,75,ASPH-G,MED,12,,,,G
BZN,12/30,8994,150,ASPH-G,HIGH,120,250,550,1120,G
BZN,03/21,2650,75,ASPH-G,,12,,,,G
BZN,11G/29G,2802,80,TURF-G,,,,,,
8S0,06/24,4051,74,ASPH-G,MED,,,,,F
BTM,12/30,5100,75,ASPH-G,MED,12,,,,G
BTM,15/33,9000,150,ASPH-G,MED,60,125,175,,G
LTY,07/25,4607,75,ASPH-E,MED,12,,,,G
LTY,16/34,1710,60,TURF-F,,,,,,
6S3,10/28,3800,75,ASPH-E,MED,12,,,,G
CTB,14/32,5300,75,ASPH-E,MED,27,37,,,G
CTB,05/23,5300,75,ASPH-E,MED,27,37,,,G
38S,13/31,5800,75,ASPH-E,MED,50,75,,,G
DLN,17/35,6501,75,ASPH-E,MED,58,75,129,,G
DLN,04/22,3600,60,ASPH-E,MED,12,,,,G
GTF,17/35,6030,150,ASPH-G,MED,87,140,245,245,G
GTF,03/21,10502,150,ASPH-G,HIGH,116,225,424,915,G
HRF,17/35,5200,75,ASPH-E,MED,40,53,,,G
HLN,09/27,9000,150,ASPH-G,HIGH,,160,250,420,G
HLN,05/23,4644,75,ASPH-F,MED,21,30,,,G
HLN,17/35,2989,75,ASPH-F,MED,,,,,G
HLN,10/28,1584,75,TURF,,,,,,
GPI,02/20,9007,150,ASPH-G,HIGH,115,198,321,,G
GPI,12/30,3510,75,ASPH-G,MED,25,40,,,G
LWT,03/21,5600,101,ASPH-P,,12,80,120,,P
LWT,08/26,6100,100,ASPH-G,MED,40,55,95,,G
LWT,13/31,4102,62,ASPH-G,MED,12,,,,G
MLS,04/22,5764,75,ASPH-E,MED,24,24,,,G
MLS,13/31,5624,100,ASPH-G,MED,38,55,85,,G
MSO,08/26,4612,75,ASPH-F,MED,30,50,,,G
MSO,12/30,9501,150,ASPH-G,HIGH,145,170,255,,G
8S1,18/36,4194,75,ASPH-G,MED,17,,,,G
8S1,03W/21W,4000,500,WATER,,,,,,
7S0,16/34,4798,75,ASPH-E,MED,,,,,G
SDY,01/19,5705,100,ASPH-G,MED,46,61,109,,G
SDY,11/29,4024,100,ASPH-G,MED,12,18,,,G
32S,12/30,3809,75,ASPH-G,MED,12,,,,G
RVF,07/25,2866,100,TURF-DIRT-G,,,,,,
RVF,17/35,6000,60,ASPH-G,MED,60,78,99,,G
WYS,01/19,8400,150,ASPH-G,HIGH,90,150,280,,G
FET,14/32,6353,100,CONC-G,MED,28,48,,,G
EAR,13/31,4498,75,CONC-E,MED,30,38,,,G
EAR,18/36,7094,100,CONC-E,HIGH,46,62,,,G
LNK,18/36,12901,200,ASPH-CONC-F,HIGH,100,200,400,,G
LNK,17/35,5801,100,ASPH-G,MED,45,59,,,G
LNK,14/32,8649,150,ASPH-F,MED,80,170,280,,G
LBF,12/30,8001,150,CONC-E,HIGH,75,110,190,,G
LBF,17/35,4436,100,CONC-E,MED,28,48,86,,G
OMA,14L/32R,8500,150,CONC-E,HIGH,100,209,345,,G
OMA,14R/32L,9502,150,CONC-E,HIGH,100,184,346,,G
OMA,18/36,8154,150,CONC-E,HIGH,150,175,260,,G
BFF,05/23,8002,150,ASPH-G,MED,98,158,285,,G
BFF,12/30,8279,150,ASPH-G,HIGH,109,178,321,,G
SNY,03/21,4705,75,TURF-G,,,,,,F
SNY,13/31,6600,100,CONC-G,HIGH,32,52,96,,G
BAM,04/22,7300,150,ASPH-G,MED,30,125,,,F
BAM,13/31,7299,100,ASPH-F,MED,30,104,,,P
BAM,H1,60,60,CONC-G,PERI,,,,,
BAM,H2,60,60,CONC-G,,,,,,
BVU,15/33,3852,75,ASPH-G,MED,12,,,,G
BVU,09/27,5103,75,ASPH-G,MED,12,,,,G
CXP,09/27,6101,75,ASPH-E,MED,30,60,,,G
EKO,12/30,3015,60,ASPH-G,,12,,,,G
EKO,06/24,7454,150,ASPH-G,MED,78,105,170,,G
ELY,12/30,4825,60,ASPH-G,MED,15,,,,G
ELY,18/36,6017,150,ASPH-E,HIGH,70,85,130,,G
INS,08/26,9002,150,ASPH,MED,,,,,
INS,13/31,5476,100,ASPH,,,,,,
VGT,12L/30R,4199,75,ASPH-G,MED,30,,,,G
VGT,07/25,5005,75,ASPH-G,MED,30,,,,G
VGT,12R/30L,5000,75,ASPH-G,MED,30,,,,G
HND,17R/35L,6501,100,ASPH-E,MED,30,60,,,G
HND,17L/35R,5001,75,ASPH-E,MED,30,30,,,G
LAS,08L/26R,14515,150,CONC-G,HIGH,100,250,504,1014,G
LAS,01R/19L,9771,150,CONC-G,MED,120,250,550,1120,G
LAS,01L/19R,8988,150,CONC-G,HIGH,120,250,550,1120,G
LAS,08R/26L,10526,150,CONC-E,HIGH,120,250,633,1120,G
LOL,02/20,5529,75,ASPH-G,MED,30,,,,G
LOL,08/26,4931,75,ASPH-G,,17,,,,G
MEV,12/30,5299,75,ASPH-G,,50,75,,,G
MEV,12G/30G,2050,60,DIRT-G,,,,,,
MEV,16/34,7399,100,ASPH-E,HIGH,50,75,,,G
RNO,17L/35R,9000,150,CONC-G,HIGH,75,209,407,850,G
RNO,08/26,6102,150,CONC-G,MED,60,170,260,,G
RNO,17R/35L,11001,150,CONC-G,HIGH,75,185,350,850,G
RTS,08/26,7608,150,ASPH-E,HIGH,,,,,G
RTS,14/32,9000,150,ASPH-G,HIGH,,,,,G
EEN,02/20,6201,100,ASPH-E,HIGH,,60,,,G
EEN,14/32,4001,75,ASPH-E,MED,25,,,,G
ACY,H1,102,102,ASPH,,,,,,
ACY,13/31,10000,150,ASPH-G,HIGH,85,120,350,,G
ACY,04/22,6144,150,ASPH-CONC-G,HIGH,75,175,400,900,G
MMU,13/31,3997,150,ASPH-G,MED,30,,,,G
MMU,05/23,5998,150,ASPH-G,HIGH,30,80,,,G
WWD,01/19,5252,150,ASPH-G,HIGH,45,75,120,,G
WWD,10/28,5000,150,ASPH-G,MED,45,75,120,,G
ALM,17/35,3257,190,DIRT-F,,,,,,G
ALM,04/22,9207,150,ASPH-G,MED,54,74,120,,G
AEG,04/22,7398,100,ASPH-G,MED,30,,,,G
AEG,17/35,5983,100,ASPH-G,MED,30,,,,G
ABQ,03/21,10000,150,CONC-G,HIGH,100,210,360,720,G
ABQ,08/26,13793,150,CONC-G,HIGH,100,210,360,720,G
ABQ,12/30,6000,150,CONC-G,MED,65,120,155,,G
BRG,03/21,6601,60,ASPH-E,MED,12,,,,G
BRG,13/31,5280,75,ASPH-G,,,,,,G
CVN,08/26,2442,75,TURF-F,,,,,,
CVN,04/22,7200,150,ASPH-G,MED,45,57,,,G
CVN,12/30,5697,100,ASPH-G,MED,42,50,,,G
DMN,08/26,8018,75,ASPH-G,MED,20,,,,G
DMN,04/22,5675,60,ASPH-G,MED,12,,,,G
FMN,07/25,6704,100,ASPH-G,MED,50,90,,,G
FMN,05/23,6501,150,ASPH-E,MED,47,66,,,G
LVS,14/32,8199,75,ASPH-G,MED,20,,,,G
LVS,02/20,5006,75,ASPH-G,MED,20,,,,G
ROW,17/35,9999,100,ASPH-G,MED,77,104,165,,G
ROW,03/21,13001,150,CONC-E,MED,100,200,400,,G
SAF,02/20,8366,150,ASPH-F,MED,116,164,269,,G
SAF,10/28,6301,75,ASPH-G,,12,,,,G
SAF,15/33,6316,100,ASPH-E,MED,28,43,,,G
SVC,17/35,5473,75,DIRT-G,,,,,,
SVC,08/26,6803,100,ASPH-G,MED,75,100,,,G
SVC,12/30,4675,75,DIRT-G,,,,,,
SVC,03/21,4537,80,DIRT-F,,,,,,
SKX,04/22,5504,75,ASPH-G,MED,24,,,,G
SKX,13/31,8600,100,CONC-G,MED,60,,,,G
ITH,14/32,6977,150,ASPH-G,HIGH,100,192,574,1044,G
ITH,15/33,2018,50,TURF-E,,,,,,
PEO,01/19,5499,100,ASPH-G,MED,82,112,195,,G
PEO,10/28,3561,50,ASPH-G,LOW,12,,,,G
POU,06/24,5001,100,ASPH-E,HIGH,50,60,110,,G
POU,07/25,1357,100,TURF-G,,,,,,
POU,15/33,2743,100,ASPH-CONC-G,MED,35,45,80,,G
AVL,17/35,8002,150,ASPH-E,HIGH,120,219,404,837,G
JQF,02/20,7402,100,ASPH-G,HIGH,,129,,,G
GSO,14/32,6380,150,ASPH-F,HIGH,120,218,352,,G
GSO,05L/23R,9000,150,ASPH-F,HIGH,120,250,550,1120,G
GSO,05R/23L,10001,150,ASPH-G,HIGH,120,250,550,1051,G
MQI,17/35,3303,75,ASPH-G,MED,20,,,,G
MQI,05/23,4306,100,ASPH-E,MED,48,,,,G
EQY,05/23,7001,100,ASPH-E,HIGH,35,68,,,G
14A,14/32,3147,40,ASPH-G,MED,8,,,,G
SOP,05/23,6503,150,ASPH-G,HIGH,100,162,,,G
SVH,10/28,7003,100,ASPH-E,HIGH,30,100,,,G
BIS,03/21,6600,100,ASPH-G,HIGH,130,180,340,,G
BIS,13/31,8794,150,ASPH-CONC-G,HIGH,130,180,340,,G
DIK,07/25,4700,75,ASPH-G,MED,16,20,,,F
DIK,14/32,7301,150,CONC-E,HIGH,60,90,90,,G
FAR,18/36,9001,150,CONC-G,HIGH,100,200,400,,G
FAR,13/31,3801,75,CONC-G,MED,26,35,,,G
FAR,09/27,6302,100,CONC-G,MED,60,100,,,G
JMS,04/22,5750,75,ASPH-F,MED,85,103,162,,G
JMS,13/31,6502,100,ASPH-G,HIGH,130,160,250,,G
S25,12/30,6550,75,CONC-E,MED,78,98,186,,G
XWA,04/22,4502,75,CONC-E,MED,12,,,,G
XWA,14/32,7503,150,CONC-E,HIGH,120,195,339,,G
UNI,07/25,5600,100,ASPH-G,MED,56,82,,,F
LUK,03L/21R,3801,100,ASPH-F,MED,11,,,,F
LUK,03R/21L,6101,150,ASPH-E,HIGH,60,70,140,,G
LUK,07/25,5127,100,ASPH-F,MED,11,20,55,,F
DFI,12/30,4199,72,ASPH-F,MED,,,,,G
TOL,16/34,5599,150,ASPH-G,MED,100,174,300,,G
TOL,07/25,10600,150,ASPH-G,HIGH,100,174,300,550,G
ADH,13/31,2717,50,ASPH-CONC-P,,50,171,280,,F
ADH,18/36,6203,100,ASPH-G,MED,50,140,224,,G
ADH,H1,40,40,CONC-E,PERI,,,,,G
ADM,13/31,9002,150,CONC-G,HIGH,,,,,F
ADM,17/35,5404,100,ASPH-G,MED,36,,,,G
BVO,17/35,6850,100,CONC-G,MED,50,100,170,,G
6K4,17/35,4400,75,ASPH-CONC-G,MED,30,,,,G
OKC,13/31,7800,150,ASPH-CONC-F,MED,120,250,489,,G
OKC,17L/35R,9803,150,CONC-G,HIGH,120,250,550,,G
OKC,17R/35L,9801,150,CONC-G,HIGH,120,250,550,,G
OKC,18/36,3078,75,ASPH-G,,116,164,269,,G
RCE,17R/35L,6014,100,CONC-G,HIGH,40,60,,,G
RCE,17L/35R,3502,75,CONC-G,MED,17,,,,G
PNC,17/35,7201,100,CONC-G,HIGH,51,65,122,,G
TUL,08/26,7376,150,CONC-G,HIGH,75,200,350,,G
TUL,18L/36R,10000,150,CONC-E,HIGH,75,200,400,,G
TUL,18R/36L,6101,100,ASPH-G,HIGH,100,140,,,G
AST,08/26,5794,100,ASPH,MED,60,76,119,,G
AST,14/32,4467,100,ASPH-E,MED,60,76,119,,G
UAO,17/35,5003,100,ASPH-G,MED,30,45,,,G
BKE,08/26,3670,140,ASPH-F,,30,,,,F
BKE,13/31,5085,100,ASPH-G,MED,50,65,,,G
BKE,17/35,4359,75,ASPH-G,,30,,,,G
BDN,16/34,5201,75,ASPH-G,MED,30,,,,G
BNO,03/21,4600,60,CONC-G,MED,30,,,,G
BNO,12/30,5101,75,CONC-G,MED,30,50,90,,G
CVO,10/28,3100,75,ASPH-F,MED,51,65,100,,G
CVO,17/35,5900,150,ASPH-G,MED,35,73,100,,F
77S,16/34,3102,60,ASPH-F,MED,12,,,,G
EUG,16R/34L,8009,150,ASPH-G,HIGH,120,250,550,,G
EUG,16L/34R,6000,150,ASPH-G,HIGH,120,211,342,,G
4S2,07/25,3040,75,ASPH-E,MED,23,,,,G
GCD,17/35,5224,60,ASPH-G,MED,12,,,,F
GCD,09/27,4100,60,ASPH-G,MED,12,,,,G
LMT,07/25,5258,100,ASPH-G,MED,53,77,,,G
LMT,14/32,10302,150,ASPH-CONC-G,HIGH,107,175,315,,G
LGD,17/35,3400,75,ASPH-G,MED,45,60,100,,G
LGD,12/30,6261,100,ASPH-G,MED,65,90,130,,G
LKV,17/35,5318,100,ASPH-G,MED,74,86,,,G
MMV,17/35,4340,75,ASPH-E,,30,,,,P
MMV,04/22,5420,100,ASPH-E,HIGH,40,50,80,,G
S33,04/22,2701,50,ASPH-F,,16,,,,F
S33,16/34,5091,75,ASPH-G,MED,75,120,180,,G
MFR,14/32,8800,150,ASPH-G,HIGH,75,200,400,,G
ONP,02/20,3001,75,ASPH-G,MED,33,50,84,,G
ONP,16/34,5398,100,ASPH-G,HIGH,75,120,170,,G
OTH,05/23,5980,150,ASPH-G,HIGH,120,215,340,800,F
OTH,13/31,4470,150,ASPH-G,MED,120,190,305,735,G
ONO,15/33,5006,100,ASPH-F,MED,30,60,,,G
22S,13/31,4300,60,ASPH-G,LOW,,,,,G
PDT,08/26,6301,150,ASPH-F,HIGH,115,132,210,,G
PDT,11/29,4809,100,ASPH-G,MED,70,120,122,,G
HIO,13R/31L,6600,150,ASPH-G,HIGH,50,70,110,,G
HIO,02/20,3820,75,ASPH-G,MED,54,74,139,,F
HIO,13L/31R,3600,60,ASPH-E,MED,28,,,,G
PDX,10R/28L,11000,150,CONC-G,HIGH,200,200,360,,G
PDX,03/21,6000,150,ASPH-E,MED,120,250,380,,G
PDX,10L/28R,9825,150,ASPH-E,HIGH,200,200,400,,G
S39,15/33,4053,40,ASPH-P,LOW,5,,,,G
S39,11/29,5405,75,ASPH-G,MED,30,,,,G
RDM,H1,48,48,CONC,,,,,,
RDM,05/23,7038,150,ASPH-G,HIGH,120,216,399,,G
RDM,11/29,7006,100,ASPH-G,MED,109,178,,,G
REO,03/21,6000,150,GRAVEL-F,,,,,,
RBG,16/34,5003,100,ASPH-G,MED,42,54,88,,F
SLE,16/34,5146,100,ASPH-G,MED,39,52,,,G
SLE,13/31,5811,150,ASPH-G,HIGH,105,147,,,G
SLE,H1,37,37,CONC-E,,,,,,G
SPB,15/33,5100,100,ASPH-F,MED,30,50,90,,F
S21,18/36,5460,75,ASPH-F,MED,30,,,,G
DLS,13/31,5097,100,ASPH-G,MED,30,30,,,G
DLS,07/25,4647,100,ASPH-G,MED,30,30,,,F
TMK,01/19,2911,75,ASPH-G,MED,40,46,67,,G
TMK,13/31,5001,75,ASPH-G,MED,60,75,125,,G
CXY,08/26,5000,150,ASPH-G,HIGH,65,105,185,,G
CXY,12/30,3778,100,ASPH-G,MED,40,65,115,,G
PHL,09L/27R,9500,150,ASPH-G,HIGH,100,210,350,,G
PHL,09R/27L,12000,200,ASPH-G,HIGH,200,210,350,,G
PHL,17/35,6500,150,ASPH-G,HIGH,100,170,300,,G
PHL,08/26,5001,150,ASPH-G,HIGH,,145,,,G
PNE,15/33,5000,150,ASPH-G,MED,40,55,,,G
PNE,06/24,7000,100,ASPH-G,HIGH,120,250,550,,G
AGC,13/31,3825,100,CONC-G,HIGH,20,22,,,G
AGC,10/28,6501,150,CONC-G,HIGH,90,120,210,,G
AGC,H1,47,45,CONC-G,,,,,,G
UNV,06/24,6701,150,ASPH-G,HIGH,50,110,,,G
AIK,07/25,5500,100,ASPH-G,MED,55,75,140,,G
AIK,01/19,3800,75,ASPH-F,,54,75,139,,G
JZI,04/22,4313,150,CONC-G,MED,45,56,,,G
JZI,09/27,5350,100,CONC-E,HIGH,60,100,,,G
CHS,15/33,9001,150,CONC-G,HIGH,,,,,G
CHS,03/21,7000,150,CONC-G,HIGH,,,,,G
CUB,13/31,5011,75,ASPH-F,MED,44,66,,,G
GMU,H2,50,50,CONC-G,PERI,20,,,,
GMU,H1,50,50,CONC-G,PERI,20,,,,
GMU,10/28,4000,80,ASPH-G,MED,43,62,,,G
GMU,01/19,5393,100,ASPH-E,HIGH,61,81,151,,G
GYH,05/23,8000,150,CONC-G,HIGH,94,121,199,,G
HXD,03/21,5000,100,ASPH-G,MED,55,75,,,G
ABR,17/35,5500,100,ASPH-E,MED,63,82,139,,G
ABR,13/31,6901,100,CONC-G,HIGH,120,195,339,,G
HON,18/36,5000,75,CONC-G,MED,40,55,,,G
HON,12/30,7201,100,CONC-G,HIGH,75,150,280,395,G
PIR,13/31,6900,100,ASPH-G,HIGH,91,108,168,,G
PIR,07/25,6880,150,ASPH-G,HIGH,91,114,180,,G
RAP,14/32,8701,150,CONC-G,HIGH,140,190,300,,G
RAP,05/23,3601,75,ASPH-G,MED,12,,,,F
FSD,15/33,8000,150,CONC-G,HIGH,100,180,400,,G
FSD,03/21,9000,150,CONC-G,HIGH,200,200,444,,G
FSD,09/27,3151,75,CONC-F,MED,30,,,,G
