Dep_Airport_ID,Schedules,Facility_Type,Wind_Indicator,Runway_ID,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
TUS,ALL/ALL/ALL,AIRPORT,Y-L,11L/29R,10996,150,ASPH-G,HIGH,160,200,350,585,G
TUS,ALL/ALL/ALL,AIRPORT,Y-L,11R/29L,8408,75,ASPH-G,MED,120,140,220,,G
RYN,ALL/M-F/0800-1700,AIRPORT,Y-L,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
RYN,ALL/SAT/0800-1700,AIRPORT,Y-L,06L/24R,4900,75,ASPH-G,MED,12,30,,,F
RYN,ALL/M-F/0800-1700,AIRPORT,Y-L,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
RYN,ALL/SAT/0800-1700,AIRPORT,Y-L,06R/24L,5500,75,ASPH-G,MED,12,30,,,G
E25,ALL/TUE-SAT/0700-1600,AIRPORT,Y-L,05/23,6101,75,ASPH-G,MED,30,60,,,G
INW,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L,04/22,7499,150,ASPH-G,MED,50,80,125,,F
INW,ALL/MON-FRI/0700-1800,AIRPORT,Y-L,04/22,7499,150,ASPH-G,MED,50,80,125,,F
INW,ALL/SAT-SUN/0800-1700,AIRPORT,Y-L,11/29,7100,150,ASPH-F,MED,60,70,110,,F
INW,ALL/MON-FRI/0700-1800,AIRPORT,Y-L,11/29,7100,150,ASPH-F,MED,60,70,110,,F
NYL,ALL/ALL/,AIRPORT,Y-L,03R/21L,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
NYL,ALL/ALL/,AIRPORT,Y-L,08/26,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,ALL/ALL/,AIRPORT,Y-L,17/35,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,ALL/ALL/,AIRPORT,Y-L,03L/21R,13300,200,CONC-G,HIGH,103,200,400,,G
FYV,ALL/MON-FRI/0600-2200,AIRPORT,Y-L,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FYV,ALL/SAT-SUN/0800-2000,AIRPORT,Y-L,16/34,6005,100,ASPH-G,MED,90,150,175,,G
FSM,ALL/ALL/ALL,AIRPORT,Y-L,02/20,5001,150,ASPH-G,MED,55,70,120,,G
FSM,ALL/ALL/ALL,AIRPORT,Y-L,08/26,8017,150,ASPH-G,HIGH,75,175,295,,G
HOT,ALL/ALL/0500-2200,AIRPORT,Y-L,05/23,6595,150,ASPH-G,HIGH,75,125,210,400,G
HOT,ALL/ALL/0500-2200,AIRPORT,Y-L,13/31,4098,100,ASPH-G,MED,28,36,63,,G
JBR,ALL/ALL/0600-2100,AIRPORT,Y-L,05/23,6200,150,ASPH-G,MED,40,48,76,,P
JBR,ALL/ALL/0600-2100,AIRPORT,Y-L,13/31,4099,150,ASPH-G,MED,50,60,95,,F
