airport_numbers,near_by_airport1,near_by_airport2,near_by_airport3
DLH,KDYT,KSUW,KCOQ
DLN,KRVF,KEKS,KBTM
DLS,KTTD,S33,KPDX
DMA,KRYN,KAVQ,KFHU
DMN,KSVC,KLRU,KDNA
DNL,KAGS,KAIK,KHQU
DPA,KARR,1C5,KORD
DPG,KDTA,KPVU,U14
DRO,KFMN,KPSO,KCEZ
DTO,KAFW,KLUD,4T2
DUT,nan,nan,nan
DVT,KSDL,KGEU,KPHX
DZB,KBMQ,KRYW,3R9
E25,KLUF,KGEU,KGYR
EAR,0V3,KHDE,KHSI
EAT,KELN,KEPH,KMWH
ECP,54J,KBCR,KDTS
EDF,PAMR,PAFR,PANC
EDN,KLOR,KOZR,KHEY
EED,KHII,KIFP,P20
EEN,KAFN,KORE,0B5
EET,KEKY,0A8,02A
EFD,T41,KHOU,KLVJ
EGE,KASE,20V,KLXV
EGTC,nan,nan,nan
EKO,KBAM,10U,05U
EKQ,K24,KSME,18I
ELO,12D,KCQM,KEVM
ELP,KBIF,KDNA,KLRU
ELY,05U,KENV,nan
EMT,KPOC,KFUL,KLGB
ENA,PASX,PANC,PAMR
ENN,PAFA,PAHV,PAFB
ENV,KDPG,KTVY,KEKO
ENW,KUGN,KRAC,C81
EQY,N52,KCLT,KLKR
EUG,77S,KCVO,S12
EVB,X50,7FL6,KDAB
EVV,KEHR,KOWB,KCUL
EVW,KFBR,KEMM,KHIF
EWK,47K,1K1,KAAO
EYW,KNQX,KMTH,KMKY
F05,KFDR,KLTS,KAXS
FAI,PAFB,PAEI,PANN
FAR,KJKJ,5N8,K74
FAT,KFCH,O32,KMAE
FBK,PAFA,PAEI,PANN
FCM,KMSP,KMIC,KLVN
FDK,W50,2W2,KGAI
FET,KSCB,KAHQ,KBTA
FFC,KCCO,KHMP,6A2
FFT,KLEX,27K,0I8
FFZ,KIWA,KCHD,KSDL
FHR,KORS,KNUW,KOKH
FHU,KOLS,KDUG,KTUS
FLG,KSEZ,P52,40G
FLL,KHWO,KFXE,KPMP
FMM,KAKO,KSTK,KGXY
FMN,KDRO,KCEZ,KPSO
FNL,KGXY,KLMO,KEIK
FOT,KEKA,KACV,KCEC
FPR,KVRB,X26,KSUA
FSD,KLYV,KRRQ,KMDS
FSM,KJSV,KRKR,7M5
FTW,KNFW,KAFW,4T2
FUL,KSLI,KLGB,KSNA
FXE,KPMP,KFLL,KBCT
FYU,nan,nan,nan
FYV,KASG,KXNA,KSLG
GAL,nan,nan,nan
GCC,W43,KBYG,KECS
GCD,KBNO,KBKE,KLGD
GCK,KTQK,KULS,KDDC
GEG,KSKA,KSFF,KDEW
GEU,KLUF,KGYR,KDVT
GEY,U68,KWRL,KPOY
GGG,07F,KRFI,KASL
GIC,KPUW,KMYL,KHRF
GJT,KAJZ,KRIL,KMTJ
GKN,PAVD,PAKA,PFTO
GLR,KBFA,N98,KGOV
GLW,KBWG,KTZV,M20
GMU,KGYH,KGSP,KLQK
GNB,20V,KLMO,KBJC
GNC,E11,KHOB,F98
GON,0B8,KWST,KMTP
GPI,8S1,7S0,S59
GPZ,KHIB,KXVG,KFOZ
GRB,KATW,KOCQ,KEZS
GSO,KINT,N63,2A5
GST,PAJN,PASI,nan
GTF,79S,KCII,S01
GTR,M51,M83,KUBS
GTU,T74,KEDC,KRYW
GVT,7F3,2F7,F46
GYH,KGMU,KGSP,KLQK
GYR,KLUF,KGEU,KPHX
GYY,05C,KIGQ,3HO
HAF,KSFO,KSQL,KOAK
HDN,KCAG,KSBS,KDWX
HEF,KHWY,KIAD,KDAA
HEZ,0R4,KVKS,1R7
HFY,8A4,KIND,KGEZ
HIB,KEVM,KCQM,KGPZ
HIF,KSLC,KBMC,U42
HII,KEED,P20,KIFP
HIO,KVUO,KSPB,KPDX
HLA,nan,nan,nan
HLN,38S,KBTM,3U3
HMP,6A2,KFFC,KATL
HMT,F70,KRIV,KREI
HND,KLAS,KBVU,KVGT
HNL,PHJR,PHMK,PHLU
HNS,PAGS,PAJN,nan
HOM,PASX,PAEN,PAWD
HON,4X4,KMKA,KMHE
HOT,M78,KADF,KSUZ
HOU,KEFD,KLVJ,T41
HPB,nan,nan,nan
HRF,32S,KMSO,3U3
HSA,KMJD,KASD,KGPT
HSP,KLWB,KROA,W13
HUM,L83,KGAO,KAPS
HUT,KMPR,47K,KLYO
HXD,KARW,KNBC,KSVN
HZD,KPHT,0M4,KTGC
I18,3I2,KGAS,KUSW
IAB,KCEA,KBEC,KAAO
IAD,KJYO,KHEF,KGAI
IAH,KDWH,KIWS,KHOU
ICT,KIAB,KCEA,KBEC
IDA,U02,KRXE,KPIH
IFP,KEED,KIGM,KHII
IGM,KIFP,KEED,KHII
IND,KEYE,8A4,2R2
INL,KORB,KFOZ,KBDE
INS,KVGT,KLSV,KLAS
INW,KTYL,KFLG,KSEZ
IOB,KSYM,0I8,27K
IRK,nan,nan,nan
ISM,KMCO,KORL,KGIF
ITH,N03,6B9,KBGM
ITO,PHMU,PHKO,PHHN
IWA,KCHD,KFFZ,P19
JAC,KDIJ,KRXE,KAFO
JAN,KHKS,KMBO,KJVW
JAX,KCRG,KFHB,KHEG
JBR,KPGR,KARG,KMXA
JER,KTWF,KGNG,KBYI
JFZ,KMKJ,KVJI,KBLF
JMS,KBAC,51D,46D
JNU,PAGS,PASI,PAFE
JQF,KCLT,14A,KRUQ
JTC,KSJN,KSOW,KTYL
JWN,KBNA,KMQY,M91
JYO,KIAD,9VA5,2VG2
JZI,KCHS,KLRO,KDYB
JZP,KCNI,49A,KCZL
KTN,PAKW,PAWG,PAPG
KVC,nan,nan,nan
L35,KREI,KSBD,KAPV
LAF,KFKR,KMCX,KCFJ
LAL,KPCM,KBOW,KGIF
LAN,4D0,KTEW,KFPK
LAR,KCYS,33V,KSAA
LAS,KHND,KVGT,KLSV
LAX,KHHR,KSMO,KTOA
LBB,F49,KLLN,8F3
LBF,KGTE,47V,KCZD
LBL,KHQG,KMEJ,KGUY
LCQ,24J,KGNV,42J
LFT,KARA,KIYA,KOPL
LGB,KSLI,KFUL,KTOA
LGD,KBKE,KPDT,KALW
LHM,KAUN,KBAB,KMCC
LIT,KORK,KLRF,KSUZ
LKV,KAAT,KLMT,KSIY
LLJ,KSMN,KSUN,KAOC
LMT,KSIY,O46,KMFR
LND,KRIW,KPNA,KHSG
LNK,KCEK,KSWT,KAHQ
LOL,KFLX,KNFL,KSPZ
LOZ,KBYL,KSME,18I
LSE,KCHU,KCMY,KONA
LTY,79S,S01,KHVR
LUD,KXBP,4T2,KDTO
LUK,I69,KCVG,KHAO
LVK,C83,KHWD,KTCY
LVS,KSAF,KAXX,KSKX
LWA,KBEH,35D,C91
LWS,KPUW,KGIC,KALW
LWT,KHWQ,KRPX,79S
LZU,KWDR,D73,KPDK
M02,0M5,KGHM,KEOD
M17,KSGF,MO3,3DW
M25,KCEY,KPAH,1M7
M29,KPVE,0M3,KSZY
M54,KXNX,KMQY,KBNA
MAF,KMDD,KODO,E11
MAN,nan,nan,nan
MBY,K89,MO8,KVER
MCC,KMHR,KSMF,KSAC
MCE,KMER,KLSN,F34
MCG,nan,nan,nan
MCO,KORL,KISM,KSFB
MEI,KNMM,KNJW,KMPE
MER,KMCE,KMOD,KLSN
MEV,KCXP,KTVL,KTRK
MFR,3S8,KSIY,KLMT
MHR,KMCC,KSAC,KSMF
MIA,KOPF,KTMB,KHWO
MIT,KBFL,KDLO,L45
MKC,KMCI,KLXT,KOJC
MKJS,nan,nan,nan
MKL,M53,KTGC,M08
MKT,KACQ,KULM,KFBL
MKY,KAPF,KIMM,KRSW
MLB,KCOF,KCOI,X26
MLI,KDVN,KCWI,KEZI
MLS,1S3,M46,4U6
MLU,M79,KBQP,KRSN
MLY,nan,nan,nan
MMAA,nan,nan,nan
MMCL,nan,nan,nan
MMHO,nan,nan,nan
MMLP,nan,nan,nan
MMPR,nan,nan,nan
MMSD,nan,nan,nan
MMTM,nan,nan,nan
MMTP,nan,nan,nan
MMU,KCDW,N07,KEWR
MMV,KUAO,KSLE,KHIO
MMVR,nan,nan,nan
MMZH,nan,nan,nan
MNV,KMMI,KTYS,2A0
MOD,O27,KSCK,KTCY
MPTO,nan,nan,nan
MQI,KFFA,7W6,KECG
MRB,KOKV,W35,9VA5
MRF,E38,KPRS,KVHN
MRI,PAED,PANC,PAFR
MRY,KOAR,KSNS,KWVI
MSO,32S,7S0,KHRF
MSP,KSTP,KSGS,KFCM
MTJ,KAJZ,KTEX,KAIB
MVI,KALS,KRCV,KPSO
MWC,KUES,KMKE,KETB
MWH,KEPH,KEAT,2S8
MWL,KWEA,F35,KGDJ
MYAF,nan,nan,nan
MYAM,nan,nan,nan
MYL,S87,KGIC,KONO
MZBZ,nan,nan,nan
MZJ,KAVQ,KRYN,P08
NEW,KMSY,KNBG,KASD
NLC,KFCH,KVIS,KFAT
NQA,2M8,M01,M04
NSTU,nan,nan,nan
NUL,nan,nan,nan
NUQ,KPAO,KSJC,KSQL
NYL,KLGF,KBWC,KIPL
O22,KCPU,E45,O27
O32,KFAT,KFCH,KVIS
OAK,KHWD,KSFO,KSQL
OCF,X35,X60,KINF
ODO,KMAF,KMDD,E11
OGD,KHIF,KBMC,KSLC
OGG,PHHN,PHNY,PHLU
OKC,KPWA,KTIK,KOUN
OLM,KGRF,KCLS,KSHN
OLS,KFHU,KTUS,KDMA
OMA,KCBF,KOFF,KMLE
OME,PATE,PAWM,PFKT
ONO,KEUL,KMAN,KBOI
ONP,KCVO,S12,KEUG
ONT,KCNO,KCCB,KPOC
OPN,6A2,6A1,KHMP
ORL,KMCO,KSFB,KISM
OSC,6D9,Y31,KAPN
OTH,KRBG,4S1,KEUG
OWD,1B9,KBOS,1B6
OXR,KCMA,KNTD,KSBA
OZW,9G2,Y47,KTEW
P13,KIWA,KFFZ,KCHD
P20,KHII,KBLH,KEED
P52,KSEZ,KPRC,KFLG
PAE,S43,KAWO,KBFI
PAH,M25,KCIR,KCEY
PAN,P52,KSDL,KDVT
PAQ,PAWS,PAGQ,PAFR
PBV,nan,nan,nan
PDK,KMGE,KFTY,KATL
PDT,KHRI,KALW,KPSC
PDX,KVUO,KTTD,KHIO
PEO,0G7,KIUA,KITH
PGA,KKNB,KBCE,KGCN
PGUM,PGRO,nan,nan
PHL,7N7,17N,19N
PHT,KCEY,0M4,M25
PHX,P19,KSDL,KCHD
PIA,3MY,C15,KCTK
PIH,U02,KIDA,KAOC
PIR,98D,9D0,0D8
PKMJ,nan,nan,nan
PLN,KMGN,KSLH,6Y1
PMD,KWJF,KEDW,KMHV
PNC,KBKN,F22,KWLD
PNE,KVAY,KLOM,N14
POU,44N,KSWF,KMGJ
PRB,KSBP,KHGT,KSMX
PRC,P52,KSEZ,KFLG
PSC,KRLD,KHRI,KPDT
PSG,nan,nan,nan
PSP,KUDD,KTRM,KHMT
PTV,KDLO,KVIS,KMIT
PUB,1V6,KCOS,4V1
PUC,69V,U69,41U
PUW,KLWS,KGEG,KSKA
PVF,KAUN,KJAQ,KMHR
PVU,KSPK,KHCR,U42
RAP,KRCA,49B,KSPF
RBG,KOTH,3S8,77S
RBL,KRDD,O37,KCIC
RCE,KHSD,KRQO,KPWA
RDD,KRBL,KCIC,O37
RDM,KBDN,S39,S33
REO,nan,nan,nan
RFD,C77,KRPJ,44C
RIC,W96,KFCI,KOFP
RID,KOXD,3I7,KUWL
RIF,KFOM,U52,41U
RIL,KEEO,KEGE,KASE
RIV,KRIR,KRAL,KSBD
RJAA,nan,nan,nan
RKD,KBST,KIWI,KAUG
RKS,KFBR,KEMM,KVEL
RMN,KEZF,KNYG,KHWY
RNO,KRTS,KCXP,KTRK
RNT,KBFI,KSEA,S50
ROA,KBCB,W91,W90
ROW,KATS,KSRR,KCNM
RRT,KROX,48Y,KBDE
RST,KTOB,KFKA,KAUM
RSW,KFMY,KIMM,X14
RTS,KRNO,O02,KTRK
RVF,KDLN,KBTM,KEKS
RYN,KTUS,KDMA,KAVQ
RYY,KMGE,KVPC,KFTY
RZR,KMMI,2A0,KCHA
S21,KBDN,KRDM,S39
S25,9Y1,05D,KXWA
S33,KRDM,S39,KBDN
S39,KRDM,KBDN,S33
S52,KEAT,2S8,KEPH
S97,2S8,KEAT,KEPH
SAA,KRWL,KDWX,33V
SAC,KMHR,KMCC,KSMF
SAD,KCFT,P33,P13
SAF,KLAM,0.00E+00,KABQ
