,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,Runway Id_y
9559,MD97,AIRPORT,Y,38.4615116666667,-77.0463641666667,16/34,ASPH,LOW,,,,,,,1
9560,22MD,AIRPORT,Y,39.5869444444444,-77.645,13/31,TURF,,,,,,,,1
9561,48MD,AIRPORT,Y,38.1491666666667,-75.6622222222222,09/27,TURF,,,,,,,,1
9562,ANP,AIRPORT,Y-L,38.9428777777778,-76.5683991666667,12/30,ASPH-F,LOW,,,,,F,KANP,1
9563,MD88,AIRPORT,,39.6800166666667,-76.4527694444444,14/32,TURF,,,,,,,,1
9564,7MD1,AIRPORT,Y,38.7034480555556,-75.8510455555555,09/27,TURF,,,,,,,,1
9565,MD20,AIRPORT,Y,39.6362111111111,-77.1227605555555,11/29,TURF,,,,,,,,1
9566,2MD7,HELIPORT,Y-L,39.2112183333333,-76.6719127777778,H1,ASPH,,,,,,,,1
9567,24MD,HELIPORT,Y,39.28325,-76.6019666666667,H1,ASPH,,,,,,,,1
9568,MTN,AIRPORT,Y-L,39.3256613888889,-76.4137561111111,15/33,ASPH-G,HIGH,65.0,82.0,140.0,,G,KMTN,1
9569,2W5,AIRPORT,Y,38.5970486111111,-77.0724583333333,02/20,ASPH-G,MED,,,,,G,,1
9570,MD1,AIRPORT,Y,39.2993611111111,-75.7993888888889,02/20,TURF-G,,,,,,G,,1
9571,1MD8,AIRPORT,Y,39.6828775,-77.0972047222222,06/24,TURF,,,,,,,,1
9572,MD52,HELIPORT,,37.9975,-75.8532027777778,H1,CONC,PERI,,,,,,,1
9573,4MD0,AIRPORT,Y,38.3742905555556,-76.4830080555556,15/33,TURF,,,,,,,,1
9574,90MD,HELIPORT,,39.351725,-76.4787861111111,H1,CONC,,,,,,,,1
9575,18MD,HELIPORT,Y,39.1547272222222,-77.0550004166667,H1,CONC,PERI,,,,,,,1
9576,MD29,HELIPORT,Y-L,38.7702833333333,-76.07695,H1,CONC,,,,,,,,1
9577,5MD3,HELIPORT,Y,39.6229555555556,-77.68615,H1,CONC,PERI,,,,,,,1
9578,1MD6,HELIPORT,,38.9462222222222,-76.8683055555556,H1,TURF,,,,,,,,1
9579,1W3,AIRPORT,Y-L,39.6059875,-78.7604597222222,09/27,TURF-G,,,,,,,,1
9580,8MD2,HELIPORT,Y-L,39.3361111111111,-76.5866666666667,H1,CONC,,,,,,,,1
9581,GAI,AIRPORT,N,39.1683333333333,-77.166,14/32,ASPH-G,MED,,,,,F,KGAI,1
9582,MD58,HELIPORT,Y-L,39.1272222222222,-77.0225,H1,CONC,PERI,,,,,,,1
9583,MD59,HELIPORT,,38.3939166666667,-76.5059722222222,H1,TURF-G,,,,,,,,1
9584,4MD6,AIRPORT,,39.625,-76.2625,15/33,TURF,,,,,,,,1
9585,MD40,HELIPORT,Y,39.54955,-76.5627452777778,H1,TURF,,,,,,,,1
9586,27MD,AIRPORT,,39.098375,-75.8952152777778,12/30,ASPH,,,,,,,,1
9587,7MD2,HELIPORT,Y-L,39.685,-77.3183333333333,H1,CONC-G,PERI,,,,,,,1
9588,77MD,HELIPORT,Y-L,38.7937055555556,-77.0121444444444,H1,CONC,PERI,,,,,,,1
9589,MD79,HELIPORT,Y,39.2528866666667,-76.0843913888889,H1,TURF,,,,,,,,1
9590,5MD4,AIRPORT,Y,38.6565486111111,-75.7214597222222,15/33,TURF-G,,,,,,,,1
9591,OXB,AIRPORT,Y-L,38.3104444444444,-75.1239722222222,02/20,ASPH-G,MED,,,,,G,KOXB,2
9592,OXB,AIRPORT,Y-L,38.3104444444444,-75.1239722222222,14/32,ASPH-G,MED,20.0,,,,G,KOXB,2
9593,7MD0,AIRPORT,Y,39.0666666666667,-75.7333333333333,03/21,TURF-G,,,,,,,,1
9594,NHK,AIRPORT,,38.2863336111111,-76.4099713888889,14/32,ASPH-G,HIGH,,,,,G,KNHK,3
9595,NHK,AIRPORT,,38.2863336111111,-76.4099713888889,06/24,ASPH-G,HIGH,,,,,G,KNHK,3
9596,NHK,AIRPORT,,38.2863336111111,-76.4099713888889,02/20,ASPH-G,,,,,,G,KNHK,3
9597,6MD4,AIRPORT,Y,39.7194416666667,-76.2084138888889,13/31,TURF,,,,,,,,1
9598,MD49,HELIPORT,Y,38.3623083333333,-75.5973,H1,MATS,,,,,,,,1
9599,APG,AIRPORT,,39.465465,-76.1682922222222,04/22,ASPH,HIGH,,,,,G,KAPG,1
9600,4MD,HELIPORT,Y-L,39.2722222222222,-76.5716666666667,H1,CONC-G,PERI,,,,,F,,1
9601,3MD8,AIRPORT,,38.6123413888889,-76.1710544444445,18/36,TURF,,,,,,,,1
9602,VKX,AIRPORT,Y-L,38.7486416666667,-76.9559222222222,06/24,ASPH-G,MED,,,,,G,KVKX,1
9603,1MD4,HELIPORT,Y-L,38.9304694444444,-76.9204916666667,H2,ASPH,PERI,,,,,,,2
9604,1MD4,HELIPORT,Y-L,38.9304694444444,-76.9204916666667,H1,ROOF-TOP,PERI,,,,,,,2
9605,50MD,HELIPORT,Y-L,38.9675222222222,-76.1827805555556,H1,CONC-G,PERI,,,,,,,2
9606,50MD,HELIPORT,Y-L,38.9675222222222,-76.1827805555556,H2,CONC,PERI,,,,,,,2
9607,MD82,AIRPORT,Y,38.5398433333333,-76.2755013888889,16/34,ASPH,,,,,,,,1
9608,2MD1,AIRPORT,Y,38.3084583333333,-76.7246861111111,09/27,ASPH,,,,,,,,1
9609,MD95,AIRPORT,Y,39.4820477777778,-76.881645,04/22,TURF-G,,,,,,,,1
9610,8MD1,HELIPORT,Y,39.4534416666667,-76.2093972222222,H1,CONC,,,,,,,,1
9611,MD14,AIRPORT,Y,38.5242886111111,-76.6835733333333,09/27,TURF,,,,,,,,1
9612,32MD,AIRPORT,Y,39.1894444444444,-75.8768333333333,13/31,TURF,,,,,,,,1
9613,MD04,AIRPORT,Y,38.5688888888889,-76.2358333333333,09/27,TURF,,,,,,,,1
9614,SBY,AIRPORT,Y-L,38.3401894444444,-75.5094780555556,14/32,ASPH-CONC-G,HIGH,76.0,126.0,423.0,749.0,G,KSBY,2
9615,SBY,AIRPORT,Y-L,38.3401894444444,-75.5094780555556,05/23,ASPH-E,MED,56.0,76.0,142.0,,G,KSBY,2
9616,62MD,AIRPORT,Y,38.4888055555556,-76.6436333333333,08/26,TURF,,,,,,,,1
9617,MD91,AIRPORT,Y,39.1523325,-76.0185541666667,03/21,TURF,,,,,,,,2
9618,MD91,AIRPORT,Y,39.1523325,-76.0185541666667,12/30,TURF,,,,,,,,2
9619,1MD7,HELIPORT,Y-L,39.0983722222222,-77.1975888888889,H1,CONC,HIGH,,,,,,,1
9620,8MD3,HELIPORT,Y,39.3519611111111,-76.6618361111111,H1,ROOF-TOP-G,PERI,,,,,,,1
9621,76MD,HELIPORT,,39.6213444444444,-75.8374916666667,H1,CONC,,,,,,,,1
9622,00MD,AIRPORT,Y,38.7570577777778,-75.7538208333333,14/32,TURF,,,,,,,,1
9623,3MD1,HELIPORT,Y,38.7480055555556,-76.8768361111111,H1,CONC,PERI,,,,,,,1
9624,MD81,SEAPLANE BASE,Y,38.9147222222222,-76.5047222222222,16W/34W,WATER,,,,,,,,1
9625,8MD4,AIRPORT,Y,38.9805555555556,-75.7777777777778,17/35,TURF-G,,,,,,,,1
9626,MD35,AIRPORT,Y,38.4348391666667,-75.6513163888889,02/20,TURF-G,,,,,,,,2
9627,MD35,AIRPORT,Y,38.4348391666667,-75.6513163888889,12/30,TURF-G,,,,,,,,2
9628,0MD2,AIRPORT,Y,38.2879061111111,-76.8674697222222,12/30,TURF,LOW,,,,,,,1
9629,12MD,HELIPORT,Y-L,39.2705555555556,-76.6738333333333,H1,CONC,,,,,,,,1
9630,08MD,HELIPORT,,39.3884194444444,-76.6108138888889,H1,MATS,PERI,,,,,G,,1
9631,2W6,AIRPORT,Y-L,38.3153566666667,-76.5501158333333,11/29,ASPH-G,MED,12.0,,,,F,,1
9632,7MD5,HELIPORT,Y-L,38.3020555555556,-76.6393111111111,H1,CONC-F,PERI,,,,,P,,1
9633,MD02,HELIPORT,Y-L,38.3014333333333,-76.6368,H1,CONC,,,,,,,,2
9634,MD02,HELIPORT,Y-L,38.3014333333333,-76.6368,H2,CONC,,,,,,,,2
9635,MD75,AIRPORT,Y,39.34177,-77.303595,NE/SW,TURF,,,,,,,,1
9636,5MD9,HELIPORT,Y-L,38.9973319444444,-77.1099783333333,H2,CONC,PERI,,,,,,,2
9637,5MD9,HELIPORT,Y-L,38.9973319444444,-77.1099783333333,H1,CONC,PERI,,,,,,,2
9638,8MD0,AIRPORT,Y,39.3833333333333,-77.0175,02/20,TURF,,,,,,,,1
9639,73MD,AIRPORT,,39.1752777777778,-76.2425,18/36,TURF,,,,,,,,1
9640,MD36,HELIPORT,Y,39.1451091666667,-76.5013505555556,H1,ASPH,,,,,,,,1
9641,0MD1,AIRPORT,Y,39.1873333333333,-75.7927116666667,08/26,TURF,,,,,,,,1
9642,0MD7,HELIPORT,Y,38.9092805555556,-76.1196675,H1,TURF,PERI,,,,,,,1
9643,MD56,AIRPORT,Y,39.5689894444444,-77.1213711111111,03/21,TURF,,,,,,,,1
9644,7MD9,AIRPORT,Y,38.7361111111111,-76.3166666666667,03/21,TURF-F,,,,,,,,1
9645,11MD,AIRPORT,,38.4333333333333,-75.6277777777778,16/34,TURF,,,,,,,,1
9646,FME,AIRPORT,Y-L,39.0853866666667,-76.7594144444444,10/28,ASPH-G,MED,,,,,G,KFME,1
9647,MD83,AIRPORT,Y,38.5208333333333,-77.0680555555555,01/19,TURF,,,,,,,,1
9648,91MD,HELIPORT,Y-L,38.902275,-76.8446944444444,H1,CONC,PERI,,,,,,,2
9649,91MD,HELIPORT,Y-L,38.902275,-76.8446944444444,H2,CONC,,,,,,,,2
9650,6MD6,HELIPORT,Y,38.5285083333333,-76.9709777777778,H1,CONC,PERI,,,,,,,1
9651,44MD,HELIPORT,Y-L,39.329025,-76.6146888888889,H1,CONC-G,PERI,,,,,,,1
9652,MD71,HELIPORT,Y-L,39.2879194444444,-76.6257861111111,H1,ROOF-TOP,PERI,,,,,,,1
9653,03MD,HELIPORT,Y,39.5184472222222,-76.3459722222222,H1,CONC,PERI,,,,,,,1
9654,7MD4,HELIPORT,Y,39.5991666666667,-77.7638888888889,H1,CONC-G,,,,,,,,1
9655,60MD,HELIPORT,Y,38.9996166666667,-77.0956583333333,H1,CONC,,,,,,,,1
9656,0MD6,AIRPORT,Y,39.3812144444444,-77.1058141666667,05/23,TURF,,,,,,,,1
9657,4MD2,AIRPORT,Y,39.4298175,-79.453935,10/28,TURF,,,,,,,,1
9658,6MD9,HELIPORT,Y,38.985725,-77.0016416666667,H1,CONC,,,,,,,,1
9659,W32,AIRPORT,Y-L,38.7482613888889,-76.9328169444445,05/23,ASPH-F,LOW,,,,,F,,1
9660,NUI,AIRPORT,,38.146,-76.4284722222222,08/26,ASPH,,,,,,,KNUI,2
9661,NUI,AIRPORT,,38.146,-76.4284722222222,15/33,ASPH,,,,,,,KNUI,2
9662,EDG,HELIPORT,,39.3918736111111,-76.2911238888889,H1,ASPH,,,,,,,KEDG,2
9663,EDG,HELIPORT,,39.3918736111111,-76.2911238888889,01/19,ASPH,MED,,,,,G,KEDG,2
9664,MD65,HELIPORT,Y,39.6468972222222,-78.7322,H1,CONC,,,,,,,,1
9665,3MD6,AIRPORT,Y,38.1890147222222,-76.4468961111111,18/36,TURF,,,,,,,,1
9666,25MD,AIRPORT,Y,39.1675388888889,-75.8402111111111,17/35,TURF,,,,,,,,1
9667,65MD,AIRPORT,,38.1700333333333,-76.5209416666667,04/22,TURF,,,,,,,,1
9668,MD01,AIRPORT,Y,38.1434586111111,-76.3566147222222,14W/32W,WATER,,,,,,,,3
9669,MD01,AIRPORT,Y,38.1434586111111,-76.3566147222222,01W/19W,WATER,,,,,,,,3
9670,MD01,AIRPORT,Y,38.1434586111111,-76.3566147222222,11/29,TURF,,,,,,,,3
9671,MD78,AIRPORT,Y,39.3834363888889,-77.0702583333333,03/21,TURF,,,,,,,,1
9672,4MD9,AIRPORT,,39.4805555555556,-76.7605555555556,02/20,TURF,,,,,,,,1
9673,MD11,AIRPORT,,39.2770538888889,-76.0627241666667,14/32,TURF,,,,,,,,1
9674,ME81,HELIPORT,,43.7583333333333,-69.3216111111111,H1,TURF,,,,,,,,1
9675,6ME6,AIRPORT,,44.3533333333333,-70.395,16/34,TURF,,,,,,,,1
9676,ME07,SEAPLANE BASE,,44.39805,-68.2195833333333,16W/34W,WATER,,,,,,,,1
9677,ME05,AIRPORT,N,46.7500411111111,-68.4711541666667,N/S,TURF-F,,,,,,,,1
9678,16ME,HELIPORT,Y,46.6759194444444,-67.9989805555556,H1,CONC-G,PERI,,,,,G,,1
9679,LEW,AIRPORT,Y-L,44.0484727777778,-70.2835075,17/35,ASPH-E,MED,30.0,,,,G,KLEW,2
9680,LEW,AIRPORT,Y-L,44.0484727777778,-70.2835075,04/22,ASPH-E,HIGH,30.0,108.0,180.0,,G,KLEW,2
9681,M00,SEAPLANE BASE,,44.2675688888889,-69.7817111111111,13W/31W,WATER,,,,,,,,1
9682,AUG,AIRPORT,Y-L,44.3206869444444,-69.7973086111111,08/26,ASPH-F,MED,30.0,,,,G,KAUG,2
9683,AUG,AIRPORT,Y-L,44.3206869444444,-69.7973086111111,17/35,ASPH-G,HIGH,50.0,60.0,,,G,KAUG,2
9684,ME22,AIRPORT,,45.6711666666667,-69.8067777777778,11/29,TURF,,,,,,,,1
9685,ME46,AIRPORT,,43.4123075,-70.4467172222222,02/20,TURF,,,,,,,,1
9686,ME14,AIRPORT,Y,44.2306336111111,-69.1230944444444,04/22,TURF,,,,,,,,2
9687,ME14,AIRPORT,Y,44.2306336111111,-69.1230944444444,13/31,TURF,,,,,,,,2
9688,BGR,AIRPORT,Y-L,44.8074444444444,-68.8281388888889,H1,CONC-G,,,,,,,KBGR,2
9689,BGR,AIRPORT,Y-L,44.8074444444444,-68.8281388888889,15/33,ASPH-G,HIGH,100.0,210.0,400.0,,G,KBGR,2
9690,ME5,AIRPORT,N,44.1653888888889,-68.4281666666667,10/28,GRAVEL-P,,,,,,P,,2
9691,ME5,AIRPORT,N,44.1653888888889,-68.4281666666667,H1,CONC-F,,,,,,F,,2
9692,22ME,HELIPORT,,44.3816722222222,-68.2039416666667,H1,TURF-G,,,,,,P,,1
9693,06ME,HELIPORT,,44.4152472222222,-70.844275,H1,TURF,,,,,,,,1
9694,ME57,SEAPLANE BASE,,43.3589727777778,-70.7353341666667,03W/21W,WATER,,,,,,,,1
9695,80ME,AIRPORT,,43.5463916666667,-70.3743972222222,11/29,TURF,,,,,,,,1
9696,ME93,HELIPORT,,43.5385138888889,-70.4038277777778,H1,CONC,,,,,,,,1
9697,51ME,AIRPORT,Y,44.5038544166667,-70.0718154166667,17/35,TURF,,,,,,,,1
9698,04ME,AIRPORT,Y,44.6667286111111,-69.8939441666667,15/33,TURF,,,,,,,,1
9699,BST,AIRPORT,Y-L,44.4093888888889,-69.0118333333333,15/33,ASPH-G,MED,30.0,,,,G,KBST,1
9700,ME24,HELIPORT,Y,44.2832708333333,-69.2392097222222,H1,ASPH,,,,,,,,1
9701,0B1,AIRPORT,Y-L,44.4251666666667,-70.8099166666667,14/32,ASPH-G,MED,,,,,G,,1
9702,B19,AIRPORT,Y-L,43.4641111111111,-70.4723888888889,06/24,ASPH-E,MED,25.0,,,,G,,1
9703,ME15,HELIPORT,Y,44.4120138888889,-68.5879972222222,H1,ASPH-G,PERI,,,,,G,,1
9704,ME20,AIRPORT,N,44.5992319444444,-69.623935,18/36,TURF,,,,,,,,1
9705,B10,AIRPORT,Y,44.41,-70.1460833333333,02/20,TURF-G,,,,,,G,,1
9706,ME3,SEAPLANE BASE,,46.3958333333333,-69.005,16W/34W,WATER-E,,,,,,,,1
9707,5ME,SEAPLANE BASE,,43.9538888888889,-70.5874722222222,17W/35W,WATER,,,,,,,,1
9708,17ME,AIRPORT,,47.2025,-67.9916666666667,13/31,TURF,,,,,,,,1
9709,ME12,SEAPLANE BASE,,44.3878444444444,-70.2545025,04W/22W,WATER,,,,,,,,2
9710,ME12,SEAPLANE BASE,,44.3878444444444,-70.2545025,17W/35W,WATER,,,,,,,,2
9711,0B2,AIRPORT,Y,44.7638333333333,-68.7678611111111,01/19,TURF-G,,,,,,,,1
9712,ME37,HELIPORT,,44.0461638888889,-70.7130388888889,H1,ASPH-G,PERI,,,,,F,,1
9713,BXM,AIRPORT,Y-L,43.8923551111111,-69.9388296944445,01R/19L,ASPH-CONC,HIGH,,,,,F,KBXM,2
9714,BXM,AIRPORT,Y-L,43.8923551111111,-69.9388296944445,01L/19R,ASPH-CONC,HIGH,,,,,F,KBXM,2
9715,78B,SEAPLANE BASE,N,45.6542141666667,-68.9494877777778,NW/SE,WATER,,,,,,,,2
9716,78B,SEAPLANE BASE,N,45.6542141666667,-68.9494877777778,E/W,WATER,,,,,,,,2
9717,92ME,AIRPORT,Y,45.2195833333333,-68.6390833333333,09/27,TURF,,,,,,,,1
9718,ME89,AIRPORT,,43.6084119444444,-70.96812,09/27,TURF,,,,,,,,1
9719,ME49,HELIPORT,Y,45.4583694444445,-69.6111888888889,H1,ASPH-F,PERI,,,,,F,,1
9720,46ME,HELIPORT,Y,45.1771361111111,-67.2679361111111,H1,CONC-G,PERI,,,,,F,,1
9721,CAR,AIRPORT,Y-L,46.8716388888889,-68.0181944444444,01/19,ASPH-G,MED,30.0,,,,F,KCAR,2
9722,CAR,AIRPORT,Y-L,46.8716388888889,-68.0181944444444,11/29,ASPH-F,MED,30.0,,,,G,KCAR,2
9723,86ME,SEAPLANE BASE,,44.0065277777778,-69.8952222222222,02W/20W,WATER,,,,,,,,1
9724,OWK,AIRPORT,Y-L,44.7155,-69.8664722222222,15/33,ASPH-G,MED,30.0,60.0,,,P,KOWK,2
9725,OWK,AIRPORT,Y-L,44.7155,-69.8664722222222,03/21,ASPH-F,,30.0,60.0,,,P,KOWK,2
9726,44B,AIRPORT,Y,45.1774722222222,-69.2446666666667,09/27,TURF-G,,,,,,,,1
9727,ME21,HELIPORT,N,43.7290666666667,-70.1269833333333,H1,TURF-G,,,,,,P,,1
9728,ME18,HELIPORT,N,45.8833766666667,-69.2328277777778,H1,GRAVEL,,,,,,,,1
9729,1ME,SEAPLANE BASE,,46.060875,-69.4094444444444,ALL/WAY,WATER-E,,,,,,,,1
9730,ME19,AIRPORT,Y,46.6161419444444,-69.5222780555556,E/W,TURF,,,,,,,,1
9731,54ME,AIRPORT,,43.9494444444444,-70.3202777777778,05/23,TURF,,,,,,,,1
9732,ME69,AIRPORT,Y,44.0689641666667,-70.0644969444444,03/21,TURF-GRVL,,,,,,,,1
9733,ME95,HELIPORT,,44.1032333333333,-70.2150722222222,H1,CONC,PERI,,,,,P,,1
9734,ME11,SEAPLANE BASE,Y,44.34229,-70.2878355555556,05W/23W,WATER,,,,,,,,2
9735,ME11,SEAPLANE BASE,Y,44.34229,-70.2878355555556,16W/34W,WATER,,,,,,,,2
9736,84ME,AIRPORT,,45.5528888888889,-67.7460416666667,18/36,TURF-F,,,,,,,,1
9737,ME77,HELIPORT,Y,44.2513361111111,-68.2686194444444,H1,TURF-F,PERI,,,,,F,,1
9738,ME01,SEAPLANE BASE,Y,43.9570177777778,-70.4625561111111,01W/19W,WATER,,,,,,,,1
9739,21M,SEAPLANE BASE,,45.4783055555556,-69.6193055555556,18W/36W,WATER-E,,,,,,,,1
9740,ME2,AIRPORT,Y,44.68,-67.2643611111111,09/27,GRAVEL-E,,,,,,,,1
9741,64ME,HELIPORT,Y,43.7391638888889,-70.3129055555556,H1,TURF,,,,,,,,1
9742,43B,AIRPORT,Y,44.726875,-67.9913611111111,15/33,ASPH-G,,84.0,200.0,400.0,,P,,1
9743,88ME,HELIPORT,,44.1502388888889,-70.66945,H1,ASPH-DIRT,,,,,,,,1
9744,3ME7,SEAPLANE BASE,Y,44.4605972222222,-70.3969583333333,04W/22W,WATER,,,,,,,,1
9745,OLD,AIRPORT,Y-L,44.952335,-68.6744955555556,17W/35W,WATER,,,,,,,KOLD,3
9746,OLD,AIRPORT,Y-L,44.952335,-68.6744955555556,04/22,ASPH-G,MED,37.0,45.0,,,G,KOLD,3
9747,OLD,AIRPORT,Y-L,44.952335,-68.6744955555556,12/30,ASPH-G,MED,30.0,,,,G,KOLD,3
9748,1B0,AIRPORT,Y-L,45.0045075,-69.2374366666667,07/25,TURF,,,,,,F,,2
