,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,Runway Id_y
0,18AA,AIRPORT,,59.3650472222222,-135.804905555556,08/26,TURF,,,,,,,,1
1,AA35,HELIPORT,,59.4375555555556,-136.229361111111,H1,GRVL,,,,,,,,1
2,AK46,AIRPORT,N,61.6288305555556,-149.043188888889,07/25,GRVL,,,,,,,,1
3,ADK,AIRPORT,Y,51.8835827777778,-176.642482222222,05/23,ASPH-G,HIGH,80.0,145.0,325.0,770.0,G,PADK,1
4,9AA9,AIRPORT,,59.4030555555556,-136.019444444444,18/36,DIRT,,,,,,,,1
5,5AK3,AIRPORT,N,64.7731872222222,-147.333802222222,15/33,GRAVEL,,,,,,,,1
6,AK10,AIRPORT,,61.7172222222222,-150.109444444444,15/33,TURF-GRVL,,,,,,,,1
7,AKK,AIRPORT,Y,56.9386908333333,-154.182555555556,04/22,GRAVEL-F,,,,,,G,PAKH,1
8,Z13,AIRPORT,Y-L,60.9138097222222,-161.493329166667,01/19,GRAVEL-G,MED,,,,,,PFZK,1
9,KKI,SEAPLANE BASE,N,60.9078647222222,-161.435077222222,E/W,WATER,,,,,,,,2
10,KKI,SEAPLANE BASE,N,60.9078647222222,-161.435077222222,NW/SE,WATER,,,,,,,,2
11,AKI,AIRPORT,Y-L,60.9028972222222,-161.230583333333,03/21,GRVL-G,MED,,,,,,PFAK,1
12,7AK,AIRPORT,Y-L,54.1446111111111,-165.604108333333,09/27,ASPH,MED,120.0,250.0,,,F,PAUT,1
13,KQA,SEAPLANE BASE,Y,54.1339,-165.778383333333,E/W,WATER-E,,,,,,,,1
14,AUK,AIRPORT,Y-L,62.6830555555556,-164.722194444444,16/34,GRVL-DIRT-G,MED,,,,,,PAUK,1
15,AK94,HELIPORT,,58.3907805555556,-134.7768,H1,GRVL,,,,,,,,1
16,AK01,AIRPORT,,60.5289833333333,-150.625133333333,06/24,GRVL,,,,,,,,1
17,AA08,HELIPORT,,61.5947222222222,-149.153888888889,H1,ASPH-TURF,,,,,,,,1
18,2OK,HELIPORT,Y-L,61.2127027777778,-149.826583333333,H1,ASPH-E,PERI,,,,,G,,1
19,Z33,SEAPLANE BASE,N,59.2739780555556,-158.623589166667,E/W,WATER,,,,,,,,1
20,4AK7,AIRPORT,N,59.2809233333333,-158.597200277778,03/21,GRVL-DIRT,,,,,,,,2
21,4AK7,AIRPORT,N,59.2809233333333,-158.597200277778,09/27,GRAVEL,,,,,,,,2
22,5A8,AIRPORT,Y,59.2825555555556,-158.617866666667,15/33,GRAVEL-G,,,,,,,,1
23,ALZ,SEAPLANE BASE,Y,56.8994872222222,-154.247846666667,NE/SW,WATER,,,,,,,,1
24,6A8,AIRPORT,Y-L,66.5518333333333,-152.622166666667,05/23,GRAVEL-G,MED,,,,,,PFAL,1
25,BIG,AIRPORT,Y,63.9951666666667,-145.720055555556,07/25,ASPH-G,MED,,,,,G,PABI,3
26,BIG,AIRPORT,Y,63.9951666666667,-145.720055555556,01/19,ASPH-G,HIGH,,,,,G,PABI,3
27,BIG,AIRPORT,Y,63.9951666666667,-145.720055555556,10/28,ASPH-G,HIGH,,,,,G,PABI,3
28,AK77,AIRPORT,,63.9414277777778,-145.422225,09/27,TURF-GRVL,,,,,,,,1
29,AK15,AIRPORT,Y-L,70.3442777777778,-150.94475,03/21,GRVL,MED,,,,,,PALP,1
30,A57,AIRPORT,Y,59.1991333333333,-138.445877777778,07/25,TURF-F,,,,,,,,1
31,AK42,HELIPORT,Y,60.97,-149.101388888889,H1,MATS-E,PERI,,,,,,,1
32,AFM,AIRPORT,Y-L,67.1062005555555,-157.857155833333,10/28,GRVL-DIRT-G,MED,,,,,F,PAFM,2
33,AFM,AIRPORT,Y-L,67.1062005555555,-157.857155833333,01/19,GRVL-DIRT-G,MED,,,,,F,PAFM,2
34,80A,AIRPORT,N,65.1039819444444,-151.177233333333,02/20,TURF-GRVL-P,,,,,,,,1
35,AK81,SEAPLANE BASE,N,57.4714936111111,-153.815360555556,N/S,WATER,,,,,,,,1
36,AKP,AIRPORT,N,68.1336111111111,-151.743333333333,02/20,GRAVEL-G,MED,,,,,,PAKP,1
37,AK00,AIRPORT,Y,59.7830555555556,-151.853055555556,16/34,GRVL,,,,,,,,1
38,0AK1,AIRPORT,Y,61.6168805555556,-149.321538888889,08/26,GRAVEL,,,,,,,,2
39,0AK1,AIRPORT,Y,61.6168805555556,-149.321538888889,06W/24W,WATER,,,,,,,,2
40,AGN,SEAPLANE BASE,Y,57.5035552777778,-134.585093888889,NW/SE,WATER,,,,,,,PAGN,1
41,ANI,AIRPORT,Y-L,61.5814052777778,-159.545298055556,11/29,ASPH-G,HIGH,30.0,120.0,126.0,,G,PANI,1
42,ANN,AIRPORT,,55.0422935833333,-131.570899361111,12/30,ASPH,,,,,,G,PANT,2
43,ANN,AIRPORT,,55.0422935833333,-131.570899361111,02/20,GRAVEL,,,,,,,PANT,2
44,5Z4,HELIPORT,Y-L,59.0017527777778,-158.532464444444,H1,TURF-G,MED,,,,,,,1
45,K40,SEAPLANE BASE,N,62.6562238888889,-160.205448611111,E/W,WATER,,,,,,,,1
46,ANV,AIRPORT,Y-L,62.6473333333333,-160.190055555556,17/35,GRAVEL-G,MED,,,,,,PANV,1
47,9AK4,AIRPORT,Y-L,64.1373611111111,-145.830388888889,15/33,GRAVEL,NSTD,,,,,,,1
48,ARC,AIRPORT,Y-L,68.1146694444444,-145.579415277778,02/20,GRAVEL-P,MED,,,,,,PARC,1
49,AKA,AIRPORT,Y-L,52.2205833333333,-174.206194444444,16/34,ASPH-G,MED,30.0,150.0,,,P,PAAK,1
50,4A2,AIRPORT,Y,60.8678888888889,-162.274277777778,15/33,GRAVEL-E,MED,,,,,,,1
51,ATK,AIRPORT,Y-L,70.4671111111111,-157.435666666667,07/25,GRAVEL-G,MED,,,,,G,PATQ,1
52,99AA,HELIPORT,,61.2189055555556,-149.886480555556,H1,WOOD,,,,,,,,1
53,8AK0,HELIPORT,Y,64.8308555555556,-147.660455555556,H1,CONC,MED,,,,,,,1
54,AK78,AIRPORT,,70.1374666666667,-147.030438888889,04/22,GRVL,MED,,,,,,PABP,1
55,70AK,AIRPORT,Y,60.5177777777778,-150.959722222222,03/21,GRVL-DIRT,,,,,,,,1
56,BNF,SEAPLANE BASE,Y,57.0888258333333,-134.833141388889,E/W,WATER-E,,,,,,,,1
57,02AA,AIRPORT,Y,61.5066666666667,-149.911944444444,03/21,GRVL,,,,,,,,1
58,AA44,HELIPORT,Y-L,58.3287027777778,-134.465711111111,H1,ROOF-TOP,PERI,,,,,,,1
59,BTI,AIRPORT,Y-L,70.1131111111111,-143.653611111111,07/25,GRAVEL-G,MED,,,,,,PABA,1
60,BQV,SEAPLANE BASE,Y,58.4552077777778,-135.88517,NW/SE,WATER-E,,,,,,,,1
61,3AK6,AIRPORT,Y,61.59295,-149.268938888889,05/23,TURF-GRVL,,,,,,,,1
62,46AK,AIRPORT,Y,59.7382888888889,-151.029894166667,09/27,GRVL,,,,,,,,1
63,AK02,AIRPORT,N,65.5398866666667,-161.062377777778,10/28,GRAVEL,,,,,,,,1
64,Z48,AIRPORT,N,63.5716091666667,-156.144050555556,15/33,TURF-DIRT-P,,,,,,,,1
65,WBQ,AIRPORT,Y,66.3622222222222,-147.4065,05/23,GRVL-DIRT-G,MED,,,,,G,PAWB,1
66,D71,SEAPLANE BASE,N,61.5751388888889,-149.847666666667,01W/19W,WATER,,,,,,,,1
67,KBE,SEAPLANE BASE,Y,55.9290780555556,-131.571690555556,NE/SW,WATER,,,,,,,,1
68,BLG,AIRPORT,Y,61.1729618888889,-151.045416305556,H1,CONC,PERI,,,,,,PABG,3
69,BLG,AIRPORT,Y,61.1729618888889,-151.045416305556,09/27,GRVL,MED,,,,,,PABG,3
70,BLG,AIRPORT,Y,61.1729618888889,-151.045416305556,01/19,GRVL-G,MED,,,,,,PABG,3
71,5AK1,HELIPORT,Y,61.1807694444444,-151.041147222222,H1,GRAVEL,PERI,,,,,,,1
72,Z59,SEAPLANE BASE,Y,60.7820252777778,-161.743128888889,NE/SW,WATER,,,,,,,,1
73,BET,AIRPORT,Y-L,60.7785555555556,-161.837166666667,12/30,GRVL-G,HIGH,,,,,,PABE,3
74,BET,AIRPORT,Y-L,60.7785555555556,-161.837166666667,01L/19R,ASPH-F,HIGH,105.0,147.0,244.0,,F,PABE,3
75,BET,AIRPORT,Y-L,60.7785555555556,-161.837166666667,01R/19L,ASPH-G,HIGH,,,,,G,PABE,3
76,BTT,AIRPORT,Y-L,66.9139444444445,-151.529055555556,14W/32W,WATER,,,,,,,PABT,2
77,BTT,AIRPORT,Y-L,66.9139444444445,-151.529055555556,02/20,GRVL-G,MED,,,,,,PABT,2
78,AK51,SEAPLANE BASE,,58.6462944444444,-156.577763888889,08W/26W,WATER,,,,,,,,3
79,AK51,SEAPLANE BASE,,58.6462944444444,-156.577763888889,01W/19W,WATER,,,,,,,,3
80,AK51,SEAPLANE BASE,,58.6462944444444,-156.577763888889,12W/30W,WATER,,,,,,,,3
81,BGQ,AIRPORT,Y-L,61.5346830555556,-149.812548333333,07/25,GRAVEL-G,MED,,,,,G,PAGQ,1
82,37AK,AIRPORT,,59.3612466666667,-155.258821388889,07/25,GRAVEL,,,,,,,PABM,1
83,0AA6,HELIPORT,,59.4030555555556,-136.013611111111,H1,TURF-DIRT,,,,,,,,1
84,Z91,AIRPORT,Y-L,66.2744722222222,-145.818194444444,16/34,GRAVEL-G,MED,,,,,,,1
85,51AK,AIRPORT,Y,62.2422888888889,-150.065813888889,16/34,TURF,,,,,,,,1
86,AK85,AIRPORT,Y,61.4823333333333,-149.763986111111,07/25,TURF,,,,,,,,1
87,BCV,AIRPORT,Y-L,61.4160875,-149.508309777778,02L/20R,ASPH-F,MED,,,,,F,PABV,2
88,BCV,AIRPORT,Y-L,61.4160875,-149.508309777778,02R/20L,ASPH-GRVL-F,,,,,,,PABV,2
89,5BK,AIRPORT,N,63.5351463888889,-145.860886111111,14/32,TURF-GRVL-F,,,,,,,,1
90,AK89,AIRPORT,,61.6563083333333,-149.886722222222,09/27,TURF,,,,,,,,1
91,2AK1,AIRPORT,Y,64.3637391666667,-147.363758055556,15/33,TURF,,,,,,,,1
92,Z87,SEAPLANE BASE,N,55.2516272222222,-162.753404444444,E/W,WATER,,,,,,,,2
93,Z87,SEAPLANE BASE,N,55.2516272222222,-162.753404444444,N/S,WATER,,,,,,,,2
94,D75,SEAPLANE BASE,N,61.5760805555556,-149.675569444444,ALL/WAY,WATER,,,,,,,,1
95,71AK,AIRPORT,Y,61.5276388888889,-149.496311111111,03/21,TURF,,,,,,,,1
96,IAN,AIRPORT,Y-L,66.9761775,-160.438599166667,07/25,GRAVEL-G,MED,,,,,G,PAIK,1
97,3AK8,AIRPORT,Y,61.6625388888889,-149.3919,15/33,GRVL-G,,,,,,,,1
98,A13,AIRPORT,Y,61.3413388888889,-148.998880555556,14/32,GRAVEL-P,,,,,,,,1
99,2AK4,AIRPORT,Y,59.47,-151.5125,12/30,GRAVEL-G,,,,,,,,1
100,AK97,AIRPORT,Y,60.4230641666667,-146.145909444444,04/22,GRAVEL,,,,,,,,1
101,BYA,AIRPORT,Y,64.0783027777778,-141.113375,05/23,GRVL-DIRT-G,,,,,,,,1
102,0AK7,AIRPORT,,59.7760694444444,-150.958513888889,06/24,GRVL,LOW,,,,,,,1
103,95Z,AIRPORT,Y,64.7592222222222,-147.387638888889,15/33,GRVL-DIRT-F,,,,,,,,1
104,AK05,AIRPORT,,60.54105,-150.599216666667,17/35,GRVL,,,,,,,,1
105,KTS,AIRPORT,Y-L,65.3313333333333,-166.465722222222,05/23,GRVL-G,MED,,,,,,PFKT,2
106,KTS,AIRPORT,Y-L,65.3313333333333,-166.465722222222,12/30,GRVL-G,MED,,,,,,PFKT,2
107,6A7,SEAPLANE BASE,N,61.4818388888889,-149.773244444444,ALL/WAY,WATER-E,,,,,,,,1
108,95AK,AIRPORT,,61.4726194444444,-149.982469444444,07/25,TURF,,,,,,,,1
109,FRN,AIRPORT,Y,61.2658993055556,-149.653307638889,17/35,ASPH,MED,38.0,54.0,,,G,PAFR,1
110,AK98,AIRPORT,N,65.6386719444445,-167.485806944444,17/35,GRAVEL,,,,,,,,1
111,BVK,AIRPORT,Y-L,65.9815555555556,-161.149138888889,11/29,GRAVEL-G,MED,,,,,,PABL,1
112,AK35,HELIPORT,,64.0388625,-145.738947222222,H1,GRVL,,,,,,,,1
113,8AK7,AIRPORT,,70.1727777777778,-146.836111111111,H1,GRVL,PERI,,,,,,PABU,2
114,8AK7,AIRPORT,,70.1727777777778,-146.836111111111,15/33,GRVL,,,,,,,PABU,2
115,AA09,AIRPORT,Y,62.4775,-147.774722222222,07/25,GRVL,,,,,,,,1
116,6AK3,AIRPORT,Y,60.7294405555556,-151.278068333333,15/33,GRAVEL,,,,,,,,1
117,AK1,AIRPORT,Y,61.5303152777778,-149.017636111111,07/25,GRVL-DIRT-P,,,,,,,,1
118,CSR,AIRPORT,Y,61.1587,-149.780611111111,02/20,GRAVEL,,,,,,,,1
119,AK82,HELIPORT,Y,61.1561305555556,-149.7923,H1,TRTD,,,,,,,,1
120,A11,SEAPLANE BASE,Y,61.1330611111111,-149.9419,06W/24W,WATER,,,,,,,,1
121,AK18,AIRPORT,Y,59.8285491666667,-153.080824722222,12/30,GRVL,,,,,,,,1
122,AK75,AIRPORT,Y,65.9076580555556,-161.926305833333,02/20,GRVL-F,,,,,,,,1
123,TTW,AIRPORT,Y,63.3912047222222,-148.955616388889,04/22,TURF-DIRT-F,,,,,,,PATW,1
124,CDE,HELIPORT,N,56.0021130555556,-134.135339166667,H1,WOOD,,8.0,,,,G,,1
125,LUR,AIRPORT,Y,68.8751277777778,-166.111081944444,09/27,GRAVEL,HIGH,,,,,F,PALU,1
126,EHM,AIRPORT,Y,58.64815,-162.063802777778,15/33,GRVL,,,,,,,PAEH,1
127,Z71,SEAPLANE BASE,,55.96629,-133.796721111111,NW/SE,WATER,,,,,,,,1
128,CZF,AIRPORT,Y,61.7810143611111,-166.039575416667,02/20,GRAVEL,,,,,,F,PACZ,1
129,26AK,AIRPORT,N,54.5824311111111,-164.914480833333,06/24,GRAVEL,,,,,,,PACS,2
130,26AK,AIRPORT,N,54.5824311111111,-164.914480833333,16/34,GRAVEL,,,,,,,PACS,2
131,CSP,HELIPORT,Y,58.1992388888889,-136.639930555556,H1,WOOD-G,,8.0,,,,F,PACA,1
132,34AK,AIRPORT,,61.6250388888889,-149.288580555556,03/21,GRVL,,,,,,,,1
133,AK19,AIRPORT,Y,62.1727555555556,-150.063963888889,16/34,GRVL,MED,,,,,,,1
134,60AK,HELIPORT,Y,61.6074111111111,-149.2795,H1,ASPH,,,,,,,,1
135,64AK,AIRPORT,,61.4399111111111,-150.0261,09/27,GRVL,,,,,,,,1
136,8AK2,AIRPORT,Y,60.7021472222222,-151.293972222222,17/35,TURF-GRVL-F,,,,,,,,1
137,ATU,AIRPORT,Y,52.8325416666667,173.175554166667,02/20,ASPH-F,,32.0,110.0,150.0,,G,PAAT,1
138,48AK,AIRPORT,,61.7930888888889,-148.492496111111,05/23,TURF-P,,,,,,,,1
139,AK20,AIRPORT,Y,70.4206222222222,-150.886666666667,04/22,GRVL,MED,,,,,,,1
140,CEM,AIRPORT,Y-L,65.5739444444444,-144.780888888889,08/26,GRVL-DIRT-P,MED,,,,,G,PACE,1
141,AA03,HELIPORT,Y-L,70.1712846111111,-146.258569638889,H1,GRVL,,,,,,,,1
142,CIK,AIRPORT,Y-L,66.6450277777778,-143.739888888889,04/22,GRVL-DIRT-F,MED,,,,,F,PACI,1
143,WCR,AIRPORT,Y,67.5045166666667,-148.483222222222,03/21,GRVL-DIRT-G,,,,,,,PALR,1
144,5CD,AIRPORT,Y,68.0654394444444,-149.579739166667,01/19,GRAVEL-G,,,,,,,,1
145,05AA,SEAPLANE BASE,,57.5149383333333,-134.946215,NW/SE,WATER,,,,,,,,1
146,CFK,AIRPORT,Y-L,60.1368055555556,-164.279055555556,16/34,GRAVEL-G,MED,,,,,F,PACK,1
147,AK13,AIRPORT,Y,65.0518255555556,-146.047431944444,08/26,GRVL,,,,,,,,1
148,AK28,AIRPORT,Y,64.8140277777778,-147.918555555556,18/36,GRVL-G,,,,,,,,2
149,AK28,AIRPORT,Y,64.8140277777778,-147.918555555556,18W/36W,WATER,,,,,,,,2
150,2Z5,SEAPLANE BASE,Y,64.8328994444444,-147.848258333333,E/W,WATER,,,,,,,,2
151,2Z5,SEAPLANE BASE,Y,64.8328994444444,-147.848258333333,N/S,WATER,,,,,,,,2
152,C05,AIRPORT,Y-L,60.0785611111111,-147.994734722222,16/34,GRAVEL-G,MED,,,,,,PFCB,1
153,45AK,AIRPORT,,63.9618288888889,-145.470091944444,11/29,TURF,,,,,,,,1
154,VAK,AIRPORT,Y-L,61.5408333333333,-165.600888888889,02/20,GRVL-F,MED,,,,,,PAVA,1
155,CKX,AIRPORT,Y,64.0667513888889,-141.951347222222,13/31,GRVL-DIRT-G,,,,,,,,1
156,AJC,AIRPORT,Y,56.3114626388889,-158.373238194444,02/20,GRAVEL-G,,,,,,,PAJC,1
157,Z78,SEAPLANE BASE,N,56.2956105555556,-158.401479722222,E/W,WATER,,,,,,,,2
158,Z78,SEAPLANE BASE,N,56.2956105555556,-158.401479722222,NE/SW,WATER,,,,,,,,2
159,KCL,AIRPORT,Y,56.3109666666667,-158.534486111111,04/22,GRVL-DIRT-F,,,,,,,,1
160,A79,AIRPORT,Y,56.2554569444444,-158.777831944444,08/26,GRAVEL-P,,,,,,,,1
161,CZN,AIRPORT,Y,62.07175,-142.04935,12/30,TURF-GRVL-P,,,,,,,,1
162,CZO,AIRPORT,Y,62.5623333333333,-144.672444444444,02/20,TURF-GRVL-F,,,,,,,,1
163,CXC,AIRPORT,Y,61.5832027777778,-144.429802777778,13/31,GRVL-DIRT-G,,,,,,,,1
164,AK8,SEAPLANE BASE,,62.3134138888889,-150.06935,04W/22W,WATER,,,,,,,,2
165,AK8,SEAPLANE BASE,,62.3134138888889,-150.06935,14W/32W,WATER,,,,,,,,2
166,9A3,AIRPORT,Y-L,61.5790555555556,-159.215638888889,09/27,GRVL-DIRT-G,MED,,,,,,PACH,1
167,CRC,AIRPORT,Y-L,65.8279166666667,-144.076197222222,15/33,GRVL-DIRT-G,MED,,,,,,PACR,1
168,CHP,AIRPORT,Y-L,65.4859069444445,-144.611684722222,09/27,GRAVEL-G,,,,,,,,1
169,6AK9,AIRPORT,Y,61.6334611111111,-149.682380555556,04/22,GRVL,,,,,,,,1
170,HYL,SEAPLANE BASE,Y,55.4904166666667,-132.623555555556,E/W,WATER,,,,,,,,1
171,CLP,AIRPORT,Y-L,58.8336944444444,-158.529388888889,18/36,GRAVEL-F,MED,,,,,,PFCL,1
172,Z84,AIRPORT,Y-L,64.3003888888889,-149.116527777778,01/19,ASPH-G,MED,,,,,G,PACL,1
173,2AK2,AIRPORT,N,64.4534586111111,-147.563491944444,13/31,TURF,,,,,,,,1
174,L20,AIRPORT,Y,65.3115208333333,-143.134119444444,01/19,GRAVEL-P,,,,,,,,1
175,KCC,SEAPLANE BASE,Y,56.0148038888889,-132.8339225,N/S,WATER,,,,,,,PAKC,1
176,5AK6,AIRPORT,Y,61.5570111111111,-149.268288888889,16/34,ASPH,,,,,,,,1
177,CDB,AIRPORT,Y,55.2059166666667,-162.72625,08/26,ASPH-G,HIGH,99.0,131.0,345.0,,G,PACD,2
178,CDB,AIRPORT,Y,55.2059166666667,-162.72625,15/33,ASPH-G,HIGH,99.0,200.0,345.0,875.0,G,PACD,2
179,CXF,AIRPORT,Y,67.2521708333333,-150.203908055556,02/20,GRAVEL-G,MED,,,,,F,PACX,1
180,01CN,AIRPORT,,62.1069819444444,-150.109298611111,17/35,TURF-G,,,,,,,,1
181,KCR,AIRPORT,N,63.5677230555556,-155.989043611111,14/32,GRAVEL,,,,,,,,1
182,Z93,AIRPORT,Y,61.94119,-145.294080833333,13/31,GRVL-DIRT-F,,,,,,,,1
183,CKU,AIRPORT,Y,60.5436444444444,-145.725854166667,06/24,GRAVEL-G,,,,,,,,2
184,CKU,AIRPORT,Y,60.5436444444444,-145.725854166667,09W/27W,WATER,,,,,,,,2
185,3H3,SEAPLANE BASE,N,61.5976111111111,-149.316361111111,06W/24W,WATER,,,,,,,,1
186,K29,AIRPORT,Y,64.8967472222222,-163.703498611111,10/28,TURF-F,,,,,,,,1
187,68AK,HELIPORT,,61.5165805555556,-149.931080555556,H1,WOOD,,,,,,,,1
188,52AK,AIRPORT,,61.7040305555556,-148.908788888889,06/24,TURF,,,,,,,,1
189,CGA,SEAPLANE BASE,Y,55.4788313888889,-133.147801111111,N/S,WATER,,,,,,,,1
190,1AK0,HELIPORT,Y,55.4752202777778,-133.145856388889,H1,WOOD,,8.0,,,,,,1
191,1AK1,AIRPORT,Y,67.3728722222222,-152.016077777778,13/31,DIRT,,,,,,,,1
192,CJX,AIRPORT,Y,61.8711180555556,-158.137956388889,14/32,GRVL-E,,,,,,P,PACJ,1
193,1AK2,AIRPORT,N,62.4009419444444,-146.013304722222,13/31,TURF-GRVL,,,,,,,,1
194,78AK,AIRPORT,Y,61.7349444444444,-150.537513888889,09/27,TURF,,,,,,,,1
195,9AK7,AIRPORT,,61.5901805555556,-149.815429166667,04/22,GRVL,,,,,,,,1
196,3AA3,HELIPORT,Y,61.13,-146.370555555556,H1,TURF-G,,,,,,,,1
197,DCK,AIRPORT,Y,66.9425614166667,-156.891368638889,08/26,GRAVEL-G,,,,,,,,1
198,7AK5,AIRPORT,,60.5035966666667,-150.935550277778,03/21,TURF,,,,,,,,1
199,31AK,AIRPORT,,64.8329077777778,-147.424643333333,06/24,TURF-G,,,,,,,,1
200,7AK6,AIRPORT,Y,60.4758180555556,-150.928879166667,04/22,DIRT,,,,,,,,1
201,45AA,AIRPORT,,62.1628972222222,-150.539608333333,02/20,DIRT,,,,,,,,1
202,D72,SEAPLANE BASE,,61.3525194444444,-149.54635,N/S,WATER,,,,,,,,1
203,SCC,AIRPORT,Y-L,70.1947541111111,-148.465164861111,06/24,ASPH-G,HIGH,120.0,250.0,550.0,,G,PASC,1
204,DEE,AIRPORT,Y-L,66.0691111111111,-162.767055555556,12/30,GRVL-G,MED,,,,,,PADE,2
205,DEE,AIRPORT,Y-L,66.0691111111111,-162.767055555556,03/21,GRVL-G,MED,,,,,,PADE,2
206,AA22,AIRPORT,Y,64.1328583333333,-145.804494444444,15/33,TURF,,,,,,,,1
207,D66,AIRPORT,Y,64.0501166666667,-145.722465277778,07/25,GRAVEL-G,,,,,,,,1
208,AK06,AIRPORT,Y,63.6403791666667,-148.791993055556,12/30,GRAVEL,,,,,,,,1
209,IBN,AIRPORT,Y,62.4018461111111,-142.995468055556,14/32,GRVL-DIRT,,,,,,,,1
210,DLG,AIRPORT,Y,59.0446666666667,-158.5055,01/19,ASPH-G,HIGH,116.0,186.0,300.0,726.0,G,PADL,1
211,DM2,HELIPORT,Y,65.7586111111111,-168.953055555556,H1,CONC-G,,,,,,,PPDM,1
212,01AA,AIRPORT,Y,62.0324227777778,-158.236231666667,12/30,GRVL-G,,,,,,F,PFCR,1
213,AA12,SEAPLANE BASE,,57.0408333333333,-135.295555555556,15W/33W,WATER,,,,,,,,1
214,30AK,AIRPORT,Y,60.5027583333333,-151.260002777778,16/34,TURF-G,,,,,,,,1
215,3AK5,AIRPORT,Y,60.5888675,-152.161977222222,H1,GRAVEL,,,,,,,,2
216,3AK5,AIRPORT,Y,60.5888675,-152.161977222222,05/23,GRAVEL,MED,,,,,,,2
217,AK23,AIRPORT,,53.9719805555556,-166.857405555556,14/32,GRVL,,,,,,,PAAM,1
218,3AK,AIRPORT,Y,59.1643333333333,-138.488805555556,05/23,GRAVEL-F,,,,,,,,1
219,DDT,AIRPORT,Y,62.7246119444444,-143.920514444444,05/23,GRAVEL-G,,,,,,,,1
220,88AK,AIRPORT,Y,60.5402777777778,-150.868055555556,07/25,GRVL,,,,,,,,1
221,EAA,AIRPORT,Y-L,64.7780833333333,-141.149611111111,07/25,GRAVEL-G,MED,,,,,,PAEG,1
222,AK88,AIRPORT,,61.6046972222222,-149.040188888889,15/33,TURF,,,,,,,,1
223,AA10,AIRPORT,,61.5328916666667,-149.698761111111,09/27,TURF,,,,,,,,1
224,SYA,AIRPORT,Y,52.7122583333333,174.113588888889,10/28,ASPH,HIGH,,,,,G,PASY,1
225,AK76,AIRPORT,Y,59.1262847222222,-138.408831944444,02/20,TURF-F,,,,,,,,1
226,98AK,AIRPORT,,59.7758416666667,-151.181630555556,H1,GRVL,,,,,,,,2
227,98AK,AIRPORT,,59.7758416666667,-151.181630555556,09/27,GRVL,,,,,,,,2
228,GAL,AIRPORT,Y,64.7361897222222,-156.934554722222,06/24,GRAVEL-G,,,,,,F,PAGA,2
229,GAL,AIRPORT,Y,64.7361897222222,-156.934554722222,08/26,ASPH-F,MED,110.0,144.0,240.0,,F,PAGA,2
230,EEK,AIRPORT,Y-L,60.2136944444444,-162.043888888889,18/36,GRVL-G,MED,,,,,G,PAEE,1
231,EII,AIRPORT,Y-L,58.1854902777778,-157.375427777778,03/21,GRVL-DIRT-G,MED,,,,,,PAII,2
232,EII,AIRPORT,Y-L,58.1854902777778,-157.375427777778,12/30,GRVL-G,MED,,,,,F,PAII,2
233,EIL,AIRPORT,Y,64.6656444444445,-147.101438888889,14/32,CONC,HIGH,,,,,G,PAEI,1
234,KKU,AIRPORT,Y,58.8111925,-158.5588425,01/19,GRVL-DIRT,,,,,,,,1
235,KEK,AIRPORT,Y-L,59.3568388888889,-157.471139444444,02/20,GRAVEL-G,MED,,,,,F,,1
236,5C5,SEAPLANE BASE,,55.9585888888889,-133.253372222222,15W/33W,WATER,,,,,,,,1
237,ERO,HELIPORT,N,58.9716805555556,-135.222025,H1,WOOD-G,,8.0,,,,F,,1
238,ELV,SEAPLANE BASE,,58.1951841666667,-136.347392777778,NW/SE,WATER-E,,,,,,,PAEL,1
239,ELI,AIRPORT,Y-L,64.6149722222222,-162.270527777778,01/19,GRVL-DIRT-G,MED,,,,,F,PFEL,1
240,9AA1,AIRPORT,,61.6820305555556,-149.290736111111,10/28,GRVL,,,,,,,,1
241,1Z9,SEAPLANE BASE,N,60.8939077777778,-146.703691944444,NW/SE,WATER,,,,,,,,1
242,EDF,AIRPORT,Y,61.2513531944444,-149.806525666667,16/34,ASPH,HIGH,,,,,G,PAED,2
243,EDF,AIRPORT,Y,61.2513531944444,-149.806525666667,06/24,ASPH,HIGH,,,,,G,PAED,2
244,AK91,HELIPORT,Y,61.2353833333333,-149.749275,H1,ASPH,PERI,,,,,G,,1
245,ENM,AIRPORT,Y-L,62.7861388888889,-164.49075,16/34,GRAVEL-G,MED,,,,,,PAEM,1
246,AK5,SEAPLANE BASE,Y,60.2555555555556,-151.303055555556,09W/27W,WATER,,,,,,,,1
247,Z47,AIRPORT,Y,64.6790902777778,-165.299201388889,16/34,GRVL-DIRT-G,,,,,,,,1
248,61AK,HELIPORT,Y,62.5675527777778,-150.235883333333,H1,TURF-P,,,,,,,,2
249,61AK,HELIPORT,Y,62.5675527777778,-150.235883333333,H2,TURF-P,,,,,,,,2
250,7AK7,HELIPORT,,63.7384319444444,-148.881749722222,H1,WOOD,,,,,,,,4
251,7AK7,HELIPORT,,63.7384319444444,-148.881749722222,H2,WOOD,,,,,,,,4
252,7AK7,HELIPORT,,63.7384319444444,-148.881749722222,H3,WOOD,,,,,,,,4
