Dep_Airport_ID,Schedules
VDZ,"JAN-DEC/SAT & SUN/0800-1830"
VDZ,"JAN-DEC/MON - FRI/0600-1830"
WRG,ALL/ALL/0600-1700
YAK,ALL/ALL/1430Z-0130Z
ITO,ALL/ALL/0700-2030
HNL,ALL/ALL/ALL
OGG,ALL/ALL/ALL
CZBB,ALL/ALL/0700-2100
MYAF,"ALL/ALL/1400-2230Z++ UTC-5(-4DT)"
MYAM,"ALL/MON-FRI/1200Z++-DUSK UTC-5(-4DT)"
