Dep_Airport_ID,ARP_Latitude,ARP_Longitude,Facility_Type,Wind_Indicator,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
TUS,032-06-57.8500N,110-56-27.6500W,AIRPORT,Y-L,03/21,3,7000,150,ASPH-G,MED,105,137,230,500,G
TUS,032-06-57.8500N,110-56-27.6500W,AIRPORT,Y-L,11L/29R,3,10996,150,ASPH-G,HIGH,160,200,350,585,G
TUS,032-06-57.8500N,110-56-27.6500W,AIRPORT,Y-L,11R/29L,3,8408,75,ASPH-G,MED,120,140,220,,G
RYN,032-08-31.9600N,111-10-28.4900W,AIRPORT,Y-L,06L/24R,3,4900,75,ASPH-G,MED,12,30,,,F
RYN,032-08-31.9600N,111-10-28.4900W,AIRPORT,Y-L,06R/24L,3,5500,75,ASPH-G,MED,12,30,,,G
E25,033-58-14.2700N,112-47-42.3200W,AIRPORT,Y-L,05/23,1,6101,75,ASPH-G,MED,30,60,,,G
INW,035-01-18.8700N,110-43-21.0600W,AIRPORT,Y-L,04/22,2,7499,150,ASPH-G,MED,50,80,125,,F
INW,035-01-18.8700N,110-43-21.0600W,AIRPORT,Y-L,11/29,2,7100,150,ASPH-F,MED,60,70,110,,F
NYL,032-39-23.6700N,114-36-21.5500W,AIRPORT,Y-L,03R/21L,4,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
NYL,032-39-23.6700N,114-36-21.5500W,AIRPORT,Y-L,08/26,4,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,032-39-23.6700N,114-36-21.5500W,AIRPORT,Y-L,17/35,4,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,032-39-23.6700N,114-36-21.5500W,AIRPORT,Y-L,03L/21R,4,13300,200,CONC-G,HIGH,103,200,400,,G
FYV,036-00-18.3000N,094-10-12.2000W,AIRPORT,Y-L,16/34,1,6005,100,ASPH-G,MED,90,150,175,,G
FSM,035-20-11.7100N,094-22-02.8000W,AIRPORT,Y-L,02/20,2,5001,150,ASPH-G,MED,55,70,120,,G
FSM,035-20-11.7100N,094-22-02.8000W,AIRPORT,Y-L,08/26,2,8017,150,ASPH-G,HIGH,75,175,295,,G
HOT,034-28-40.9000N,093-05-46.4000W,AIRPORT,Y-L,05/23,2,6595,150,ASPH-G,HIGH,75,125,210,400,G
HOT,034-28-40.9000N,093-05-46.4000W,AIRPORT,Y-L,13/31,2,4098,100,ASPH-G,MED,28,36,63,,G
JBR,035-49-54.1600N,090-38-47.1200W,AIRPORT,Y-L,05/23,2,6200,150,ASPH-G,MED,40,48,76,,P
JBR,035-49-54.1600N,090-38-47.1200W,AIRPORT,Y-L,13/31,2,4099,150,ASPH-G,MED,50,60,95,,F
LIT,034-43-45.9900N,092-13-29.2000W,AIRPORT,Y-L,04R/22L,3,8251,150,CONC-G,HIGH,75,200,350,,G
LIT,034-43-45.9900N,092-13-29.2000W,AIRPORT,Y-L,04L/22R,3,8273,150,CONC-G,HIGH,75,200,350,,G
LIT,034-43-45.9900N,092-13-29.2000W,AIRPORT,Y-L,18/36,3,6224,150,CONC-G,MED,75,100,135,,G
