Loc Id,Facility Type,Wind Indicator,Runway Id,Length,Width,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,Schedule,Schedule,,
GST,AIRPORT,Y,02/20,3010,60,ASPH-G,,40,,,,G,15 MAY-1 SEP/TUE-THU/0600-1800,15 MAY-1 SEP,TUE-THU,0600-1800
GST,AIRPORT,Y,02/20,3010,60,ASPH-G,,40,,,,G,1 SEP-15 MAY/ALL/0600-1430,1 SEP-15 MAY,ALL,0600-1430
GST,AIRPORT,Y,02/20,3010,60,ASPH-G,,40,,,,G,15 MAY-1SEP/FRI-MON/0930-1800,15 MAY-1SEP,FRI-MON,0930-1800
HNS,AIRPORT,Y-L,08/26,4000,100,ASPH-G,MED,,,,,G,UNATNDD,UNATNDD,,
HOM,AIRPORT,Y-L,06W/24W,2501,100,WATER,,,,,,,NOV-MAR/ALL/0400-2100,NOV-MAR,ALL,0400-2100
HOM,AIRPORT,Y-L,06W/24W,2501,100,WATER,,,,,,,APR-OCT/ALL/0600-2100,APR-OCT,ALL,0600-2100
HOM,AIRPORT,Y-L,04/22,6701,150,ASPH-P,HIGH,62,70,189,,P,NOV-MAR/ALL/0400-2100,NOV-MAR,ALL,0400-2100
HOM,AIRPORT,Y-L,04/22,6701,150,ASPH-P,HIGH,62,70,189,,P,APR-OCT/ALL/0600-2100,APR-OCT,ALL,0600-2100
HPB,AIRPORT,Y-L,14/32,3300,75,GRVL-DIRT-F,MED,,,,,G,UNATNDD,UNATNDD,,
HLA,AIRPORT,Y-L,03/21,4000,75,GRAVEL-G,MED,,,,,,UNATNDD,UNATNDD,,
JNU,AIRPORT,Y-L,08W/26W,4800,150,WATER,,,,,,,ALL/ALL/ALL,ALL,ALL,ALL
JNU,AIRPORT,Y-L,08/26,8857,150,ASPH-G,HIGH,120,250,550,,F,ALL/ALL/ALL,ALL,ALL,ALL
ENA,AIRPORT,Y-L,02W/20W,4600,240,WATER-G,,,,,,G,ALL/MON-FRI/0800-1700,ALL,MON-FRI,0800-1700
ENA,AIRPORT,Y-L,02L/20R,7855,150,ASPH-G,HIGH,75,150,250,,F,ALL/MON-FRI/0800-1700,ALL,MON-FRI,0800-1700
ENA,AIRPORT,Y-L,02R/20L,1980,75,GRVL-G,,,,,,,ALL/MON-FRI/0800-1700,ALL,MON-FRI,0800-1700
KTN,AIRPORT,Y-L,11/29,7500,150,ASPH-G,HIGH,75,200,300,,G,ALL/ALL/0600-2130,ALL,ALL,0600-2130
KTN,AIRPORT,Y-L,WNW/ESE,9500,1500,WATER,,,,,,,ALL/ALL/0600-2130,ALL,ALL,0600-2130
KVC,AIRPORT,Y-L,08/26,3500,115,GRVL-G,MED,,,,,F,UNATNDD,UNATNDD,,
ADQ,AIRPORT,Y-L,01/19,5010,150,ASPH-G,HIGH,53,110,150,,G,SAME AS ARPT MAINT HRS,SAME AS ARPT MAINT HRS,,
ADQ,AIRPORT,Y-L,08/26,7534,150,ASPH-G,HIGH,53,110,150,,G,SAME AS ARPT MAINT HRS,SAME AS ARPT MAINT HRS,,
ADQ,AIRPORT,Y-L,11/29,5400,150,ASPH-G,HIGH,53,110,150,,F,SAME AS ARPT MAINT HRS,SAME AS ARPT MAINT HRS,,
FBK,AIRPORT,Y,H6,50,50,ASPH-CONC-G,,,,,,,ALL/MON-FRI/1700-0800++,ALL,MON-FRI,1700-0800++
FBK,AIRPORT,Y,07/25,8575,150,ASPH-CONC,HIGH,,38,,,G,ALL/MON-FRI/1700-0800++,ALL,MON-FRI,1700-0800++
FBK,AIRPORT,Y,H1,50,50,ASPH-CONC-G,,,,,,,ALL/MON-FRI/1700-0800++,ALL,MON-FRI,1700-0800++
FBK,AIRPORT,Y,H4,50,50,ASPH-CONC-G,,,,,,,ALL/MON-FRI/1700-0800++,ALL,MON-FRI,1700-0800++
FBK,AIRPORT,Y,H5,50,50,ASPH-CONC-G,,,,,,,ALL/MON-FRI/1700-0800++,ALL,MON-FRI,1700-0800++
