Dep_Airport_ID,Schedules,Runway_ID,Num_of_Runways,Length,Width,Surface_Type_Condition,Edge_Light_Intensity,WBC_Single,WBC_Dual,WBC_Two_Dual,WBC_Tandem_Two_Dual,Base_Marking_Condition
NYL,ALL/ALL/,03R/21L,4,9240,150,ASPH-CONC-G,HIGH,162,200,400,,G
NYL,ALL/ALL/,08/26,4,6146,150,ASPH-G,HIGH,63,137,206,,G
NYL,ALL/ALL/,17/35,4,5710,150,ASPH-CONC-G,HIGH,72,171,255,,G
NYL,ALL/ALL/,03L/21R,4,13300,200,CONC-G,HIGH,103,200,400,,G
FYV,ALL/MON-FRI/0600-2200,16/34,1,6005,100,ASPH-G,MED,90,150,175,,G
FYV,ALL/SAT-SUN/0800-2000,16/34,1,6005,100,ASPH-G,MED,90,150,175,,G
FSM,ALL/ALL/ALL,02/20,2,5001,150,ASPH-G,MED,55,70,120,,G
FSM,ALL/ALL/ALL,08/26,2,8017,150,ASPH-G,HIGH,75,175,295,,G
HOT,ALL/ALL/0500-2200,05/23,2,6595,150,ASPH-G,HIGH,75,125,210,400,G
HOT,ALL/ALL/0500-2200,13/31,2,4098,100,ASPH-G,MED,28,36,63,,G
JBR,ALL/ALL/0600-2100,05/23,2,6200,150,ASPH-G,MED,40,48,76,,P
JBR,ALL/ALL/0600-2100,13/31,2,4099,150,ASPH-G,MED,50,60,95,,F
LIT,ALL/ALL/ALL,04R/22L,3,8251,150,CONC-G,HIGH,75,200,350,,G
LIT,ALL/ALL/ALL,04L/22R,3,8273,150,CONC-G,HIGH,75,200,350,,G
LIT,ALL/ALL/ALL,18/36,3,6224,150,CONC-G,MED,75,100,135,,G
SGT,NOV-JAN/ALL/0800-2000,09/27,2,5002,150,CONC-G,MED,25,65,120,,F
SGT,FEB-OCT/MON-FRI/0800-1600,09/27,2,5002,150,CONC-G,MED,25,65,120,,F
SGT,NOV-JAN/ALL/0800-2000,18/36,2,6015,100,ASPH-G,MED,75,150,200,300,G
SGT,FEB-OCT/MON-FRI/0800-1600,18/36,2,6015,100,ASPH-G,MED,75,150,200,300,G
TXK,ALL/ALL/0600-2200,04/22,2,6601,150,ASPH-G,HIGH,50,86,120,,G
TXK,ALL/ALL/0600-2200,13/31,2,5200,100,ASPH-G,MED,25,,,,G
APV,ALL/ALL/0800-1700,08/26,2,4099,60,ASPH-P,,40,60,100,,P
APV,ALL/ALL/0800-1700,18/36,2,6498,150,ASPH-F,MED,70,90,150,,F
ACV,"ALL/ALL /0400-2359",01/19,2,4501,150,ASPH-G,MED,60,95,170,,F
ACV,"ALL/ALL /0400-2359",14/32,2,6046,150,ASPH-G,HIGH,60,155,280,,G
AUN,ALL/ALL/0800-1800,07/25,1,3700,75,ASPH-G,MED,30,,,,G
BFL,ALL/ALL/ALL,12R/30L,2,7700,100,ASPH-E,MED,18,,,,G
BFL,ALL/ALL/ALL,12L/30R,2,10849,150,ASPH-G,HIGH,96,155,260,654,G
L35,ALL/ALL/0800-1700,08/26,1,5850,75,ASPH-G,MED,12,,,,G
BUR,ALL/ALL/ALL,15/33,2,6886,150,ASPH-CONC-E,MED,120,201,352,839,G
BUR,ALL/ALL/ALL,08/26,2,5802,150,ASPH-CONC-E,HIGH,120,201,352,839,G
C83,ALL/ALL/0700-1400,12/30,2,4500,100,ASPH-G,MED,29,,,,G
C83,ALL/ALL/0700-1400,05/23,2,3000,75,ASPH-G,MED,29,,,,G
CMA,ALL/ALL/0700-2300,08/26,1,6013,150,ASPH-CONC-G,MED,50,80,125,,G
CRQ,ALL/ALL/0700-2200,06/24,2,4897,150,ASPH-G,HIGH,60,80,110,,G
CIC,ALL/ALL/0700-1900,13R/31L,3,3000,60,ASPH-F,,12,,,,F
CIC,ALL/ALL/0700-1900,H1,3,64,64,CONC-G,,35,,,,
CIC,ALL/ALL/0700-1900,13L/31R,3,6724,150,ASPH-G,HIGH,63,100,170,,G
CNO,ALL/ALL/ALL,08L/26R,3,4858,150,ASPH-G,HIGH,12,,,,G
CNO,ALL/ALL/ALL,08R/26L,3,7000,150,ASPH-G,MED,75,150,215,,G
CNO,ALL/ALL/ALL,03/21,3,4919,150,ASPH-G,MED,21,130,,50,G
O22,ALL/ALL/0800-1700,17/35,2,4673,75,ASPH-G,MED,30,,,,F
CEC,ALL/ALL/0800-1800,12/30,2,5002,150,ASPH-F,HIGH,30,43,,,F
CEC,ALL/ALL/0800-1800,18/36,2,5000,150,ASPH-F,MED,30,43,,,F
DAG,ALL/ALL/0630-1700,08/26,2,6402,150,ASPH-F,MED,30,170,320,,F
DAG,ALL/ALL/0630-1700,04/22,2,5123,100,ASPH-F,MED,30,105,190,,F
EMT,ALL/ALL/ALL,01/19,1,3995,75,ASPH-G,MED,12,,,,G
FOT,UNATNDD,11/29,1,4004,100,ASPH-G,MED,30,,,,F
FAT,ALL/ALL/ALL,11L/29R,2,9539,150,ASPH-G,HIGH,70,170,250,,G
FAT,ALL/ALL/ALL,11R/29L,2,8008,150,ASPH-G,MED,70,170,250,,G
FUL,ALL/ALL/0700-2100,06/24,2,3121,75,ASPH-G,MED,12,,,,G
HAF,ALL/ALL/0830-1630,12/30,1,5000,150,ASPH-CONC-F,MED,30,200,360,,G
HMT,ALL/ALL/DALGT,05/23,2,4315,100,ASPH-G,MED,80,130,,,G
WJF,ALL/ALL/ALL,06/24,1,7201,150,ASPH-G,MED,50,68,117,,G
LHM,"ALL/MON-FRI/0630 - 1500",15/33,2,6001,100,ASPH-G,MED,30,60,,,G
LVK,ALL/SAT-SUN/0700-1100,07L/25R,3,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,ALL/MON-FRI/0730-1700,07L/25R,3,5253,100,ASPH-E,HIGH,45,90,,,G
LVK,ALL/SAT-SUN/0700-1100,07R/25L,3,2699,75,ASPH-E,MED,12,,,,G
LVK,ALL/MON-FRI/0730-1700,07R/25L,3,2699,75,ASPH-E,MED,12,,,,G
LGB,ALL/ALL/ALL,12/30,7,10000,200,ASPH-G,HIGH,30,200,300,,G
LGB,ALL/ALL/ALL,08R/26L,7,3918,100,ASPH-G,HIGH,30,75,,,G
