,Loc Id,ARP Latitude,ARP Longitude
122,CRQ,033-07-41.7000N,117-16-48.3000W
123,BFL,035-26-01.9000N,119-03-27.6000W
124,MCE,037-17-05.1000N,120-30-50.1000W
125,OAK,037-43-16.5400N,122-13-16.1400W
126,MOD,037-37-32.9700N,120-57-15.9500W
127,NUQ,037-24-58.1200N,122-02-56.8700W
128,MRY,036-35-13.0300N,121-50-34.0200W
129,APC,038-12-47.4800N,122-16-50.4700W
130,EED,034-45-58.8500N,114-37-23.8100W
131,SJC,037-21-46.7800N,121-55-43.0300W
132,ONT,034-03-21.6500N,117-36-04.2800W
133,OXR,034-12-02.9000N,119-12-26.0200W
134,PMD,034-37-45.8000N,118-05-04.3900W
135,PSP,033-49-46.8000N,116-30-24.1000W
136,PRB,035-40-22.4000N,120-37-37.5000W
137,PVF,038-43-27.2200N,120-45-11.9100W
138,PTV,036-01-46.5000N,119-03-45.8000W
139,RBL,040-09-01.1000N,122-15-07.9000W
140,RDD,040-30-32.3000N,122-17-36.2000W
141,O32,036-40-15.6000N,119-27-03.7000W
142,FOT,040-33-14.1900N,124-07-57.5600W
143,SAC,038-30-46.3000N,121-29-35.8800W
144,SMF,038-41-43.6000N,121-35-26.8000W
145,MHR,038-33-19.1200N,121-17-49.9600W
146,SNS,036-39-46.0300N,121-36-22.9200W
147,SBD,034-05-43.3000N,117-14-05.6000W
148,SAN,032-44-00.8300N,117-11-22.7900W
149,SFO,037-37-07.7000N,122-22-31.5000W
150,EMT,034-05-09.6300N,118-02-05.4400W
151,SBP,035-14-14.2000N,120-38-33.4000W
152,SBA,034-25-34.2900N,119-50-29.3700W
153,SMX,034-53-59.8000N,120-27-29.1000W
154,MIT,035-30-26.9200N,119-11-31.6700W
155,SIY,041-46-53.2000N,122-28-05.2000W
156,SCK,037-53-39.8800N,121-14-19.4600W
157,TRK,039-19-12.2000N,120-08-22.5000W
158,UKI,039-07-33.4000N,123-12-03.1000W
159,VNY,034-12-35.3000N,118-29-23.9000W
160,WVI,036-56-08.6400N,121-47-22.7000W
161,WHP,034-15-33.5700N,118-24-48.3600W
162,TOA,033-48-12.1800N,118-20-22.5900W
163,ASE,039-13-18.8000N,106-52-05.6000W
164,APA,039-34-12.4300N,104-50-57.4600W
165,COS,038-48-20.9400N,104-42-02.8000W
166,CEZ,037-18-10.8100N,108-37-40.9600W
167,DRO,037-09-05.5000N,107-45-13.6000W
168,EGE,039-38-33.9000N,106-54-57.4000W
169,FMM,040-20-07.6000N,103-48-15.0000W
170,1V6,038-25-42.8200N,105-06-24.6800W
171,GNB,040-05-24.2000N,105-54-59.9000W
