,Loc Id,ARP Latitude,ARP Longitude
535,MAF,031-56-33.1000N,102-12-06.9000W
536,MWL,032-46-53.7800N,098-03-36.6300W
537,ODO,031-55-17.0900N,102-23-13.6800W
538,AFW,032-59-25.3900N,097-19-09.9900W
539,AMA,035-13-09.7000N,101-42-21.3000W
540,SJT,031-21-27.8900N,100-29-46.7000W
541,SAT,029-32-02.2500N,098-28-08.6000W
542,SPS,033-59-19.6800N,098-29-30.8500W
543,SWI,033-37-26.9000N,096-35-10.1000W
544,SSF,029-20-13.1300N,098-28-15.7600W
545,TRL,032-42-30.5800N,096-16-01.5400W
546,VCT,028-51-15.1400N,096-55-07.4400W
547,ACT,031-36-43.9000N,097-13-49.1000W
548,F05,034-13-32.4000N,099-17-01.5000W
549,HOU,029-38-44.8800N,095-16-38.0300W
550,CNY,038-45-27.4700N,109-45-12.4700W
551,PUC,039-36-50.0000N,110-45-05.8000W
552,CDC,037-42-03.4900N,113-05-55.8600W
553,HIF,041-07-26.1800N,111-58-23.0000W
554,DPG,040-11-50.5700N,112-56-06.2000W
555,OGD,041-11-42.2500N,112-00-43.9000W
556,PVU,040-13-09.0000N,111-43-24.1000W
557,RIF,038-44-02.8000N,112-06-05.7000W
558,SLC,040-47-18.2200N,111-58-39.9800W
559,BTF,040-52-05.3400N,111-55-39.0000W
560,U42,040-37-10.3700N,111-59-34.4000W
561,SGU,037-02-10.9600N,113-30-37.0900W
562,VEL,040-26-09.8800N,109-30-41.1200W
563,ENV,040-43-07.4100N,114-01-43.2200W
564,HSP,037-57-05.2000N,079-50-02.0200W
565,JYO,039-04-40.7000N,077-33-27.0000W
566,RIC,037-30-18.6500N,077-19-11.0600W
567,ROA,037-19-31.7000N,079-58-31.5000W
568,RMN,038-23-53.2000N,077-27-19.7000W
569,JFZ,037-03-49.4900N,081-47-53.7600W
570,74S,048-29-54.6200N,122-39-44.8900W
571,S97,048-06-17.0200N,119-43-11.7000W
572,AWO,048-09-38.7000N,122-09-32.5000W
573,BLI,048-47-33.7000N,122-32-15.1000W
574,BFI,047-31-47.9000N,122-18-07.0000W
575,DEW,047-58-01.4000N,117-25-42.9100W
576,SFF,047-40-58.5900N,117-19-20.7300W
577,FHR,048-31-19.1000N,123-01-27.7000W
578,MWH,047-12-30.9000N,119-19-08.9000W
579,TCM,047-08-15.6400N,122-28-35.3100W
580,S52,048-25-29.8100N,120-08-45.1900W
581,OLM,046-58-09.8600N,122-54-09.1600W
582,EAT,047-23-55.7000N,120-12-24.6000W
583,VUO,045-37-13.6300N,122-39-23.3600W
584,PUW,046-44-30.0900N,117-06-41.8300W
585,RNT,047-29-35.3000N,122-12-56.7000W
586,BVS,048-28-13.8900N,122-25-18.0800W
587,PAE,047-54-26.3500N,122-16-55.5400W
588,GEG,047-37-08.5000N,117-32-06.8000W
589,TIW,047-16-04.6000N,122-34-41.2000W
590,PSC,046-15-52.8500N,119-07-08.4900W
591,ALW,046-05-33.1500N,118-17-02.7000W
592,CLM,048-07-12.7000N,123-29-58.9000W
593,YKM,046-34-05.4000N,120-32-38.6000W
594,ATW,044-15-29.1400N,088-31-08.6600W
595,SUE,044-50-37.2000N,087-25-17.5000W
596,GRB,044-29-04.6800N,088-07-46.9700W
597,ENW,042-35-45.8300N,087-55-38.3600W
598,LSE,043-52-45.3600N,091-15-23.8800W
599,MWC,043-06-37.4000N,088-02-03.9000W
600,C35,043-31-33.2400N,089-58-59.6000W
601,Y51,043-34-46.7000N,090-53-51.8000W
602,MRB,039-24-08.4900N,077-58-58.8000W
603,I18,038-55-47.2000N,081-49-10.1000W
604,46U,043-10-54.5000N,111-02-18.6000W
605,CPR,042-54-21.1000N,106-27-49.1000W
606,CYS,041-09-20.3000N,104-48-37.7000W
607,EVW,041-16-29.2000N,111-02-04.7000W
608,LND,042-48-55.3800N,108-43-42.8300W
609,JAC,043-36-26.4000N,110-44-15.9000W
610,LAR,041-18-43.4000N,105-40-30.0000W
611,GCC,044-20-56.0700N,105-32-21.7200W
612,SHR,044-46-09.1000N,106-58-49.0000W
613,SAA,041-26-36.7000N,106-49-39.1000W
614,GEY,044-31-04.6000N,108-04-58.8000W
615,RKS,041-35-39.2000N,109-03-54.7000W
616,COD,044-31-12.7000N,109-01-25.7000W
617,CYXX,049-01-31.0000N,122-21-36.0000W
618,MYAF,024-41-52.5400N,077-47-44.4400W
619,MYAM,026-30-36.4600N,077-05-06.4200W
620,CYCD,049-03-16.0000N,123-52-12.0000W
621,CYYF,049-27-47.0000N,119-36-08.0000W
622,CYSU,046-26-26.0000N,063-50-01.0000W
623,CYQT,048-22-19.0000N,089-19-26.0000W
624,CZBB,049-04-27.0000N,123-00-27.0000W
625,CYVR,049-11-41.0000N,123-11-02.0000W
626,CYYJ,048-38-53.0100N,123-25-38.7900W
627,CYXY,060-42-34.0000N,135-04-02.0000W
