Loc Id,Facility Type,Runway Id,Length,Width,Surface Type Condition,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Schedule
BWI,AIRPORT,07/25,2200,80,TURF,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
FDK,AIRPORT,18/36,3204,75,ASPH-G,28.0,0.0,0.0,0.0,UNATNDD
BGR,AIRPORT,01/19,3293,25,ASPH,0.0,0.0,0.0,0.0,UNATNDD
RKD,AIRPORT,18/36,3014,75,ASPH-G,12.0,0.0,0.0,0.0,IRREGULAR MAR-NOV
SFM,AIRPORT,H1,85,85,ASPH-G,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
LAN,AIRPORT,H1,65,65,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
TVC,AIRPORT,02/20,1900,150,TURF,0.0,0.0,0.0,0.0,ALL/SAT-SUN/ALL
GLR,AIRPORT,15W/33W,5000,500,WATER,0.0,0.0,0.0,0.0,ALL/ALL/ALL
OZW,AIRPORT,H1,50,50,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
OSC,AIRPORT,09/27,2500,50,TURF,0.0,0.0,0.0,0.0,ALL/ALL/0530-2000
PLN,AIRPORT,12/30,2600,24,ASPH,0.0,0.0,0.0,0.0,UNATTNDED
SAW,AIRPORT,H1,100,66,ASPH,0.0,0.0,0.0,0.0,UNATNDD
LWA,AIRPORT,07/25,2590,45,TURF,0.0,0.0,0.0,0.0,UNATNDD
AIT,AIRPORT,15/33,1300,150,TURF,0.0,0.0,0.0,0.0,ALL/ALL/0900-1900
ANE,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,UNATNDD
AUM,AIRPORT,H1,49,49,ROOF-TOP,0.0,0.0,0.0,0.0,ALL/ALL/ALL
BJI,AIRPORT,09W/27W,6000,1000,WATER,0.0,0.0,0.0,0.0,UNATNDD
BRD,AIRPORT,H1,30,90,CONC,0.0,0.0,0.0,0.0,UNATNDD
COQ,AIRPORT,H1,90,90,CONC,0.0,0.0,0.0,0.0,UNATNDD
DLH,AIRPORT,H1,50,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
ELO,AIRPORT,H1,30,30,ASPH,0.0,0.0,0.0,0.0,UNATNDD
INL,AIRPORT,06/24,3900,100,ASPH-E,12.0,0.0,0.0,0.0,UNATNDD
FCM,AIRPORT,H1,100,100,TURF,0.0,0.0,0.0,0.0,UNATNDD
GPZ,AIRPORT,15/33,4500,100,ASPH-G,60.0,85.0,155.0,0.0,UNATNDD
MKT,AIRPORT,02/20,1800,60,TURF,0.0,0.0,0.0,0.0,IREG
MSP,AIRPORT,05/23,5001,100,ASPH-F,20.0,0.0,0.0,0.0,UNATNDD
HIB,AIRPORT,H1,60,60,CONC,0.0,0.0,0.0,0.0,ALL/ALL/ALL
TWM,AIRPORT,H1,20,20,CONC-E,0.0,0.0,0.0,0.0,ALL/ALL/0600-1900
RST,AIRPORT,14/32,2000,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
SGS,AIRPORT,H1,30,30,TURF,0.0,0.0,0.0,0.0,UNATNDD
STP,AIRPORT,H1,20,20,ROOF-TOP,0.0,0.0,0.0,0.0,ALL/MON-FRI/0800-1700
RRT,AIRPORT,01/19,2500,150,ASPH-TURF-F,0.0,0.0,0.0,0.0,UNATNDD
M17,AIRPORT,05/23,5000,150,CONC-F,0.0,0.0,0.0,0.0,UNATNDD
BBG,AIRPORT,14R/32L,6700,300,WATER,0.0,0.0,0.0,0.0,UNATNDD
CGI,AIRPORT,12/30,5003,75,ASPH-G,20.0,0.0,0.0,0.0,ALL/ALL/ALL
MKC,AIRPORT,10/28,5000,100,ASPH-G,36.0,75.0,0.0,0.0,UNATNDD
TKX,AIRPORT,01/19,9000,150,PEM,0.0,0.0,0.0,0.0,UNATNDD
IRK,AIRPORT,09/27,5000,100,ASPH-F,50.0,65.0,118.0,0.0,UNATNDD
AIZ,AIRPORT,04/22,2856,150,TURF-G,0.0,0.0,0.0,0.0,UNATTND
MBY,AIRPORT,10/28,5002,100,ASPH-E,60.0,72.0,101.0,0.0,IREG
VIH,AIRPORT,09/27,2314,100,TURF-G,0.0,0.0,0.0,0.0,UNATNDD
SIK,AIRPORT,08/26,1400,50,TURF,0.0,0.0,0.0,0.0,UNATNDD
SGF,AIRPORT,18/36,1520,80,TURF-G,0.0,0.0,0.0,0.0,ALL/MON-SAT/0700-1700
GTR,AIRPORT,W/E,4600,200,WATER,0.0,0.0,0.0,0.0,UNATNDD
HEZ,AIRPORT,17/35,3301,75,ASPH-F,16.0,22.0,0.0,0.0,ALL/ALL/ALL
JAN,AIRPORT,05/23,2778,196,TURF-G,0.0,0.0,0.0,0.0,UNATNDD
MEI,AIRPORT,16W/34W,12000,500,WATER,0.0,0.0,0.0,0.0,UNATNDD
HSA,AIRPORT,H1,80,80,ASPH-CONC,0.0,0.0,0.0,0.0,UNATNDD
UOX,AIRPORT,12/30,7221,100,ASPH-F,72.0,105.0,0.0,0.0,ALL/SAT-SUN/DAWN-DUSK
VKS,AIRPORT,05W/23W,10000,500,WATER,0.0,0.0,0.0,0.0,ALL/ALL/ALL
BHK,AIRPORT,18/36,4855,100,ASPH-G,23.0,60.0,0.0,0.0,ALL/ALL/0600-1900
BTM,AIRPORT,18/36,2200,66,TURF,0.0,0.0,0.0,0.0,UNATNDD
6S0,AIRPORT,H1,45,45,CONC,0.0,0.0,0.0,0.0,UNATNDD
BIL,AIRPORT,17/35,4794,75,ASPH-G,0.0,0.0,0.0,0.0,UNATNDD
BZN,AIRPORT,17W/35W,3500,200,WATER,0.0,0.0,0.0,0.0,ALL/ALL/DALGT
CTB,AIRPORT,16W/34W,5300,500,WATER,0.0,0.0,0.0,0.0,UNATNDD
38S,AIRPORT,11/29,3302,75,ASPH-F,0.0,0.0,0.0,0.0,UNATNDD
DLN,AIRPORT,E/W,3000,150,TURF,0.0,0.0,0.0,0.0,UNATNDD
