flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8
N475NA,NEPTUNE AVIATION SERVICES INC,BAE 146,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2029,Turbo-jet,None,Corporation,No,A5D4DA,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,LYCOMING,ALF-502 SER.,01/13/2016,None,Standard,Transport,No,Valid,E 2192,None,12/12/2016,1991,51352332
N474NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2029,Turbo-fan,None,Corporation,No,A5D123,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,LYCOMING,ALF-502 SER.,02/05/1988,None,Standard,Normal,No,Valid,E2084,None,12/12/2016,None,51350443
N473NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2029,Turbo-fan,None,Corporation,No,A5CD6C,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,LYCOMING,ALF502R-5,04/16/2014,None,Standard,Transport,No,Valid,E2045,None,12/14/2016,1985,51346554
N1386C,NEPTUNE AVIATION SERVICES INC,P2V-5,Fixed Wing Multi-Engine,LOCKHEED,04/30/2028,Reciprocating,None,Corporation,No,A09C16,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808-8675,None,WRIGHT,R3350 SERIES,06/30/2004,None,Restricted,Forest,No,Valid,128422,None,09/13/1993,1954,50116026
N2218E,NEPTUNE AVIATION SERVICES INC,P2V-7,null,LOCKHEED,null,null,None,Corporation,null,A1E82D,null,None,None,,,,None,null,None,None,None,null,Unknown,None,No,null,148356,None,01/11/2007,null,50364055
N301TS,NEPTUNE AVIATION SERVICES INC,B100,Fixed Wing Multi-Engine,BEECH,06/30/2028,Turbo-prop,None,Corporation,No,A324C3,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808-8675,None,AIRESEARCH,TPE331-5&6SER,11/15/1979,None,Standard,Normal,No,Valid,BE-76,None,08/24/2009,1979,50622303
N410NA,NEPTUNE AVIATION SERVICES INC,P2V-5F,Fixed Wing Multi-Engine,LOCKHEED,02/28/2027,Reciprocating,None,Corporation,No,A4D54D,NO,2 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808-8675,None,WRIGHT,R3350 SERIES,03/13/2012,None,Restricted,Forest,No,Valid,131482,None,02/15/2011,1954,51152515
N480NA,NEPTUNE AVIATION SERVICES INC,BAE 146 SERIES 200A,Fixed Wing Multi-Engine,BRITISH AEROSPACE,12/31/2027,Turbo-fan,None,Corporation,No,A5E9C6,NO,4301 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,E2055,None,12/18/2020,None,51364706
N485AS,NEPTUNE AVIATION SERVICES INC,FALCON 10,Fixed Wing Multi-Engine,DASSAULT-BREGUET,09/30/2027,Turbo-fan,None,Corporation,No,A5FB3D,NO,4301 CORPORATE WAY,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59808,None,GARRETT,TFE731 SERIES,05/14/1999,None,Standard,Transport,No,Valid,219,None,09/04/2014,1988,51375475
N110NW,OLYMPIC JET INC,UH-1H,Rotorcraft,BELL,12/31/2028,Turbo-shaft,None,Corporation,No,A02D74,NO,1000 85TH AVE SE,OLYMPIA,THURSTON,UNITED STATES,WASHINGTON,98501-5707,None,HONEYWELL,T53-L-703,08/08/2018,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,66-16198,None,12/07/2018,1966,50026564
N141FA,ORANGE COUNTY FIRE AUTHORITY,412EP,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,09/30/2027,Turbo-shaft,None,Government,No,A0A6E5,NO,1 FIRE AUTHORITY RD,IRVINE,ORANGE,UNITED STATES,CALIFORNIA,92602-0125,H4SW,P&W CANADA,PT6T-3DF,07/08/2008,BELL TEXTRON INC,Standard,Transport,No,Valid,36484,None,05/04/2009,2008,50123345
N805PJ,PJ HELICOPTERS INC,UH-60A,Rotorcraft,SIKORSKY,09/30/2027,Turbo-shaft,None,Corporation,No,AAF5BE,NO,903 LANGLEY WAY,RED BLUFF,TEHAMA,UNITED STATES,CALIFORNIA,96080-4559,None,GE,T700-GE-700,10/16/2018,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,82-23704,None,09/13/2017,1978,52572676
N301HP,POPE JIM D,UH-1H,Rotorcraft,BELL,08/31/2028,Turbo-shaft,None,Individual,No,A323C6,NO,1838 WILMA DR,CLARKSTON,ASOTIN,UNITED STATES,WASHINGTON,99403-9717,None,LYCOMING,T53-L-13,08/16/2006,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,65-10017,None,08/28/2012,1965,50621706
N170CB,PRECISION LIFT LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,04/30/2028,Turbo-shaft,None,LLC,No,A11961,NO,60035 BLUE SKY,LA GRANDE,UNION,UNITED STATES,OREGON,97850-5406,TR7BO,HONEYWELL,T5317A-1,03/29/2018,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0044,None,04/25/2018,2018,50214541
N838PA,RAINIER HELI INTERNATIONAL INC,AS350B3,Rotorcraft,AMERICAN EUROCOPTER CORP,06/30/2029,Turbo-shaft,None,Corporation,No,AB7758,NO,12515 WILLOWS RD NE STE 200,KIRKLAND,KING,UNITED STATES,WASHINGTON,98034-8795,H9EU,TURBOMECA,ARRIEL 2D,03/11/2013,AIRBUS HELICOPTERS,Standard,Normal,No,Valid,7517,None,06/19/2013,2013,52673530
N699RH,RANIER HELI INTERNATIONAL INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,10/31/2027,Turbo-shaft,None,Corporation,No,A94DA4,NO,12515 WILLOWS RD NE STE 125,KIRKLAND,KING,UNITED STATES,WASHINGTON,98034-8761,TR7BO,LYCOMING,T5317A-1,05/11/2007,KAMAN AEROSPACE CORP,Standard,Normal,Yes,Valid,A94-0019,None,07/11/2002,1994,52246644
N487DF,REGISTRATION PENDING,S-70I,Rotorcraft,SIKORSKY,None,Turbo-shaft,None,Individual,No,A602EB,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,Unknown,Unknown,None,None,Unknown,None,No,Pending Cancel,704051,None,None,None,51401353
N486DF,REGISTRATION PENDING,S-70I,Rotorcraft,SIKORSKY,None,Turbo-shaft,None,Individual,No,A5FF34,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,Unknown,Unknown,None,None,Unknown,None,No,Pending Cancel,704048,None,None,None,51377464
N914RA,RIO GRANDE AEROSPACE LLC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,08/31/2028,Turbo-prop,None,Corporation,No,ACA6FF,NO,14501 ALAMEDA AVE,CLINT,EL PASO,UNITED STATES,TEXAS,79836-6112,None,P&W CANADA,PT6A-67F,02/24/2021,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0879,None,08/13/2021,2021,53123377
N421DE,RS AVIATION LLC,421C,Fixed Wing Multi-Engine,CESSNA,07/31/2028,Reciprocating,None,LLC,No,A4FFA6,NO,3511 SILVERSIDE RD STE 105,WILMINGTON,NEW CASTLE,UNITED STATES,DELAWARE,19810-4902,None,CONT MOTOR,GTSIO-520-C,02/26/1976,None,Standard,Normal,No,Valid,421C0016,None,07/21/2021,1976,51177646
N3181F,SALMON RIVER HELICOPTERS INC,UH-1F,Rotorcraft,BELL,08/31/2028,Turbo-shaft,None,Corporation,No,A3670A,NO,1526 BIG SALMON RD,RIGGINS,IDAHO,UNITED STATES,IDAHO,83549-7002,None,LYCOMING,T53-L-13,02/16/2012,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,64-15486,None,08/01/2012,1964,50663412
N306SB,SAN BERNARDINO COUNTY SHERIFFS AVIATION DIVISION,UH-1H,Rotorcraft,BELL,07/31/2029,Turbo-shaft,None,Government,No,A3372E,NO,199 N HANGAR WAY,SAN BERNARDINO,SAN BERNARDINO,UNITED STATES,CALIFORNIA,92415-0855,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,71-20217,None,02/09/1995,None,50633456
N9125M,SILLER HELICOPTERS INC,CH-54A,Rotorcraft,SILLER HELICOPTERS,10/31/2027,Turbo-shaft,None,Corporation,No,ACA12C,NO,1250 SMITH RD,YUBA CITY,SUTTER,UNITED STATES,CALIFORNIA,95991-6948,None,P & W,JFTD12A-4A,06/29/2012,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,68-18455,None,07/08/2009,1968,53120454
N7095B,SILLER HELICOPTERS INC,CH-54A,Rotorcraft,SILLER HELICOPTERS,07/31/2027,Turbo-shaft,None,Corporation,No,A97906,NO,1250 SMITH RD,YUBA CITY,SUTTER,UNITED STATES,CALIFORNIA,95991-6948,None,P & W,JFTD12A SER,03/27/2001,None,Experimental,"To show compliance with FAR, Racing, Research and Development",Yes,Valid,67-18430,None,06/22/2009,1994,52274406
N45917,SILLER HELICOPTERS INC,S61V-1,Rotorcraft,SIKORSKY,01/31/2030,Turbo-shaft,None,Corporation,No,A59626,NO,1250 SMITH RD,YUBA CITY,SUTTER,UNITED STATES,CALIFORNIA,95991-6948,None,GE,CT58-140-1,03/03/2014,None,Restricted,"Other, Forest",Yes,Valid,61271,None,01/26/2011,1965,51313046
N3173U,SILLER HELICOPTERS INC,S61A,Rotorcraft,CARSON HELICOPTERS / SIKORSKY,05/31/2027,Turbo-shaft,None,Corporation,No,A363A6,NO,1250 SMITH RD,YUBA CITY,SUTTER,UNITED STATES,CALIFORNIA,95991-6948,None,GE,CT58-140-1,03/03/2014,None,Restricted,"Other, Forest",Yes,Valid,61186,None,05/24/2011,1963,50661646
N4037S,SILLER HELICOPTERS INC,S-64E,Rotorcraft,SIKORSKY,01/31/2030,Turbo-shaft,None,Corporation,No,A4BB24,NO,1250 SMITH RD,YUBA CITY,SUTTER,UNITED STATES,CALIFORNIA,95991-6948,None,P & W,JFTD12A SER,06/25/1990,None,Standard,Transport,No,Valid,64101,None,01/26/2011,1975,51135444
N461WY,SKY AVIATION CORP,CH-46E,Rotorcraft,BOEING,05/31/2027,Turbo-shaft,None,Corporation,No,A59F5D,NO,1444 AIRPORT RD,WORLAND,WASHAKIE,UNITED STATES,WYOMING,82401-9568,None,GE,T58 SERIES,07/10/2015,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,154831,None,05/16/2014,1968,51317535
N462WY,SKY AVIATION CORP,CH-46E,Rotorcraft,BOEING,05/31/2027,Turbo-shaft,None,Corporation,No,A5A314,NO,1444 AIRPORT RD,WORLAND,WASHAKIE,UNITED STATES,WYOMING,82401-9568,None,GE,T58 SERIES,11/14/2015,None,Restricted,"Aerial Surveying, Other, Forest, Agriculture and Pest Control",Yes,Valid,157715,None,05/16/2014,1970,51321424
N63HB,SKY AVIATION CORP,UH-1H,Rotorcraft,BELL,02/28/2030,Turbo-shaft,None,Corporation,No,A83C14,NO,PO BOX 51,WORLAND,WASHAKIE,UNITED STATES,WYOMING,82401-0051,None,LYCOMING,T-53,07/03/2001,None,Restricted,"Other, Forest, Aerial Surveying, Agriculture and Pest Control",No,Valid,69-15855,None,02/28/2011,1969,52036024
N461DF,STATE OF CALIFORNIA,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,07/31/2028,Turbo-prop,None,Government,No,A59DA3,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,P&W CANADA,PT6A-41,05/04/2010,None,Standard,Normal,No,Valid,BP-029,None,10/27/2008,1981,51316643
N25FG,STATE OF CALIFORNIA,A185F,Fixed Wing Single-Engine,CESSNA,06/30/2029,Reciprocating,None,Government,No,A255A9,NO,5953 FREEPORT BLVD,SACRAMENTO,SACRAMENTO,UNITED STATES,CALIFORNIA,95822-3506,None,CONT MOTOR,IO 520 SERIES,08/08/1980,None,Standard,Normal,No,Valid,18504113,None,06/25/2013,None,50452651
N37FG,STATE OF CALIFORNIA,P68OB2,Fixed Wing Multi-Engine,VULCANAIR SPA,03/31/2029,Reciprocating,None,Government,No,A431F6,NO,5953 FREEPORT BLVD,SACRAMENTO,SACRAMENTO,UNITED STATES,CALIFORNIA,95822-3506,None,CONT MOTOR,IO-360-A,02/15/2011,None,Standard-Restricted,"Forest, Aerial Advertising, Agriculture and Pest Control",No,Valid,446-33/OB2,None,03/04/2019,2008,51030766
N459DF,STATE OF CALIFORNIA,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,07/31/2028,Turbo-prop,None,Government,No,A593DC,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,BP-027,None,10/27/2008,None,51311734
N461DF,STATE OF CALIFORNIA,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,07/31/2028,Turbo-prop,None,Government,No,A59DA3,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,P&W CANADA,PT6A-41,05/04/2010,None,Standard,Normal,No,Valid,BP-029,None,10/27/2008,1981,51316643
N463DF,STATE OF CALIFORNIA - CAL FIRE,A200CT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,01/31/2030,Turbo-prop,None,Government,No,A5A511,NO,5500 PRICE AVE,MCCLELLAN,YOLO,UNITED STATES,CALIFORNIA,95652-2438,None,P&W CANADA,PT6A-41,05/05/2010,None,Standard,Normal,No,Valid,BP-024,None,04/29/2009,1981,51322421
N327SF,STATE OF COLORADO,PC-12/45,Fixed Wing Single-Engine,PILATUS,03/31/2028,Turbo-prop,None,Government,No,A389E7,NO,690 KIPLING ST STE 2000,LAKEWOOD,DENVER,UNITED STATES,COLORADO,80215-5901,None,P&W,PT6A SER,09/03/2003,None,Standard,Normal,No,Valid,511,None,03/19/2015,2003,50704747
N328SF,STATE OF COLORADO,PC-12/45,Fixed Wing Single-Engine,PILATUS,01/31/2028,Turbo-prop,None,Government,No,A38D9E,NO,690 KIPLING ST STE 2000,LAKEWOOD,DENVER,UNITED STATES,COLORADO,80215-5901,None,P&W CANADA,PT6A-66 SER,07/21/1999,None,Standard,Normal,No,Valid,269,None,01/02/2015,1999,50706636
N155FC,STATE OF FLORIDA,182T,Fixed Wing Single-Engine,CESSNA,02/29/2028,Reciprocating,None,Government,No,A0DD42,NO,3266 CAPITAL CIR SW,TALLAHASSEE,LEON,UNITED STATES,FLORIDA,32310-8723,None,LYCOMING,IO-540-AB1A5,04/04/2006,None,Standard,Normal,No,Valid,18281789,None,08/02/2006,2006,50156502
N735EK,STATE OF NORTH CAROLINA,A185F,Fixed Wing Single-Engine,CESSNA,03/31/2028,Reciprocating,None,Government,No,A9DE0C,NO,1616 MAIL SERVICE CTR,RALEIGH,WAKE,UNITED STATES,NORTH CAROLINA,27699-1616,None,CONT MOTOR,IO 520 SERIES,07/19/1995,None,Standard,Normal,No,Valid,185-04444,None,08/19/1985,1985,52357014
N800NC,STATE OF NORTH CAROLINA,AT-802,Fixed Wing Single-Engine,AIR TRACTOR INC,01/31/2030,Turbo-prop,None,Government,No,AAE30C,NO,1616 MSC,RALEIGH,WAKE,UNITED STATES,NORTH CAROLINA,27699-1616,None,P&W CANADA,PT6A-67F,10/28/2016,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802-0671,None,01/12/2017,2016,52561414
N801NC,STATE OF NORTH CAROLINA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,12/31/2027,Turbo-prop,None,Government,No,AAE6C3,NO,1616 MSC,RALEIGH,WAKE,UNITED STATES,NORTH CAROLINA,27699-0001,None,P&W CANADA,PT6A-67F,10/25/2017,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0724,None,12/06/2017,2017,52563303
N605CK,STRAIGHT UP LEASING INC,HH-60L,Rotorcraft,SIKORSKY,07/31/2027,Turbo-shaft,None,Corporation,No,A7DA0E,NO,2040 MILLIGAN WAY #200,MEDFORD,JACKSON,UNITED STATES,OREGON,97504,None,GE,T700-GE-701D,05/21/2020,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,01-26894,None,07/17/2020,2001,51755016
N2773H,SUMMIT HELICOPTERS INC,205A-1,Rotorcraft,BELL,07/31/2029,Turbo-shaft,None,Corporation,No,A2C346,NO,PO BOX 909,SALEM,SALEM,UNITED STATES,VIRGINIA,24153-0909,H1SW,LYCOMING,T-53,01/04/2006,BELL TEXTRON INC,Standard-Restricted,"Agriculture and Pest Control, Aerial Advertising, Agriculture and Pest Control",No,Valid,30296,None,01/30/2003,1979,50541506
N161KA,SUPERIOR LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,06/30/2028,Turbo-shaft,None,LLC,No,A0F647,NO,2635 OLD HIGHWAY 99 S,ROSEBURG,DOUGLAS,UNITED STATES,OREGON,97471-7008,TR7BO,ALLIEDSIGN,T5317A-1,02/19/1998,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0016,None,09/01/2000,1996,50173107
N312KA,SUPERIOR LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,10/31/2027,Turbo-shaft,None,LLC,No,A34F21,NO,2635 OLD HIGHWAY 99 S,ROSEBURG,DOUGLAS,UNITED STATES,OREGON,97471-7008,TR7BO,ALLIEDSIGN,T5317A-1,03/28/1998,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0024,None,06/13/2001,1997,50647441
N513BT,TAS LJ1798 LLC,C90GT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,04/30/2030,Turbo-prop,None,LLC,No,A66CBF,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,LJ-1798,None,04/22/2009,None,51466277
N174ML,TAYLOR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,10/31/2027,Turbo-prop,None,Corporation,No,A12927,NO,PO BOX 159,FORT BENTON,CHOUTEAU,UNITED STATES,MONTANA,59442-0159,None,P&W CANADA,PT6A-67AG,03/14/2013,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0168,None,07/23/2008,2003,50224447
N24HD,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,08/31/2027,Turbo-prop,None,LLC,No,A22E59,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,12/19/2007,None,Standard,Normal,No,Valid,BY-18,None,08/30/2017,2007,50427131
N32EA,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,03/31/2029,Turbo-prop,None,LLC,No,A36C5C,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,06/21/2018,None,Standard,Normal,No,Valid,BY-32,None,03/27/2019,2008,50666134
N50HV,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,02/28/2030,Turbo-prop,None,LLC,No,A6385A,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-42,10/06/2011,None,Standard,Normal,No,Valid,BB-1879,None,02/02/2017,2004,51434132
N556MC,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,02/28/2030,Turbo-prop,None,LLC,No,A716CB,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,12/11/2007,None,Standard,Normal,No,Valid,BY-17,None,02/22/2017,2007,51613313
N600ML,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,07/31/2027,Turbo-prop,None,LLC,No,A7C85D,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,09/23/2009,None,Standard,Normal,No,Valid,BY-87,None,07/26/2017,2009,51744135
N6300F,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,12/31/2029,Turbo-prop,None,LLC,No,A8401A,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,BB-1865,None,12/08/2016,None,52040032
N741JR,TENAX AEROSPACE LLC,B200GT,Fixed Wing Multi-Engine,HAWKER BEECHCRAFT CORP,03/31/2030,Turbo-prop,None,LLC,No,A9F719,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,P&W CANADA,PT6A-52,02/15/2010,None,Standard,Normal,No,Valid,BY-103,None,03/28/2017,2010,52373431
N5AE,TENAX AEROSPACE LLC,B200,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,01/31/2030,Turbo-prop,None,LLC,No,A63543,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,BB-1891,None,01/03/2017,None,51432503
N33CT,THREE WING FLIGHT SCHOOL LLC,PA-28-181,Fixed Wing Single-Engine,PIPER,04/30/2028,Reciprocating,None,LLC,No,A393BA,NO,400 GREAT MEADOW RD,STRATFORD,FAIRFIELD,UNITED STATES,CONNECTICUT,06615-7583,None,LYCOMING,O&VO-360 SER,10/06/1977,None,Standard,"Utility, Normal",No,Valid,28-7890136,None,04/12/2021,1977,50711672
N33CT,THREE WING FLIGHT SCHOOL LLC,PA-28-181,Fixed Wing Single-Engine,PIPER,04/30/2028,Reciprocating,None,LLC,No,A393BA,NO,400 GREAT MEADOW RD,STRATFORD,FAIRFIELD,UNITED STATES,CONNECTICUT,06615-7583,None,LYCOMING,O&VO-360 SER,10/06/1977,None,Standard,"Utility, Normal",No,Valid,28-7890136,None,04/12/2021,1977,50711672
N674TH,TIMBERLINE HELICOPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,01/31/2028,Turbo-shaft,None,Corporation,No,A8EC45,NO,1926 INDUSTRIAL DR,SANDPOINT,BONNER,UNITED STATES,IDAHO,83864-8244,TR7BO,HONEYWELL,T5317 SER,05/21/2004,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0035,None,08/20/2008,2004,52166105
N675TH,TIMBERLINE HELICOPTERS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,12/31/2028,Turbo-shaft,None,Corporation,No,A8EFFC,NO,1926 INDUSTRIAL DR,SANDPOINT,BONNER,UNITED STATES,IDAHO,83864-8244,TR7BO,ALLIEDSIGN,T5317A-1,08/27/1998,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0025,None,10/22/2008,1998,52167774
N620TJ,TIMBERLINE HELICOPTERS INC,UH-60A,Rotorcraft,TIMBERLINE HELICOPTERS INC,11/30/2029,Turbo-shaft,None,Corporation,No,A817EF,NO,1926 INDUSTRIAL DR,SANDPOINT,BONNER,UNITED STATES,IDAHO,83864-8244,R00052SE,GE,T700-GE-700,11/19/2016,TIMBERLINE HELICOPTERS INC,Restricted,"Other, Forest, Agriculture and Pest Control",Yes,Valid,81-23620,None,11/08/2016,1982,52013757
N911FS,TUMBLEWEED LEASING COMPANY INC,407,Rotorcraft,BELL,05/31/2030,Turbo-shaft,None,Corporation,No,AC9AF0,NO,619 N 2360 W,SALT LAKE CITY,SALT LAKE,UNITED STATES,UTAH,84116-2957,H2SW,ALLISON,250-C47,06/04/2000,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,53424,None,05/16/2014,2000,53115360
N690RA,TURBO JOE LEASING LLC,690,Fixed Wing Multi-Engine,AERO COMMANDER,10/31/2028,Turbo-prop,None,LLC,No,A92C2E,NO,13412 N BLUE COYOTE TRL,FORT MCDOWELL,MARICOPA,UNITED STATES,ARIZONA,85264-4320,None,AIRESEARCH,TPE331-5&6SER,07/18/1997,None,Standard,Normal,No,Valid,11010,None,11/08/2005,1972,52226056
N202WM,TVPX AIRCRAFT SOLUTIONS INC TRUSTEE,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,02/29/2028,Turbo-shaft,None,Corporation,No,A19B71,NO,39 E EAGLE RIDGE DR STE 201,NORTH SALT LAKE,DUCHESNE,UNITED STATES,UTAH,84054-2533,TR7BO,LYCOMING,T-53,08/19/2003,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0011,None,02/26/2018,1995,50315561
N753,U S DEPARTMENT OF THE INTERIOR,FBA-2C1,Fixed Wing Single-Engine,FOUND ACFT CANADA INC,02/28/2029,Reciprocating,None,Government,No,AA252D,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,IO-540 SER,08/02/2004,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,44,None,12/12/2003,2003,52422455
N792HT,U S LEASCO INC,CH-54A,Rotorcraft,AVIATION INTERNATIONAL ROTORS,02/28/2030,Turbo-shaft,None,Non Citizen Corporation,No,AAC034,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-4A,07/16/2009,None,Restricted,Agriculture and Pest Control,No,Valid,68-18447,None,04/24/2008,1968,52540064
N715HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,02/28/2030,Turbo-shaft,None,Non Citizen Corporation,No,A98F61,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-5A,11/05/2020,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18470,None,04/19/2001,1969,52307541
N716HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,05/31/2027,Turbo-shaft,None,Non Citizen Corporation,No,A99318,NO,14497 KEIL RD NE,AURORA,MARION,UNITED STATES,OREGON,97002-9467,None,P & W,JFTD12A-5A,10/16/2020,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18484,None,05/07/2001,1969,52311430
N718HT,U S LEASECO INC,CH-54B,Rotorcraft,HELICOPTER TRANSPORT SERVICES,05/31/2027,Turbo-shaft,None,Non Citizen Corporation,No,A99A86,NO,14497 KEIL ROAD NE,AURORA,MARION,UNITED STATES,OREGON,97002,None,P & W,JFTD12A-5A,11/17/2006,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,69-18467,None,05/07/2001,1969,52315206
