flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8
N213KA,DELAWARE TRUST CO TRUSTEE,212,Rotorcraft,BELL,09/30/2027,Turbo-shaft,None,Corporation,No,A1C589,NO,251 LITTLE FALLS DR,WILMINGTON,NEW CASTLE,UNITED STATES,DELAWARE,19808-1674,H4SW,P&W,PT6 SERIES,05/17/2000,BELL TEXTRON INC,Standard,Transport,No,Valid,31172,None,09/05/2017,1981,50342611
N131CG,DELAWARE TRUST CO TRUSTEE,EC130Q,Fixed Wing Multi-Engine,LOCKHEED,01/31/2028,Turbo-prop,None,Corporation,No,A07F21,NO,251 LITTLE FALLS DR,WILMINGTON,NEW CASTLE,UNITED STATES,DELAWARE,19808-1674,None,ALLISON,T56-A-16,08/24/2013,None,Restricted,"Other, Forest",Yes,Valid,161495,None,01/18/2018,1980,50077441
N619SW,DELAWARE TRUST COMPANY TRUSTEE,737-3H4,Fixed Wing Multi-Engine,BOEING,11/30/2027,Turbo-fan,None,Corporation,No,A811D2,NO,251 LITTLE FALLS DR,WILMINGTON,NEW CASTLE,UNITED STATES,DELAWARE,19808-1674,None,CFM INTL.,CFM56 SERIES,11/09/1995,None,Standard,Transport,No,Valid,28035,None,11/14/2017,1995,52010722
N149FC,DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,182T,Fixed Wing Single-Engine,TEXTRON AVIATION INC,07/31/2027,Reciprocating,None,Government,No,A0C49F,NO,3266 CAPITAL CIR SW,TALLAHASSEE,LEON,UNITED STATES,FLORIDA,32310-8723,None,LYCOMING,IO-540-AB1A5,03/14/2017,None,Standard,Normal,No,Valid,18283002,None,07/06/2017,2017,50142237
N153FC,DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES,182T,Fixed Wing Single-Engine,CESSNA,02/29/2028,Reciprocating,None,Government,No,A0D5D4,NO,3266 CAPITAL CIR SW,TALLAHASSEE,LEON,UNITED STATES,FLORIDA,32310-8723,None,LYCOMING,IO-540-AB1A5,03/13/2006,None,Standard,Normal,No,Valid,18281774,None,08/07/2006,2006,50152724
N158FC,DEPT OF AGRICULTURE & CONSUMER SERVICES,182T,Fixed Wing Single-Engine,CESSNA,07/31/2027,Reciprocating,None,Government,No,A0E867,NO,3266 CAPITAL CIR SW,TALLAHASSEE,LEON,UNITED STATES,FLORIDA,32310-8723,None,LYCOMING,IO-540-AB1A5,02/20/2008,None,Standard,Normal,No,Valid,18282062,None,06/25/2008,2008,50164147
N178AC,ERICKSON INC,S-64F,Rotorcraft,SIKORSKY,10/31/2029,Turbo-shaft,None,Corporation,No,A136E8,NO,4002 CIRRUS DR,MEDFORD,JACKSON,UNITED STATES,OREGON,97504-4187,None,P & W,JFTD12A-5A,05/12/2022,None,Standard,Transport,No,Valid,64097,None,10/25/2019,1971,50233350
N217AC,ERICKSON INC,S64E,Rotorcraft,ERICKSON,08/31/2029,Turbo-shaft,None,Corporation,No,A1D386,NO,4002 CIRRUS DR,MEDFORD,JACKSON,UNITED STATES,OREGON,97504-4187,None,P & W,JFTD12A-4A,11/28/2011,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,64064,None,02/13/2001,1968,50351606
N400DS,FLYING H ENTERPRISES LLC,690B,Fixed Wing Multi-Engine,ROCKWELL INTERNATIONAL,11/30/2028,Turbo-prop,None,LLC,No,A4ACFD,NO,34522 N SCOTTSDALE RD,SCOTTSDALE,MARICOPA,UNITED STATES,ARIZONA,85266-1258,None,AIRESEARCH,TPE331 SERIES,02/22/1990,None,Standard,None,No,Valid,11512,None,11/14/2018,1978,51126375
N83FJ,FX SOLUTIONS INC,FALCON 50,Fixed Wing Multi-Engine,DASSAULT-BREGUET,10/31/2029,Turbo-fan,None,Corporation,No,AB5687,NO,955 BEECH ST,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59802-4916,None,GARRETT,TFE731 SERIES,11/04/1981,None,Standard,Transport,No,Valid,74,None,10/27/2022,1981,52653207
N508JR,GARRISON WILLIAM E JR,S2F-1 (TS-2A),Fixed Wing Multi-Engine,GRUMMAN,02/28/2029,Reciprocating,None,Individual,No,A65880,NO,PO BOX 27,NICKERSON,RENO,UNITED STATES,KANSAS,67561-0027,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,417,None,02/14/2019,None,51454200
N803RA,ARSIERO AIR LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,11/30/2029,Turbo-shaft,None,LLC,No,AAEE7A,NO,3510 DELAWARE AVE,IDAHO FALLS,BONNEVILLE,UNITED STATES,IDAHO,83404-4804,TR7BO,Unknown,Unknown,None,KAMAN AEROSPACE CORP,Unknown,None,No,Valid,A94-0045,None,11/04/2022,None,52567172
N357KA,HELI 807 LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,02/29/2028,Turbo-shaft,None,LLC,No,A3FFB0,NO,5014 CAPTAIN HILL CT,ANCHORAGE,ANCHORAGE DIV,UNITED STATES,ALASKA,99502-1817,TR7BO,HONEYWELL,T5317A-1,10/26/2016,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0028,None,02/14/2018,2001,50777660
N402PJ,HELIBRO LLC,407,Rotorcraft,BELL,05/31/2027,Turbo-shaft,None,LLC,No,A4B55D,NO,903 LANGLEY WAY,RED BLUFF,TEHAMA,UNITED STATES,CALIFORNIA,96080-4559,H2SW,ALLISON,250-C47,09/19/1997,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,Yes,Valid,53195,None,05/09/2017,1997,51132535
N32AT,HELIBRO LLC,407,Rotorcraft,BELL HELICOPTER TEXTRON CANADA,10/31/2029,Turbo-shaft,10/13/2022,LLC,No,A36C09,NO,903 LANGLEY WAY,RED BLUFF,TEHAMA,UNITED STATES,CALIFORNIA,96080-4559,H2SW,ROLLS-ROYC,250-C47B,09/07/2012,BELL HELICOPTER TEXTRON CANADA LTD,Standard-Restricted,"Agriculture and Pest Control, Aerial Advertising, Agriculture and Pest Control",No,Valid,54025,418PJ,10/13/2022,2010,50666011
N448JS,HELICARRIER USA INC,S-61N,Rotorcraft,SIKORSKY,09/30/2029,Turbo-shaft,None,Non Citizen Corporation,No,A5692E,NO,108 W 13TH ST,WILMINGTON,NEW CASTLE,UNITED STATES,DELAWARE,19801,1H15,GE,CT58-140-2,09/19/2013,SIKORSKY AIRCRAFT,Standard,Transport,No,Valid,61428,None,09/11/2019,1968,51264456
N40HX,HELICOPTER EXPRESS INC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,01/31/2030,Turbo-shaft,None,Corporation,No,A4AB0D,NO,2025 FLIGHTWAY DR,CHAMBLEE,DE KALB,UNITED STATES,GEORGIA,30341-3349,TR7BO,HONEYWELL,T5317A-1,12/19/2019,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0051,None,01/15/2020,2019,51125415
N16HX,HELICOPTER EXPRESS INC,205A-1,Rotorcraft,BELL,08/31/2027,Turbo-shaft,None,Corporation,No,A0F01A,NO,2025 FLIGHTWAY DR,CHAMBLEE,DE KALB,UNITED STATES,GEORGIA,30341-3349,H1SW,LYCOMING,T53-L-13,04/03/2002,BELL TEXTRON INC,Standard,Transport,No,Valid,30293,None,06/15/2009,1979,50170032
N1168U,HELI-FLITE INC,S-58ET,Rotorcraft,SIKORSKY,05/31/2028,Turbo-shaft,None,Corporation,No,A04600,NO,1965 AVIATION DR # F,CORONA,RIVERSIDE,UNITED STATES,CALIFORNIA,92878-8709,1H11,P&W CANADA,PT6T-6,05/29/2003,CALIFORNIA HELICOPTER AIRWAYS INC,Standard,Normal,No,Valid,58-1070,None,05/20/2021,1958,50043000
N947CH,HELIGROUP FIRE LLC,CH47D,Rotorcraft,TANDEM ROTOR LLC,06/30/2027,Turbo-shaft,None,LLC,No,AD2763,NO,PO BOX 7967,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59802,R0014DE,HONEYWELL,T55-GA-714A,02/17/2017,TANDEM ROTOR LLC,Restricted,"Other, Forest, Agriculture and Pest Control",Yes,Valid,86-1682,None,06/13/2014,1990,53223543
N949CH,HELIGROUP FIRE LLC,CH47D,Rotorcraft,TANDEM ROTOR LLC,06/30/2027,Turbo-shaft,None,LLC,No,AD2ED1,NO,PO BOX 7967,MISSOULA,MISSOULA,UNITED STATES,MONTANA,59807-7967,R0014DE,HONEYWELL,T55-GA-714A,02/17/2017,TANDEM ROTOR LLC,Restricted,"Other, Forest, Agriculture and Pest Control",Yes,Valid,90-0205,None,06/18/2014,1990,53227321
