flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8,Main Gear Config
N155FC,STATE OF FLORIDA,182T,Fixed Wing Single-Engine,CESSNA,2/29/28,Reciprocating,None,Government,No,A0DD42,NO,3266 CAPITAL CIR SW,TALLAHASSEE,LEON,UNITED STATES,FLORIDA,32310-8723,None,LYCOMING,IO-540-AB1A5,4/4/06,None,Standard,Normal,No,Valid,18281789,None,8/2/06,2006,50156502,S
N735EK,STATE OF NORTH CAROLINA,A185F,Fixed Wing Single-Engine,CESSNA,3/31/28,Reciprocating,None,Government,No,A9DE0C,NO,1616 MAIL SERVICE CTR,RALEIGH,WAKE,UNITED STATES,NORTH CAROLINA,27699-1616,None,CONT MOTOR,IO 520 SERIES,7/19/95,None,Standard,Normal,No,Valid,185-04444,None,8/19/85,1985,52357014,
N800NC,STATE OF NORTH CAROLINA,AT-802,Fixed Wing Single-Engine,AIR TRACTOR INC,1/31/30,Turbo-prop,None,Government,No,AAE30C,NO,1616 MSC,RALEIGH,WAKE,UNITED STATES,NORTH CAROLINA,27699-1616,None,P&W CANADA,PT6A-67F,10/28/16,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802-0671,None,1/12/17,2016,52561414,
N801NC,STATE OF NORTH CAROLINA,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,12/31/27,Turbo-prop,None,Government,No,AAE6C3,NO,1616 MSC,RALEIGH,WAKE,UNITED STATES,NORTH CAROLINA,27699-0001,None,P&W CANADA,PT6A-67F,10/25/17,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0724,None,12/6/17,2017,52563303,S
N605CK,STRAIGHT UP LEASING INC,HH-60L,Rotorcraft,SIKORSKY,7/31/27,Turbo-shaft,None,Corporation,No,A7DA0E,NO,2040 MILLIGAN WAY #200,MEDFORD,JACKSON,UNITED STATES,OREGON,97504,None,GE,T700-GE-701D,5/21/20,None,Restricted,"Other, Forest, Agriculture and Pest Control",No,Valid,01-26894,None,7/17/20,2001,51755016,
N2773H,SUMMIT HELICOPTERS INC,205A-1,Rotorcraft,BELL,7/31/29,Turbo-shaft,None,Corporation,No,A2C346,NO,PO BOX 909,SALEM,SALEM,UNITED STATES,VIRGINIA,24153-0909,H1SW,LYCOMING,T-53,1/4/06,BELL TEXTRON INC,Standard-Restricted,"Agriculture and Pest Control, Aerial Advertising, Agriculture and Pest Control",No,Valid,30296,None,1/30/03,1979,50541506,
N161KA,SUPERIOR LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,6/30/28,Turbo-shaft,None,LLC,No,A0F647,NO,2635 OLD HIGHWAY 99 S,ROSEBURG,DOUGLAS,UNITED STATES,OREGON,97471-7008,TR7BO,ALLIEDSIGN,T5317A-1,2/19/98,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0016,None,9/1/00,1996,50173107,
N312KA,SUPERIOR LEASING LLC,K-1200,Rotorcraft,KAMAN AEROSPACE CORP,10/31/27,Turbo-shaft,None,LLC,No,A34F21,NO,2635 OLD HIGHWAY 99 S,ROSEBURG,DOUGLAS,UNITED STATES,OREGON,97471-7008,TR7BO,ALLIEDSIGN,T5317A-1,3/28/98,KAMAN AEROSPACE CORP,Standard,Normal,No,Valid,A94-0024,None,6/13/01,1997,50647441,
N513BT,TAS LJ1798 LLC,C90GT,Fixed Wing Multi-Engine,RAYTHEON AIRCRAFT COMPANY,4/30/30,Turbo-prop,None,LLC,No,A66CBF,NO,400 W PARKWAY PL STE 201,RIDGELAND,MADISON,UNITED STATES,MISSISSIPPI,39157-6000,None,Unknown,Unknown,None,None,Unknown,None,No,Valid,LJ-1798,None,4/22/09,None,51466277,S
N174ML,TAYLOR AVIATION INC,AT-802A,Fixed Wing Single-Engine,AIR TRACTOR INC,10/31/27,Turbo-prop,None,Corporation,No,A12927,NO,PO BOX 159,FORT BENTON,CHOUTEAU,UNITED STATES,MONTANA,59442-0159,None,P&W CANADA,PT6A-67AG,3/14/13,None,Restricted,"Forest, Agriculture and Pest Control",No,Valid,802A-0168,None,7/23/08,2003,50224447,S
