flight_numbers,reg_owner_name,model,type_aircraft,manufacturing_name,exp_date,eng_type,date_change_authorized,type_registration,dealer,mode_S_code_16,fractional_owner,street,city,county,country,state,zip_code,type_certificate_data_sheet,engine_manufacturer,engine_model,awdate,type_certificate_holder,classification,category,exception_code,status,serial_number,pending_number_change,certificate_issue_date,mfr_year,mode_S_code_8,Main Gear Config
N21HY,UNITED STATES DEPARTMENT OF INTERIOR,A-1B,Fixed Wing Single-Engine,AVIAT AIRCRAFT INC,8/31/27,Reciprocating,None,Government,No,A1B7EF,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,O&VO-360 SER,9/3/98,None,Standard,Normal,No,Valid,2002,None,6/9/99,1998,50333757,S
N32PX,UNITED STATES DEPARTMENT OF INTERIOR,U206F,Fixed Wing Single-Engine,CESSNA,1/31/30,Reciprocating,None,Government,No,A36D52,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,5/27/76,None,Standard,Normal,No,Valid,U20603343,None,3/26/85,1976,50666522,
N33PP,UNITED STATES DEPARTMENT OF INTERIOR,206L-3,Rotorcraft,BELL,3/31/29,Turbo-shaft,None,Government,No,A394C9,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,H2SW,ALLISON,250-C30 SER,4/29/83,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,51051,None,12/17/90,1983,50712311,
N3874Z,UNITED STATES DEPARTMENT OF INTERIOR,PA-18A 150,Fixed Wing Single-Engine,PIPER,12/31/28,Reciprocating,None,Government,No,A47847,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,0-320 SERIES,8/2/04,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,18-7734,None,11/17/94,1961,51074107,S
N56581,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,3/31/28,Reciprocating,None,Government,No,A73D07,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,8/3/11,None,Standard-Restricted,"Other, Aerial Advertising, Agriculture and Pest Control",No,Valid,18502907,None,8/3/93,1975,51636407,
N612BR,UNITED STATES DEPARTMENT OF INTERIOR,206B,Rotorcraft,BELL,5/31/27,Turbo-shaft,None,Government,No,A7F655,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,H2SW,ALLISON,250 SER 400HP,5/29/75,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,1725,None,5/3/85,1975,51773125,
N618,UNITED STATES DEPARTMENT OF INTERIOR,B200,Fixed Wing Multi-Engine,BEECH,12/31/28,Turbo-prop,None,Government,No,A80C75,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,P&W CANADA,PT6A-60A,8/2/90,None,Standard,Normal,No,Valid,BB-1378,None,11/6/95,1990,52006165,D
N626,UNITED STATES DEPARTMENT OF INTERIOR,206L-3,Rotorcraft,BELL,12/31/28,Turbo-shaft,None,Government,No,A82C86,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,H2SW,ALLISON,250-C30 SER,5/1/85,BELL HELICOPTER TEXTRON CANADA LTD,Standard,Normal,No,Valid,51139,None,11/12/85,1985,52026206,
N701,UNITED STATES DEPARTMENT OF INTERIOR,P.68 OBSERVER 2,Fixed Wing Multi-Engine,PARTENAVIA SPA,8/31/28,Turbo-prop,None,Government,No,A95844,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,LYCOMING,TSIO-360SER,7/18/97,None,Standard,Normal,No,Valid,390-03-0B2,None,10/19/98,1990,52254104,
N714,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,5/31/28,Reciprocating,None,Government,No,A98AE8,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,4/4/75,None,Standard,Normal,No,Valid,18502711,None,9/26/75,1975,52305350,
N727,UNITED STATES DEPARTMENT OF INTERIOR,A185F,Fixed Wing Single-Engine,CESSNA,10/31/29,Reciprocating,None,Government,No,A9BD8C,NO,OFFICE OF AVIATION SERVICES,BOISE,ADA,UNITED STATES,IDAHO,83706-3991,None,CONT MOTOR,IO 520 SERIES,11/28/90,None,Standard-Restricted,"Forest, Aerial Advertising, Agriculture and Pest Control",No,Valid,18504371,None,3/19/83,1982,52336614,
