tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N548LM,21-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",12:58PM AKDT,,Diverted
N548LM,20-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",06:48PM AKDT,07:10PM AKDT,0:22
N548LM,15-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:20PM AKDT,03:13PM AKDT,0:53
N548LM,15-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kodiak (PADQ),"Kodiak (Kodiak, AK) - PADQ",02:20PM AKDT,,Diverted
N548LM,15-Jul-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",04:14AM AKDT,05:05AM AKDT,0:50
N548LM,15-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",02:01AM AKDT,03:05AM AKDT,1:03
N548LM,14-Jul-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:37PM AKDT,12:30AM AKDT (+1),0:52
N548LM,14-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",09:23PM AKDT,10:25PM AKDT,1:02
N548LM,14-Jul-2022,LJ31,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",03:25PM AKDT,03:44PM AKDT,0:19
N548LM,14-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",02:45PM AKDT,03:16PM AKDT,0:30
N548LM,13-Jul-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:22PM AKDT,05:48PM AKDT,0:26
N548LM,29-Jun-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:14AM AKDT,01:09AM AKDT,0:55
