tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration
N548LM,14-Sep-2022,LJ31,Bellingham Intl (KBLI),"Bellingham Intl (Bellingham, WA) - KBLI",Juneau Intl (JNU / PAJN),"Juneau Intl (Juneau, AK) - JNU / PAJN",11:36AM PDT,12:35PM AKDT,1:58
N548LM,13-Sep-2022,LJ31,Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",Bellingham Intl (KBLI),"Bellingham Intl (Bellingham, WA) - KBLI",08:16PM AKDT,11:09PM PDT,1:53
N548LM,13-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Ketchikan Intl (KTN / PAKT),"Ketchikan Intl (Ketchikan, AK) - KTN / PAKT",05:05PM AKDT,06:51PM AKDT,1:46
N548LM,13-Sep-2022,LJ31,Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",02:31PM AKDT,02:53PM AKDT,0:22
N548LM,13-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Kenai Muni (ENA / PAEN),"Kenai Muni (Kenai, AK) - ENA / PAEN",12:55PM AKDT,02:13PM AKDT,1:17
N548LM,13-Sep-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",10:44AM AKDT,11:39AM AKDT,0:54
N548LM,13-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",08:15AM AKDT,09:14AM AKDT,0:58
N548LM,11-Sep-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",12:35PM AKDT,01:29PM AKDT,0:53
N548LM,11-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",10:19AM AKDT,11:19AM AKDT,1:00
N548LM,09-Sep-2022,LJ31,Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",07:23PM AKDT,08:04PM AKDT,0:40
N548LM,09-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Fairbanks Intl (FAI / PAFA),"Fairbanks Intl (Fairbanks, AK) - FAI / PAFA",04:39PM AKDT,05:19PM AKDT,0:39
N548LM,09-Sep-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",01:21PM AKDT,02:30PM AKDT,1:09
N548LM,09-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",11:06AM AKDT,12:04PM AKDT,0:57
N548LM,08-Sep-2022,LJ31,Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",11:46PM AKDT,12:41AM AKDT (+1),0:54
N548LM,08-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Bethel (BET / PABE),"Bethel (Bethel, AK) - BET / PABE",09:37PM AKDT,10:40PM AKDT,1:02
N548LM,05-Sep-2022,LJ31,Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",Anchorage Intl (PANC),"Anchorage Intl (Anchorage, AK) - PANC",05:22PM AKDT,05:54PM AKDT,0:32
