Site Id,Loc Id,ICAO Id,State Id,Sequence,Schedule
00323.3*A,5R4,,AL,1,ALL/ALL/0800-1700
00323.4*A,NBJ,KNBJ,AL,4,ALL/HOLS/CLSD
00323.4*A,NBJ,KNBJ,AL,5,ALL/MON-FRI/1330-2330Z+
00323.4*A,NBJ,KNBJ,AL,3,ALL/SAT-SUN/CLSD
00323.*A,0AL1,,AL,1,UNATNDD
00326.*A,67A,,AL,1,UNATNDD
00328.11*H,0AL4,,AL,1,UNATNDD
00328.1*A,4A9,,AL,1,ALL/ALL/0700-1700
00328.*A,2AL5,,AL,1,UNATNDD
00329.01*H,HEY,KHEY,AL,1,ALL/MON-FRI/0600-0030
00329.01*H,HEY,KHEY,AL,2,EXCP HOL
00329.03*H,LOR,KLOR,AL,1,ALL/MON-FRI/0700-0100
00329.03*H,LOR,KLOR,AL,2,EXCP HOL
00329.06*H,FHK,KFHK,AL,1,ALL/MON-FRI/1230-1800
00329.07*H,SXS,KSXS,AL,1,UNATNDD
00329.08*H,24AL,,AL,1,ATTENDED DURG SKED TRNG
00329.09*H,25AL,,AL,1,ATTENDED DURG SKED TRNG
00329.11*H,06AL,,AL,1,ATTENDED DURG SKED TRNG.
00329.12*H,11AL,,AL,1,ATTENDED DURG SKED TRNG.
00329.13*H,12AL,,AL,1,ATTENDED DURG SKED TRNG
00329.14*H,13AL,,AL,1,ATTENDED DURG SKED TRNG.
00329.15*H,14AL,,AL,1,ATTENDED DURG SKED TRNG
00329.16*H,15AL,,AL,1,UNATNDD EXCP DURG TRNG
00329.17*H,16AL,,AL,1,ATTENDED DURG SKED TRNG.
00329.18*H,17AL,,AL,1,ATTENDED DURG SKED TRNG.
00329.1*H,05AL,,AL,1,ATTENDED DURG SKED TRNG.
00329.21*H,20AL,,AL,1,ATTENDED DURG SKED TRNG
00329.22*H,21AL,,AL,1,ATTENDED DURG SKED TRNG
00329.23*H,22AL,,AL,1,ATTENDED DURG SKED TRNG
00329.24*H,23AL,,AL,1,ATTENDED DURG SKED TRNG
00329.25*H,07AL,,AL,1,ATTENDED DURG SKED TRNG
00329.2*H,19AL,,AL,1,ATTENDED DURG SKED TRNG
00329.*A,OZR,KOZR,AL,1,ALL/ALL/ALL
00331.05*H,65AL,,AL,1,UNATNDD
00333.01*H,0AL7,,AL,1,UNATNDD
00333.*A,GAD,KGAD,AL,2,ALL/MON-FRI/0800-1800
00333.*A,GAD,KGAD,AL,3,ALL/SAT/0900-1700
00336.21*H,41AL,,AL,1,UNATNDD
00336.5*A,AL18,,AL,1,IREG
00341.1*A,AL43,,AL,1,UNATNDD
00344.13*H,8AL9,,AL,1,ALL/ALL/ALL
00344.1*A,33J,,AL,1,UNATNDD
00350.1*A,7A0,,AL,1,UNATTND
00353.11*A,71AL,,AL,1,UNATNDD
00353.12*A,68AL,,AL,1,UNATNDD
00353.13*H,29AL,,AL,1,UNATNDD
00353.1*A,PRN,KPRN,AL,1,ALL/MON-FRI/0800-1700
00353.1*A,PRN,KPRN,AL,2,ALL/SAT-SUN/UNATNDD
00359.12*C,08AL,,AL,2,ALL/ALL/ALL
00359.68*C,AL75,,AL,1,UNATNDD
00359.69*C,AL96,,AL,1,UNATNDD
00359.71*H,90AL,,AL,1,ALL/ALL/ALL
00359.7*A,JKA,KJKA,AL,6,ALL/ALL/0600-2200
00360.1*H,5AL0,,AL,1,ALL/ALL/ALL
00360.*A,8A1,,AL,2,ALL/MON - SAT/0800-1700
00361.02*A,AL10,,AL,1,IRREG
00363.*A,1M4,,AL,1,ALL/MON-FRI/0800-1700
00366.1*A,HAB,KHAB,AL,1,ALL/MON-FRI/0800-1630
00368.2*A,2AL7,,AL,1,UNATNDD
00371.*A,AL92,,AL,1,UNATNDD
00372.01*A,3AL1,,AL,1,UNATNDD
00372.*A,AL62,,AL,1,ALL/ALL/ALL
00374.09*H,4AL4,,AL,1,ON CALL
00374.1*A,5M0,,AL,3,ALL/ALL/0800-1700
00374.5*A,00AL,,AL,1,UNATNDD
00375.5*A,M38,,AL,1,ALL/TUE-SAT/0800-1700
00375.6*A,AL99,,AL,1,IREG
00376.*A,HDL,KHDL,AL,1,ALL/MON - FRI/0800 - 1700
00376.*A,HDL,KHDL,AL,2,ALL/SAT - SUN/UNATTENDED
00380.*H,AL70,,AL,1,UNATNDD
00385.02*A,AL93,,AL,1,IREG
00385.12*H,AL36,,AL,1,ALL/ALL/ALL
00385.1*A,HSV,KHSV,AL,1,ALL/ALL/ALL
00385.2*A,3M5,,AL,1,ALL/ALL/0900-1700
00385.3*A,4AL8,,AL,2,IREG
00385.42*H,32AL,,AL,1,UNATNDD
00385.4*A,MDQ,KMDQ,AL,2,ALL/SAT-SUN/0730-2000
00385.4*A,MDQ,KMDQ,AL,1,ALL/MON-FRI/0730-2130
00387.*A,AL05,,AL,1,UNATNDD
00388.04*A,2AL6,,AL,1,UNATTENDED
00393.*A,AL37,,AL,1,IRREG
00394.1*A,4R3,,AL,1,UNATNDD
00395.01*A,3AL5,,AL,1,UNATNDD
00401.02*H,AL63,,AL,1,ALL/ALL/ALL
00401.3*A,JFX,KJFX,AL,1,ALL/MON - SAT/0800-1600
00405.*A,5AL7,,AL,1,UNATNDD
00410.1*A,7A3,,AL,4,UNATTENDED
00410.3*A,4AL9,,AL,1,ALL/ALL/ALL
00412.1*A,AL88,,AL,1,ALL/ALL/ALL
00419.05*A,57AL,,AL,1,UNATNDD
00419.1*A,1AL5,,AL,1,UNATNDD
00419.*A,AL35,,AL,1,UNATNDD
00420.*A,AL97,,AL,1,UNATNDD
00425.11*H,AL06,,AL,1,UNATNDD
00425.1*A,04A,,AL,1,UNATTENDED
00426.3*A,7AL7,,AL,1,IREG
00426.51*A,2AL1,,AL,1,IREG
00427.4*A,AL76,,AL,1,UNATNDD
00428.21*A,A08,,AL,1,UNATNDD
00429.*H,AL95,,AL,1,ALL/ALL/ALL
00430.*A,AL09,,AL,1,UNATNDD
00431.75*H,86AL,,AL,1,UNATNDD
00433.5*A,28AL,,AL,1,UNATNDD
00437.1*H,AL52,,AL,1,ALL/ALL/ALL
00437.2*H,AL82,,AL,1,ALL/ALL/ALL
00437.3*A,62AL,,AL,1,UNATNDD
00437.4*A,26AL,,AL,1,UNATNDD
00437.*A,BFM,KBFM,AL,1,ALL/ALL/0700-2300
00438.01*H,75AL,,AL,1,UNATNDD
00438.02*H,AL31,,AL,1,UNATNDD
00438.*A,MOB,KMOB,AL,1,ALL/ALL/ALL
00440.11*H,1AL6,,AL,1,ALL/ALL/ALL
00440.2*A,MVC,KMVC,AL,1,ALL/MON-FRI/0800-2000
00440.2*A,MVC,KMVC,AL,2,ALL/SAT-SUN/0800-1700
00445.*A,5AL3,,AL,1,UNATNDD
00446.2*H,1AL7,,AL,1,UNATNDD
00446.51*A,AL12,,AL,1,UNATNDD
00446.5*H,AL11,,AL,1,ALL/ALL/ALL
00446.*A,MXF,KMXF,AL,2,ALL/SAT-SUN/1600-0000Z++
00446.*A,MXF,KMXF,AL,1,ALL/MON-FRI/1400-0400Z++
00447.*A,MGM,KMGM,AL,1,ALL/ALL/ALL
00448.*A,1AL8,,AL,1,UNATNDD
00450.1*H,AL86,,AL,1,ALL/ALL/ALL
00450.35*A,AL44,,AL,1,UNATTENDED
00450.*A,AL34,,AL,1,ALL/ALL/DAWN-DUSK
00451.*H,AL24,,AL,1,ALL/MON-SAT/0830-1630
00455.01*H,AL53,,AL,1,ALL/ALL/SR-SS
00455.1*A,5AL5,,AL,1,UNATNDD
00455.*A,MSL,KMSL,AL,1,ALL/ALL/0600-1800
00463.1*A,20A,,AL,2,UNATNDD/ALL/ALL
00464.51*H,3AL2,,AL,1,ALL/ALL/ALL
00464.52*H,AL85,,AL,1,UNATNDD
00464.5*A,AL89,,AL,1,UNATNDD
00470.75*H,AL28,,AL,1,UNATNDD
00477.*A,AL71,,AL,1,UNATNDD
00479.*A,3AL8,,AL,1,UNATNDD
00480.11*H,AL87,,AL,1,ALL/ALL/ALL
00480.12*A,36AL,,AL,1,UNATNDD
00480.1*A,71J,,AL,1,ALL/MON-FRI/0800-1700
00480.21*H,37AL,,AL,1,UNATNDD
00480.6*A,PLR,KPLR,AL,2,ALL/SUN/UNTNDD
00480.6*A,PLR,KPLR,AL,1,ALL/MON-SAT/0730-1700
00480.71*A,AL33,,AL,1,UNATNDD
00481.01*A,2AL8,,AL,1,UNATNDD
