,Loc Id,Facility Type,Wind Indicator,ARP Latitude DD,ARP Longitude DD,Runway Id,Surface Type Condition,Edge Light Intensity,WBC Single,WBC Dual,WBC Two Dual,WBC Tandem Two Dual,Base Marking Condition,ICAO Id,#Runway Id
3897,IAD,AIRPORT,Y-L,38.94744444,-77.45994444,01L/19R,CONC-E,HIGH,200,250,450,875,G,KIAD,4
3898,DC01,HELIPORT,Y,38.90427833,-77.03442111,H1,ASPH,PERI,,,,,,,1
3899,DC08,HELIPORT,Y,38.92886111,-77.01663889,H2,CONC,PERI,,,,,,,2
3900,DC08,HELIPORT,Y,38.92886111,-77.01663889,H1,CONC-G,PERI,,,,,F,,2
3901,16DE,HELIPORT,Y,39.78090556,-75.55576667,H1,CONC,PERI,,,,,,,1
3902,0N6,AIRPORT,,39.01288889,-75.53397222,15/33,TURF-G,,,,,,,,1
3903,39DE,HELIPORT,Y,38.8867,-75.39096944,H1,ROOF-TOP-F,MED,,,,,,,1
3904,64DE,HELIPORT,Y-L,39.15081667,-75.52431389,H1,MATS,,,,,,,,2
3905,64DE,HELIPORT,Y-L,39.15081667,-75.52431389,H2,CONC,,,,,,,,2
3906,DE22,HELIPORT,,38.53073889,-75.14105833,H1,ASPH-TRTD,,,,,,,,1
3907,DE32,AIRPORT,Y,38.975,-75.61666667,04/22,TURF,,,,,,,,1
3908,DE30,HELIPORT,Y,39.73555556,-75.53527778,H1,CONC,PERI,,,,,,,1
3909,0N4,AIRPORT,Y-L,39.20230556,-75.48541667,04/22,ASPH-P,LOW,,,,,P,,1
3910,D74,AIRPORT,Y,38.84954861,-75.61278056,16/34,ASPH-E,LOW,,,,,G,,1
3911,DE26,HELIPORT,Y,39.68725278,-75.66686944,H3,ASPH-CONC,,,,,,,,3
3912,DE26,HELIPORT,Y,39.68725278,-75.66686944,H1,CONC,PERI,,,,,,,3
3913,DE26,HELIPORT,Y,39.68725278,-75.66686944,H2,ASPH-CONC,,,,,,,,3
3914,1DE4,HELIPORT,Y-L,39.45555556,-75.68388889,H1,CONC-G,MED,,,,,,,1
3915,33N,AIRPORT,Y-L,39.21869444,-75.60047222,09/27,ASPH-E,MED,38,56,,,G,,1
3916,GED,AIRPORT,Y-L,38.68763278,-75.35930444,04/22,ASPH-G,MED,50,175,,,G,KGED,2
3917,GED,AIRPORT,Y-L,38.68763278,-75.35930444,10/28,ASPH-G,MED,50,91,,,G,KGED,2
3918,DE02,HELIPORT,Y,39.20011194,-75.53297972,H1,CONC-F,,,,,,F,,1
3919,0N5,HELIPORT,Y-L,39.14955667,-75.50492306,H1,CONC-E,PERI,,,,,F,,1
3920,DOV,AIRPORT,,39.12953889,-75.46596111,01/19,CONC,HIGH,,,,,G,KDOV,2
3921,DOV,AIRPORT,,39.12953889,-75.46596111,14/32,ASPH-CONC,HIGH,,,,,,KDOV,2
3922,DE03,HELIPORT,N,39.18344556,-75.52464611,H1,TURF-F,FLD,,,,,F,,1
3923,DE00,AIRPORT,,39.02072222,-75.57709444,16/34,TURF,,,,,,,,1
3924,DE25,AIRPORT,Y,38.77579583,-75.23400139,14/32,TURF,,,,,,,,1
